#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -6.66725    -6.66725           0
           2    -6.67551    -6.67138  0.00291926
           3    -6.65876    -6.66717   0.0039482
           4     -6.6678    -6.66733  0.00296427
           5    -6.66282    -6.66642  0.00250493
           6    -6.66744    -6.66659  0.00209309
           7    -6.66354    -6.66616   0.0018389
           8    -6.65267    -6.66447  0.00225288
           9    -6.68115    -6.66633  0.00265781
          10    -6.66351    -6.66604  0.00240686
          11    -6.65827    -6.66534  0.00228936
          12    -6.66964     -6.6657  0.00212653
          13    -6.65665      -6.665  0.00207371
          14    -6.67227    -6.66552  0.00198955
          15     -6.6591    -6.66509   0.0019024
          16    -6.66822    -6.66529  0.00179353
          17     -6.6713    -6.66564  0.00172259
          18     -6.6568    -6.66515  0.00169546
          19    -6.66502    -6.66514  0.00160624
          20    -6.67083    -6.66543  0.00155092
          21    -6.65239    -6.66481  0.00159642
          22    -6.65285    -6.66426  0.00161373
          23    -6.66139    -6.66414  0.00154841
          24    -6.66791     -6.6643  0.00149186
          25    -6.67044    -6.66454  0.00145231
          26    -6.66499    -6.66456  0.00139656
          27     -6.6633    -6.66451  0.00134562
          28    -6.66138     -6.6644  0.00130219
          29    -6.66495    -6.66442  0.00125743
          30    -6.65802    -6.66421  0.00123348
          31    -6.66554    -6.66425  0.00119444
          32    -6.67405    -6.66456   0.0011957
          33    -6.66906    -6.66469  0.00116724
          34    -6.65975    -6.66455  0.00114191
          35    -6.65933     -6.6644  0.00111896
          36    -6.67486    -6.66469  0.00112496
          37    -6.66404    -6.66467   0.0010947
          38    -6.65889    -6.66452  0.00107642
          39    -6.65883    -6.66437  0.00105866
          40    -6.67124    -6.66454  0.00104601
          41      -6.661    -6.66446  0.00102406
          42    -6.65455    -6.66422  0.00102651
          43    -6.68429    -6.66469  0.00110361
          44     -6.6586    -6.66455  0.00108717
          45      -6.662    -6.66449  0.00106449
          46    -6.66424    -6.66449  0.00104137
          47    -6.65616    -6.66431  0.00103419
          48    -6.67271    -6.66449  0.00102736
          49    -6.65199    -6.66423  0.00103758
          50    -6.66614    -6.66427  0.00101753
          51     -6.6683    -6.66435  0.00100065
          52    -6.66428    -6.66435 0.000981404
          53    -6.66297    -6.66432  0.00096323
          54    -6.66713    -6.66437 0.000946793
          55    -6.64808    -6.66408 0.000974793
          56    -6.67245    -6.66423 0.000968788
          57    -6.66537    -6.66425 0.000952001
          58     -6.6663    -6.66428 0.000936245
          59     -6.6545    -6.66412 0.000934926
          60    -6.66845    -6.66419 0.000922135
          61    -6.66291    -6.66417 0.000907255
          62    -6.67284    -6.66431 0.000903331
          63    -6.65978    -6.66424  0.00089184
          64     -6.6611    -6.66419 0.000879246
          65    -6.66356    -6.66418 0.000865772
          66    -6.67509    -6.66434 0.000868314
          67    -6.65693    -6.66423 0.000862374
          68     -6.6546    -6.66409 0.000861243
          69    -6.66163    -6.66405 0.000849499
          70    -6.64585    -6.66379 0.000876279
          71    -6.66063    -6.66375 0.000865068
          72    -6.66162    -6.66372 0.000853559
          73    -6.65596    -6.66361 0.000848459
          74     -6.6641    -6.66362  0.00083702
          75    -6.65857    -6.66355 0.000828562
          76    -6.66005    -6.66351 0.000818939
          77    -6.65829    -6.66344   0.0008111
          78    -6.65591    -6.66334 0.000806426
          79      -6.664    -6.66335 0.000796262
          80    -6.66127    -6.66332 0.000786734
          81    -6.66068    -6.66329 0.000777699
          82    -6.66466    -6.66331 0.000768395
          83    -6.66122    -6.66328  0.00075955
          84    -6.67116    -6.66338 0.000756275
          85    -6.64241    -6.66313 0.000786561
          86    -6.67027    -6.66321 0.000781782
          87    -6.66361    -6.66322 0.000772809
          88    -6.66713    -6.66326 0.000765302
          89    -6.67536     -6.6634 0.000768676
          90    -6.66244    -6.66339 0.000760209
          91    -6.66035    -6.66335  0.00075259
          92     -6.6861     -6.6636  0.00078398
          93    -6.64713    -6.66342 0.000795313
          94    -6.65509    -6.66334 0.000791781
          95    -6.66808    -6.66339 0.000785019
          96    -6.65423    -6.66329 0.000782608
          97      -6.664     -6.6633 0.000774574
          98      -6.662    -6.66328 0.000766782
          99    -6.65549    -6.66321 0.000763065
         100    -6.65944    -6.66317 0.000756364
