#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.19941     1.19941           0
           2     1.20896     1.20419  0.00337858
           3     1.19197     1.20011  0.00401645
           4     1.20026     1.20015   0.0030125
           5     1.19621     1.19936  0.00251071
           6     1.20074     1.19959   0.0021027
           7     1.19643     1.19914  0.00185026
           8       1.186      1.1975  0.00223214
           9     1.21372      1.1993  0.00261252
          10     1.19745     1.19911  0.00235781
          11     1.19137     1.19841  0.00224611
          12     1.20282     1.19878  0.00208877
          13     1.19046     1.19814  0.00202371
          14     1.20447     1.19859  0.00192909
          15     1.19347     1.19825   0.0018304
          16     1.20159     1.19846  0.00172789
          17     1.20451     1.19881  0.00166252
          18     1.19105     1.19838  0.00162515
          19     1.19854     1.19839  0.00153963
          20     1.20312     1.19863  0.00148071
          21     1.18744     1.19809  0.00150298
          22     1.18636     1.19756  0.00152644
          23     1.19515     1.19746  0.00146367
          24      1.2011     1.19761  0.00141053
          25     1.20313     1.19783  0.00137128
          26     1.19687     1.19779  0.00131904
          27     1.19649     1.19774  0.00127106
          28     1.19482     1.19764  0.00122996
          29     1.19826     1.19766  0.00118773
          30     1.18968     1.19739  0.00117755
          31      1.1995     1.19746  0.00114152
          32     1.20641     1.19774  0.00113955
          33     1.20209     1.19787   0.0011126
          34     1.19295     1.19773  0.00108924
          35     1.19301     1.19759  0.00106645
          36     1.20801     1.19788  0.00107537
          37     1.19701     1.19786  0.00104657
          38     1.19153     1.19769   0.0010322
          39     1.19207     1.19755  0.00101577
          40     1.20581     1.19776  0.00101118
          41      1.1958     1.19771 0.000987635
          42     1.18815     1.19748 0.000990013
          43     1.21837     1.19797  0.00107961
          44     1.19148     1.19782  0.00106509
          45     1.19658     1.19779  0.00104178
          46     1.19733     1.19778  0.00101918
          47     1.18951      1.1976  0.00101256
          48     1.20504     1.19776  0.00100324
          49     1.18542     1.19751  0.00101387
          50     1.19945     1.19755 0.000994335
          51     1.20156     1.19763 0.000977942
          52     1.19813     1.19764 0.000959183
          53     1.19533     1.19759 0.000942068
          54     1.20023     1.19764 0.000925892
          55     1.18104     1.19734 0.000956997
          56     1.20642      1.1975  0.00095356
          57     1.19911     1.19753  0.00093725
          58     1.20055     1.19758 0.000922539
          59     1.18956     1.19745  0.00091686
          60     1.20134     1.19751 0.000903874
          61     1.19622     1.19749 0.000889303
          62     1.20611     1.19763 0.000885767
          63     1.19334     1.19756  0.00087432
          64     1.19443     1.19751 0.000862024
          65      1.1975     1.19751 0.000848762
          66     1.20753     1.19766 0.000849378
          67     1.19096     1.19756  0.00084258
          68     1.18736     1.19741 0.000843441
          69     1.19543     1.19738 0.000831706
          70     1.18068     1.19715 0.000853363
          71     1.19452     1.19711 0.000842144
          72     1.19521     1.19708 0.000830861
          73     1.19062     1.19699 0.000824181
          74     1.19709     1.19699 0.000813045
          75     1.19236     1.19693 0.000804547
          76     1.19258     1.19688 0.000796002
          77     1.19382     1.19684 0.000786656
          78     1.18973     1.19675 0.000781825
          79     1.19737     1.19675 0.000771968
          80     1.19415     1.19672 0.000763004
          81     1.19308     1.19668 0.000754905
          82     1.19722     1.19668 0.000745728
          83     1.19498     1.19666 0.000737024
          84     1.20461     1.19676 0.000734304
          85     1.17603     1.19651 0.000765095
          86     1.20359     1.19659 0.000760609
          87     1.19661     1.19659 0.000751867
          88      1.2008     1.19664 0.000744839
          89     1.20778     1.19677 0.000746912
          90     1.19649     1.19676  0.00073862
          91     1.19315     1.19672 0.000731572
          92     1.21824     1.19696 0.000760095
          93     1.18158     1.19679  0.00076971
          94     1.18875     1.19671 0.000766268
          95     1.20314     1.19678 0.000761189
          96     1.18752     1.19668 0.000759346
          97     1.19832      1.1967 0.000751705
          98     1.19656     1.19669 0.000744036
          99     1.19028     1.19663 0.000739335
         100      1.1942     1.19661  0.00073234
