BLOCK,ACTUAL_M,M_AVE,ERROR
1,0.00964,0.00964,0
2,0.0484,0.02902,0.0137037
3,0.07628,0.0447733,0.0157768
4,0.02532,0.03991,0.0125599
5,0.03224,0.038376,0.0101411
6,0.07912,0.0451667,0.0104807
7,0.01984,0.0415486,0.00958769
8,0.04788,0.04234,0.00842183
9,0.02848,0.0408,0.00762557
10,0.09424,0.046144,0.00853249
11,0.0402,0.0456036,0.0077739
12,0.02024,0.04349,0.00740784
13,0.06944,0.0454862,0.00710187
14,0.06864,0.04714,0.00678443
15,0.03092,0.0460587,0.00641773
16,0.0482,0.0461925,0.00601801
17,0.02216,0.0447788,0.00582769
18,0.03088,0.0440067,0.00555485
19,0.0302,0.04328,0.00530981
20,0.03436,0.042834,0.00506301
21,0.09484,0.0453105,0.00539368
22,0.00768,0.0436,0.00541294
23,0.05084,0.0439148,0.00518674
24,0.06904,0.0449617,0.00507518
25,0.0558,0.0453952,0.00489065
26,0.09092,0.0471462,0.00500618
27,0.0592,0.0475926,0.00484064
28,0.04352,0.0474471,0.00466994
29,0.069,0.0481903,0.00456766
30,0.09044,0.0495987,0.00462743
31,0.05616,0.0498103,0.00448299
32,0.09524,0.05123,0.00456216
33,0.03456,0.0507248,0.00445179
34,0.043,0.0504976,0.00432665
35,-0.00936,0.0487874,0.00452844
36,0.058,0.0490433,0.00440987
37,0.06496,0.0494735,0.00431162
38,0.06688,0.0499316,0.00422242
39,0.0398,0.0496718,0.00412213
40,0.0806,0.050445,0.00409095
41,0.05212,0.0504859,0.00399138
42,0.03696,0.0501638,0.00390932
43,0.01868,0.0494316,0.00388636
44,0.0456,0.0493445,0.00379901
45,0.02452,0.0487929,0.00375443
46,0.06568,0.04916,0.00369071
47,0.03796,0.0489217,0.00361987
48,0.09244,0.0498283,0.00365623
49,0.0184,0.0491869,0.00363744
50,0.0598,0.0493992,0.00357088
51,-0.00428,0.0483467,0.00365269
52,0.06836,0.0487315,0.00360266
53,0.06812,0.0490974,0.00355321
54,0.05676,0.0492393,0.00349025
55,0.06972,0.0496116,0.00344659
56,0.03736,0.0493929,0.00339199
57,0.06588,0.0496821,0.00334479
58,0.04132,0.0495379,0.00329022
59,0.07336,0.0499417,0.00325914
60,0.02096,0.0494587,0.00324041
61,0.01852,0.0489515,0.00322674
62,0.06636,0.0492323,0.00318689
63,0.06968,0.0495568,0.00315279
64,0.0734,0.0499294,0.00312546
65,0.03148,0.0496455,0.00309024
66,0.07924,0.0500939,0.00307578
67,0.09676,0.0507904,0.00310773
68,0.0048,0.0501141,0.00313476
69,0.04868,0.0500933,0.0030894
70,0.03192,0.0498337,0.00305615
71,0.03656,0.0496468,0.00301882
72,0.09616,0.0502928,0.00304523
73,0.10256,0.0510088,0.00308654
74,0.07848,0.05138,0.00306707
75,0.08708,0.051856,0.00306289
76,0.0412,0.0517158,0.0030258
77,0.05472,0.0517548,0.00298675
78,0.04476,0.0516651,0.00294981
79,0.02528,0.0513311,0.00293132
80,0.03452,0.051121,0.0029022
81,0.02784,0.0508336,0.00288056
82,0.05796,0.0509205,0.00284675
83,0.03564,0.0507364,0.00281839
84,0.04324,0.0506471,0.00278626
85,0.06552,0.0508221,0.00275896
86,0.07136,0.0510609,0.0027372
87,0.05472,0.051103,0.00270606
88,0.03748,0.0509482,0.00267973
89,0.0712,0.0511757,0.00265927
90,0.03668,0.0510147,0.00263459
91,0.0378,0.0508695,0.00260964
92,0.11076,0.0515204,0.00266123
93,0.08612,0.0518925,0.0026585
94,0.05184,0.0518919,0.00263021
95,0.05456,0.05192,0.00260268
96,0.03556,0.0517496,0.00258114
97,0.04956,0.051727,0.00255463
98,0.04052,0.0516127,0.00253112
99,0.053,0.0516267,0.00250559
100,0.05716,0.051682,0.00248115
