BLOCK,ACTUAL_X,X_AVE,ERROR
1,0.629947,0.629947,0
2,0.667573,0.64876,0.013303
3,0.662373,0.653298,0.00961152
4,0.6556,0.653873,0.00722585
5,0.653973,0.653893,0.00578071
6,0.688187,0.659609,0.00710133
7,0.638853,0.656644,0.00667724
8,0.662987,0.657437,0.00588947
9,0.6108,0.652255,0.0071606
10,0.617627,0.648792,0.00723354
11,0.70048,0.653491,0.00795711
12,0.56696,0.64628,0.0100432
13,0.652613,0.646767,0.0092825
14,0.656587,0.647469,0.00864592
15,0.727413,0.652798,0.00957229
16,0.641493,0.652092,0.00900006
17,0.677733,0.6536,0.00859611
18,0.629707,0.652273,0.0082204
19,0.737787,0.656773,0.00893529
20,0.56216,0.652043,0.00965999
21,0.679227,0.653337,0.00928632
22,0.64208,0.652825,0.0088783
23,0.600987,0.650572,0.00877371
24,0.620587,0.649322,0.00849662
25,0.69376,0.6511,0.00834062
26,0.724133,0.653909,0.00847965
27,0.71576,0.6562,0.00846937
28,0.66896,0.656655,0.00817914
29,0.629653,0.655724,0.00794992
30,0.698533,0.657151,0.00781195
31,0.687173,0.65812,0.00761974
32,0.613573,0.656727,0.00750771
33,0.658907,0.656794,0.00728049
34,0.695547,0.657933,0.00715502
35,0.640853,0.657445,0.00696722
36,0.6768,0.657983,0.00679439
37,0.70416,0.659231,0.00672441
38,0.645013,0.658857,0.00655785
39,0.687253,0.659585,0.00642999
40,0.644373,0.659205,0.00628048
41,0.623547,0.658335,0.00618722
42,0.668347,0.658573,0.0060445
43,0.65248,0.658432,0.00590559
44,0.615413,0.657454,0.00585174
45,0.633227,0.656916,0.00574642
46,0.63664,0.656475,0.00563837
47,0.6144,0.65558,0.00558902
48,0.682213,0.656134,0.00550006
49,0.646533,0.655939,0.0053913
50,0.595253,0.654725,0.00541837
51,0.64912,0.654615,0.00531324
52,0.688693,0.65527,0.00525132
53,0.64728,0.655119,0.00515441
54,0.651493,0.655052,0.00505939
55,0.654853,0.655049,0.0049674
56,0.65312,0.655014,0.00487882
57,0.674667,0.655359,0.00480539
58,0.605787,0.654504,0.00479795
59,0.591973,0.653445,0.00483227
60,0.64496,0.653303,0.0047538
61,0.698187,0.654039,0.00473247
62,0.634907,0.65373,0.00466619
63,0.639947,0.653512,0.00459725
64,0.65264,0.653498,0.00452544
65,0.671307,0.653772,0.0044641
66,0.624027,0.653321,0.00441915
67,0.66848,0.653547,0.00435898
68,0.577413,0.652428,0.00443634
69,0.5936,0.651575,0.00445322
70,0.637253,0.651371,0.0043943
71,0.69728,0.652017,0.00437972
72,0.65784,0.652098,0.00431964
73,0.567227,0.650936,0.00441415
74,0.666853,0.651151,0.00435974
75,0.640853,0.651013,0.00430377
76,0.646773,0.650958,0.0042475
77,0.63072,0.650695,0.00420047
78,0.68184,0.651094,0.00416555
79,0.691467,0.651605,0.00414405
80,0.671493,0.651854,0.0040997
81,0.65544,0.651898,0.00404933
82,0.688853,0.652349,0.00402494
83,0.6428,0.652234,0.00397809
84,0.6548,0.652264,0.00393085
85,0.60408,0.651697,0.00392527
86,0.61912,0.651318,0.00389786
87,0.64136,0.651204,0.00385474
88,0.6212,0.650863,0.00382599
89,0.642667,0.650771,0.00378411
90,0.64064,0.650658,0.00374373
91,0.65096,0.650662,0.00370259
92,0.660373,0.650767,0.00366385
93,0.633067,0.650577,0.0036294
94,0.704693,0.651153,0.00363616
95,0.722693,0.651906,0.00367504
96,0.644613,0.65183,0.00363754
97,0.591147,0.651204,0.00365344
98,0.690107,0.651601,0.00363766
99,0.6704,0.651791,0.00360587
100,0.64448,0.651718,0.00357056
