BLOCK,ACTUAL_M,M_AVE,ERROR
1,0.9714,0.9714,0
2,1,0.9857,0.0101116
3,1,0.990467,0.00778393
4,1,0.99285,0.00619208
5,1,0.99428,0.00511612
6,1,0.995233,0.00435135
7,1,0.995914,0.00378264
8,1,0.996425,0.00334411
9,1,0.996822,0.00299604
10,1,0.99714,0.00271323
11,1,0.9974,0.002479
12,1,0.997617,0.00228187
13,1,0.9978,0.00211369
14,1,0.997957,0.00196855
15,1,0.998093,0.00184201
16,1,0.998212,0.00173074
17,1,0.998318,0.00163212
18,1,0.998411,0.00154412
19,0.99996,0.998493,0.001465
20,1,0.998568,0.00139369
21,1,0.998636,0.00132899
22,1,0.998698,0.00127003
23,1,0.998755,0.00121607
24,1,0.998807,0.00116651
25,1,0.998854,0.00112082
26,1,0.998898,0.00107858
27,1,0.998939,0.0010394
28,1,0.998977,0.00100297
29,1,0.999012,0.000969007
30,1,0.999045,0.000937265
31,1,0.999076,0.000907537
32,1,0.999105,0.000879635
33,1,0.999132,0.000853398
34,1,0.999158,0.00082868
35,1,0.999182,0.000805352
36,1,0.999204,0.000783302
37,1,0.999226,0.000762427
38,1,0.999246,0.000742635
39,1,0.999266,0.000723845
40,1,0.999284,0.000705981
41,1,0.999301,0.000688978
42,1,0.999318,0.000672775
43,1,0.999334,0.000657316
44,1,0.999349,0.000642551
45,1,0.999364,0.000628435
46,1,0.999377,0.000614925
47,1,0.999391,0.000601985
48,1,0.999403,0.000589577
49,1,0.999416,0.000577671
50,1,0.999427,0.000566236
51,1,0.999438,0.000555244
52,1,0.999449,0.000544671
53,1,0.99946,0.000534494
54,1,0.99947,0.000524689
55,1,0.999479,0.000515238
56,1,0.999489,0.000506121
57,1,0.999498,0.000497322
58,1,0.999506,0.000488823
59,1,0.999515,0.000480609
60,1,0.999523,0.000472667
61,1,0.99953,0.000464983
62,1,0.999538,0.000457545
63,1,0.999545,0.000450341
64,1,0.999553,0.000443361
65,1,0.999559,0.000436593
66,1,0.999566,0.000430029
67,1,0.999573,0.00042366
68,1,0.999579,0.000417476
69,1,0.999585,0.00041147
70,1,0.999591,0.000405635
71,1,0.999597,0.000399963
72,1,0.999602,0.000394447
73,1,0.999608,0.000389081
74,0.99268,0.999514,0.000394925
75,1,0.999521,0.000389713
76,1,0.999527,0.000384636
77,1,0.999533,0.00037969
78,1,0.999539,0.000374869
79,1,0.999545,0.000370169
80,1,0.999551,0.000365586
81,1,0.999556,0.000361115
82,1,0.999561,0.000356751
83,1,0.999567,0.000352492
84,1,0.999572,0.000348334
85,1,0.999577,0.000344272
86,1,0.999582,0.000340304
87,1,0.999587,0.000336426
88,1,0.999591,0.000332636
89,1,0.999596,0.00032893
90,1,0.9996,0.000325306
91,1,0.999605,0.000321761
92,1,0.999609,0.000318292
93,1,0.999613,0.000314898
94,1,0.999617,0.000311575
95,1,0.999621,0.000308321
96,1,0.999625,0.000305134
97,1,0.999629,0.000302013
98,1,0.999633,0.000298955
99,0.98412,0.999476,0.00033449
100,1,0.999482,0.000331186
