#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -0.26284    -0.26284           0
           2   -0.388712   -0.325776   0.0445025
           3   -0.390439   -0.347331   0.0344955
           4   -0.395231   -0.359306   0.0278728
           5   -0.372633   -0.361971   0.0224253
           6   -0.425654   -0.372585   0.0210502
           7   -0.411249   -0.378108   0.0187537
           8   -0.423466   -0.383778   0.0172453
           9     -0.3856   -0.383981   0.0153303
          10   -0.384947   -0.384077   0.0137976
          11   -0.359899   -0.381879   0.0127171
          12   -0.351997   -0.379389   0.0118987
          13   -0.382816   -0.379653   0.0109863
          14   -0.410898   -0.381884   0.0104258
          15   -0.409583   -0.383731  0.00989292
          16   -0.401461   -0.384839  0.00933647
          17     -0.3855   -0.384878  0.00878735
          18   -0.384296   -0.384846  0.00829922
          19   -0.371119   -0.384123   0.0078938
          20   -0.377164   -0.383775  0.00750678
          21   -0.376864   -0.383446  0.00715652
          22   -0.368555   -0.382769  0.00686316
          23   -0.410187   -0.383961  0.00666749
          24    -0.40689   -0.384917  0.00645775
          25   -0.366619   -0.384185  0.00624078
          26   -0.371358   -0.383691  0.00602022
          27   -0.397841   -0.384216  0.00582002
          28    -0.39432   -0.384576  0.00562334
          29   -0.405654   -0.385303   0.0054762
          30   -0.394462   -0.385608  0.00530216
          31   -0.362308   -0.384857  0.00518413
          32   -0.427357   -0.386185  0.00518946
          33   -0.420432   -0.387223  0.00513493
          34    -0.46224   -0.389429   0.0054373
          35   -0.365591   -0.388748  0.00532444
          36   -0.395917   -0.388947  0.00518026
          37   -0.377259   -0.388631  0.00504988
          38   -0.340809   -0.387373  0.00507137
          39   -0.383976   -0.387286  0.00494208
          40   -0.443041    -0.38868  0.00501125
          41   -0.435618   -0.389824  0.00501809
          42   -0.435418    -0.39091  0.00501465
          43    -0.41584    -0.39149  0.00493143
          44   -0.434859   -0.392475  0.00491688
          45   -0.407725   -0.392814  0.00481927
          46   -0.394047   -0.392841  0.00471458
          47   -0.388962   -0.392759  0.00461499
          48   -0.398624   -0.392881  0.00452047
          49    -0.40541   -0.393137  0.00443544
          50   -0.359508   -0.392464  0.00439743
          51   -0.367619   -0.391977   0.0043381
          52   -0.405199   -0.392231  0.00426212
          53   -0.363606   -0.391691  0.00421579
          54   -0.431427   -0.392427  0.00420145
          55   -0.404892   -0.392653  0.00413116
          56   -0.381073   -0.392447  0.00406256
          57   -0.330983   -0.391368  0.00413192
          58   -0.356921   -0.390774  0.00410314
          59   -0.396059   -0.390864  0.00403457
          60    -0.42923   -0.391503  0.00401768
          61   -0.384978   -0.391396  0.00395324
          62   -0.388451   -0.391349  0.00388977
          63   -0.366828    -0.39096  0.00384745
          64   -0.353149   -0.390369  0.00383242
          65   -0.359257    -0.38989  0.00380324
          66     -0.3779   -0.389709  0.00374995
          67   -0.371263   -0.389433  0.00370407
          68   -0.380271   -0.389299  0.00365205
          69   -0.390924   -0.389322   0.0035992
          70   -0.435166   -0.389977  0.00360687
          71   -0.487662   -0.391353  0.00380945
          72     -0.5019   -0.392888  0.00405416
          73   -0.421907   -0.393286  0.00401807
          74   -0.409098   -0.393499  0.00396945
          75   -0.464215   -0.394442  0.00402694
          76   -0.428842   -0.394895  0.00399931
          77   -0.385385   -0.394771  0.00394928
          78   -0.417237   -0.395059  0.00390914
          79   -0.408669   -0.395232  0.00386345
          80    -0.42689   -0.395627  0.00383537
          81   -0.397003   -0.395644  0.00378806
          82   -0.352415   -0.395117  0.00377837
          83   -0.429575   -0.395532  0.00375558
          84    -0.43937   -0.396054  0.00374696
          85   -0.394553   -0.396037  0.00370292
          86   -0.374083   -0.395781  0.00366865
          87   -0.364868   -0.395426  0.00364365
          88   -0.405275   -0.395538  0.00360396
          89   -0.369652   -0.395247  0.00357518
          90   -0.355334   -0.394804  0.00356286
          91   -0.436462   -0.395261    0.003553
          92   -0.380348   -0.395099  0.00351807
          93   -0.393733   -0.395085  0.00348027
          94   -0.399421   -0.395131  0.00344356
          95   -0.404745   -0.395232  0.00340879
          96   -0.412363    -0.39541  0.00337795
          97   -0.396124   -0.395418  0.00334314
          98   -0.425079    -0.39572   0.0033227
          99    -0.39987   -0.395762   0.0032894
         100   -0.416672   -0.395971  0.00326314
