#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.05627     1.05627           0
           2     1.12322     1.08974   0.0236708
           3     1.15355     1.11101   0.0234649
           4     1.14437     1.11935   0.0190234
           5      1.1661      1.1287   0.0173648
           6     1.16902     1.13542   0.0157174
           7     1.14491     1.13678   0.0135304
           8     1.12983     1.13591   0.0118669
           9      1.1528     1.13779   0.0106959
          10     1.14974     1.13898  0.00969284
          11     1.18129     1.14283  0.00954448
          12     1.16175      1.1444  0.00887848
          13      1.1454     1.14448  0.00819586
          14     1.13181     1.14358  0.00766024
          15     1.13483     1.14299  0.00717172
          16     1.15369     1.14366  0.00675459
          17     1.18688      1.1462  0.00681895
          18     1.15684     1.14679  0.00646566
          19     1.15786     1.14738  0.00615153
          20     1.17963     1.14899  0.00605163
          21     1.19694     1.15127  0.00617931
          22     1.15662     1.15152   0.0059032
          23     1.15622     1.15172  0.00565009
          24     1.14338     1.15137  0.00542534
          25     1.14761     1.15122  0.00521042
          26     1.18111     1.15237  0.00513528
          27     1.14639     1.15215  0.00494987
          28     1.15788     1.15236  0.00477731
          29     1.18617     1.15352  0.00475275
          30      1.1851     1.15457  0.00470943
          31     1.15315     1.15453  0.00455774
          32     1.17622     1.15521  0.00446544
          33     1.15695     1.15526  0.00433044
          34      1.1801     1.15599  0.00426428
          35      1.1634      1.1562   0.0041477
          36      1.1318     1.15552  0.00408751
          37     1.12253     1.15463  0.00407313
          38     1.12876     1.15395  0.00402242
          39     1.16086     1.15413  0.00392318
          40     1.15536     1.15416  0.00382523
          41     1.14897     1.15403  0.00373402
          42     1.16683     1.15434  0.00365752
          43     1.15344     1.15432  0.00357252
          44     1.14247     1.15405  0.00350145
          45     1.14547     1.15386  0.00342882
          46     1.17185     1.15425  0.00337653
          47     1.15528     1.15427  0.00330476
          48     1.17163     1.15463  0.00325564
          49     1.18803     1.15531  0.00325975
          50     1.15655     1.15534  0.00319464
          51     1.14457     1.15513  0.00313897
          52     1.17517     1.15551   0.0031022
          53      1.1308     1.15505  0.00307851
          54     1.13686     1.15471  0.00303986
          55     1.13453     1.15434  0.00300666
          56     1.16819     1.15459  0.00296312
          57     1.16511     1.15477  0.00291688
          58     1.16761       1.155  0.00287497
          59     1.18386     1.15548  0.00286757
          60     1.15862     1.15554  0.00282025
          61     1.18332     1.15599  0.00281055
          62     1.13712     1.15569  0.00278164
          63     1.14011     1.15544  0.00274845
          64     1.15505     1.15543  0.00270552
          65     1.15943      1.1555  0.00266459
          66     1.14031     1.15527  0.00263414
          67     1.11862     1.15472  0.00265101
          68     1.14245     1.15454  0.00261816
          69     1.17389     1.15482  0.00259519
          70     1.16391     1.15495  0.00256136
          71     1.14116     1.15475  0.00253264
          72     1.14642     1.15464  0.00250011
          73     1.12311     1.15421  0.00250288
          74     1.14178     1.15404  0.00247469
          75     1.15132       1.154  0.00244196
          76     1.14968     1.15395  0.00241049
          77     1.12416     1.15356  0.00241002
          78     1.11852     1.15311  0.00242064
          79     1.15156     1.15309  0.00239008
          80     1.15843     1.15316  0.00236113
          81     1.13815     1.15297  0.00233924
          82     1.15658     1.15302  0.00231112
          83     1.15192       1.153  0.00228331
          84     1.14112     1.15286  0.00226051
          85     1.13965     1.15271  0.00223926
          86     1.13587     1.15251  0.00222176
          87     1.13722     1.15233  0.00220316
          88     1.13892     1.15218  0.00218339
          89     1.16732     1.15235  0.00216547
          90      1.1807     1.15267   0.0021642
          91     1.18896     1.15307  0.00217685
          92     1.16677     1.15321  0.00215829
          93     1.13982     1.15307  0.00213988
          94      1.1345     1.15287  0.00212622
          95     1.14982     1.15284  0.00210408
          96     1.13542     1.15266  0.00208997
          97     1.15348     1.15267  0.00206844
          98     1.17391     1.15288  0.00205866
          99     1.16048     1.15296  0.00203929
         100     1.16487     1.15308  0.00202238
