BLOCK,ACTUAL_P,P_AVE,ERROR
114,-7.595868e-01,-7.605629e-01,4.405605e-04
115,-7.536132e-01,-7.605025e-01,4.408548e-04
116,-7.662900e-01,-7.605524e-01,4.398685e-04
117,-7.551302e-01,-7.605060e-01,4.385435e-04
118,-7.633704e-01,-7.605303e-01,4.354983e-04
119,-7.629539e-01,-7.605507e-01,4.323146e-04
120,-7.530618e-01,-7.604883e-01,4.331929e-04
121,-7.627409e-01,-7.605069e-01,4.300127e-04
122,-7.627871e-01,-7.605256e-01,4.268940e-04
123,-7.569821e-01,-7.604968e-01,4.243942e-04
124,-7.592925e-01,-7.604870e-01,4.210828e-04
125,-7.595214e-01,-7.604793e-01,4.177850e-04
126,-7.573198e-01,-7.604542e-01,4.152211e-04
127,-7.611404e-01,-7.604596e-01,4.119868e-04
128,-7.602101e-01,-7.604577e-01,4.087727e-04
129,-7.575245e-01,-7.604350e-01,4.062359e-04
130,-7.539887e-01,-7.603854e-01,4.061260e-04
131,-7.662860e-01,-7.604304e-01,4.055159e-04
132,-7.626547e-01,-7.604473e-01,4.027938e-04
133,-7.673469e-01,-7.604991e-01,4.030921e-04
134,-7.562691e-01,-7.604676e-01,4.013181e-04
135,-7.571668e-01,-7.604431e-01,3.990895e-04
136,-7.665768e-01,-7.604882e-01,3.986953e-04
137,-7.563482e-01,-7.604580e-01,3.969287e-04
138,-7.632186e-01,-7.604780e-01,3.945561e-04
139,-7.525480e-01,-7.604210e-01,3.958207e-04
140,-7.644090e-01,-7.604494e-01,3.940171e-04
141,-7.598433e-01,-7.604451e-01,3.912461e-04
142,-7.546312e-01,-7.604042e-01,3.906273e-04
143,-7.608896e-01,-7.604076e-01,3.879104e-04
144,-7.636127e-01,-7.604299e-01,3.858546e-04
145,-7.572874e-01,-7.604082e-01,3.838017e-04
146,-7.672741e-01,-7.604552e-01,3.840432e-04
147,-7.628832e-01,-7.604717e-01,3.817857e-04
148,-7.574690e-01,-7.604514e-01,3.797447e-04
149,-7.603846e-01,-7.604510e-01,3.771964e-04
150,-7.570578e-01,-7.604284e-01,3.753594e-04
151,-7.636208e-01,-7.604495e-01,3.734685e-04
152,-7.614518e-01,-7.604561e-01,3.710697e-04
153,-7.595173e-01,-7.604500e-01,3.686952e-04
154,-7.632370e-01,-7.604681e-01,3.667450e-04
155,-7.497492e-01,-7.603989e-01,3.708414e-04
156,-7.691497e-01,-7.604550e-01,3.726827e-04
157,-7.592804e-01,-7.604475e-01,3.703840e-04
158,-7.603198e-01,-7.604467e-01,3.680407e-04
159,-7.651083e-01,-7.604760e-01,3.668918e-04
160,-7.589668e-01,-7.604666e-01,3.647200e-04
161,-7.605257e-01,-7.604670e-01,3.624548e-04
162,-7.652022e-01,-7.604962e-01,3.613942e-04
163,-7.577235e-01,-7.604792e-01,3.595771e-04
164,-7.597054e-01,-7.604745e-01,3.574155e-04
165,-7.564878e-01,-7.604503e-01,3.560651e-04
166,-7.614375e-01,-7.604563e-01,3.539698e-04
167,-7.594574e-01,-7.604503e-01,3.519008e-04
168,-7.482374e-01,-7.603776e-01,3.572359e-04
169,-7.664970e-01,-7.604138e-01,3.569525e-04
170,-7.538307e-01,-7.603751e-01,3.569471e-04
171,-7.629405e-01,-7.603901e-01,3.551748e-04
172,-7.628393e-01,-7.604043e-01,3.533952e-04
173,-7.566627e-01,-7.603827e-01,3.520136e-04
174,-7.563378e-01,-7.603594e-01,3.507573e-04
175,-7.649681e-01,-7.603858e-01,3.497402e-04
176,-7.618915e-01,-7.603943e-01,3.478576e-04
177,-7.522521e-01,-7.603483e-01,3.489207e-04
178,-7.648066e-01,-7.603734e-01,3.478583e-04
179,-7.505329e-01,-7.603184e-01,3.502321e-04
180,-7.629451e-01,-7.603330e-01,3.485902e-04
181,-7.622161e-01,-7.603434e-01,3.468195e-04
182,-7.560672e-01,-7.603199e-01,3.457089e-04
183,-7.610385e-01,-7.603238e-01,3.438421e-04
184,-7.644890e-01,-7.603465e-01,3.427177e-04
