BLOCK,ACTUAL_KE,KE_AVE,ERROR
1,1.1706,1.1706,0
2,1.16432,1.16746,0.0022191
3,1.17313,1.16935,0.00213706
4,1.16839,1.16911,0.00161629
5,1.16934,1.16915,0.00129368
6,1.16103,1.1678,0.00164031
7,1.1734,1.1686,0.00158894
8,1.16587,1.16826,0.00142638
9,1.16997,1.16845,0.00128052
10,1.16916,1.16852,0.00115444
11,1.1649,1.16819,0.00109547
12,1.16706,1.1681,0.00100825
13,1.17196,1.16839,0.000973463
14,1.16826,1.16838,0.000903974
15,1.15629,1.16758,0.00114849
16,1.17382,1.16797,0.00114111
17,1.16417,1.16774,0.00109564
18,1.16975,1.16786,0.00104042
19,1.16406,1.16766,0.00100469
20,1.17819,1.16818,0.00108381
21,1.16303,1.16794,0.00105956
22,1.1637,1.16774,0.00102876
