generation,path_1,path_2,path_3,path_4,path_5,path_6,path_7,path_8
1334,9.69064,9.69064,9.69064,9.69064,9.69064,9.69064,9.69064,12.5781
1335,9.69064,9.69064,9.69064,9.69064,9.69064,10.5309,10.7636,13.1933
1336,9.69064,9.69064,9.69064,9.69064,9.96709,10.9941,11.7494,12.0584
1337,9.69064,9.69064,9.69064,9.69064,9.69064,9.69064,10.7148,11.1507
1338,9.69064,9.69064,9.69064,9.69064,11.3504,11.7151,11.8614,11.8614
1339,10.0391,10.0391,10.0391,10.0391,10.4046,10.4046,12.8625,12.8686
1340,10.6796,10.6796,10.6796,10.6796,10.6796,10.6796,10.9439,10.9439
1341,10.3866,10.3866,10.3866,10.3866,10.3866,10.3866,10.3866,10.6796
1342,10.3866,10.3866,10.3866,10.3866,10.3866,10.3866,10.3866,11.266
1343,10.3866,10.3866,10.3866,10.3866,10.3866,10.3866,10.3866,10.4889
1344,10.3866,10.3866,10.3866,10.3866,10.3866,10.3866,10.3866,10.3866
1345,10.3866,10.3866,10.3866,10.3866,10.3866,10.3866,10.3866,12.5189
1346,10.3866,10.3866,10.3866,10.3866,10.3866,10.3866,11.5972,14.2261
1347,10.356,10.356,10.356,10.356,10.356,10.7564,10.7564,13.6374
1348,10.6244,10.6244,10.6244,10.6244,10.9145,10.9145,13.0881,13.0881
1349,10.9145,10.9145,10.9145,10.9145,10.9145,11.0781,11.2549,13.3321
1350,11.0781,11.0781,11.0781,11.0781,11.0781,11.0781,12.1798,13.6869
1351,11.4541,11.4541,11.6034,11.6034,11.6034,12.483,12.9452,13.508
1352,11.6034,11.6034,11.6034,11.6034,11.8064,11.8064,11.8064,11.8064
1353,10.5289,10.5289,10.5289,10.5289,10.5289,10.5289,11.5212,11.5212
1354,10.3697,10.3697,10.3697,10.3697,10.3697,10.3697,11.03,11.1469
1355,10.3697,10.3697,10.3697,10.3697,10.3697,10.3697,10.3697,10.8384
1356,10.3697,10.3697,10.3697,10.3697,10.3697,10.3697,10.3697,11.6495
1357,10.3697,10.3697,10.3697,10.3697,10.3697,10.3697,10.3697,11.7195
1358,10.3697,10.3697,10.3697,10.3697,10.3697,10.3697,10.3697,11.0628
1359,10.3528,10.3528,10.3528,10.3528,10.3528,11.0004,11.3655,12.3889
1360,10.3528,10.3528,10.3528,10.3528,10.8653,10.8653,11.4025,12.3919
1361,10.3528,10.3528,10.3528,10.3528,10.3528,10.3528,10.3528,12.372
1362,10.3528,10.3528,10.3528,10.3528,10.3528,11.2787,12.1404,12.2926
1363,10.3528,10.3528,10.3528,10.3528,10.3528,12.4155,13.4083,13.6407
1364,10.3528,10.3528,10.3528,10.3528,10.3528,10.3528,11.0908,11.0908
1365,10.3155,10.3155,10.3155,10.3155,10.3155,11.9225,12.4014,12.7134
1366,10.3155,10.3155,10.3155,10.3155,11.2502,11.3314,11.3314,12.282
1367,10.3155,10.3155,10.3155,10.3155,10.3155,11.8467,11.8467,12.4225
1368,10.3155,10.3155,10.3155,10.3155,10.3155,10.3155,11.1517,11.7208
1369,10.3155,10.3155,10.3155,10.3155,10.3155,10.3155,10.3155,10.5066
1370,10.3155,10.3155,10.3155,10.3155,10.3155,10.3155,10.3155,10.3155
1371,10.3155,10.3155,10.3155,10.3155,10.3155,10.3155,10.3155,10.3155
1372,10.3155,10.3155,10.3155,10.3155,10.3155,10.3155,11.2677,11.2677
1373,10.3155,10.3155,10.3155,10.3155,10.3155,10.3155,10.8331,12.681
1374,10.3155,10.3155,10.3155,10.3155,10.3155,10.3155,10.3155,10.3155
1375,10.3155,10.3155,10.3155,10.3155,10.3155,11.0511,11.3328,12.3594
1376,10.3155,10.3155,10.3155,10.3155,10.3155,10.7428,10.7428,11.0767
1377,10.3155,10.3155,10.3155,10.3155,10.3155,10.825,10.825,10.8993
