generation,path_1,path_2,path_3,path_4,path_5,path_6,path_7,path_8
236,232.38,232.38,232.38,232.38,232.38,232.38,232.38,265.42
237,232.38,232.38,232.38,232.38,232.38,232.38,232.38,232.38
238,232.38,232.38,232.38,232.38,232.38,232.38,246.88,247.304
239,232.38,232.38,232.38,232.38,232.38,233.569,246.88,269.011
240,232.38,232.38,232.38,232.38,232.38,232.38,232.38,247.968
241,232.38,232.38,232.38,232.38,232.38,232.38,232.38,232.38
242,232.38,232.38,232.38,232.38,232.38,232.38,247.801,252.31
243,232.38,232.38,232.38,232.38,234.466,244.65,244.65,244.65
244,232.38,232.38,232.38,232.38,232.38,232.38,232.38,232.38
245,232.38,232.38,232.38,232.38,232.38,232.38,232.38,232.38
246,232.38,232.38,232.38,232.38,232.38,232.38,232.38,232.38
247,232.38,232.38,232.38,232.38,232.38,232.38,232.38,252.881
248,232.38,232.38,232.38,232.38,232.38,232.38,248.329,259.085
249,232.38,232.38,232.38,232.38,232.38,232.38,234.495,260.672
250,232.38,232.38,232.38,243.747,247.38,247.38,247.38,248.884
251,238.403,238.403,238.403,238.403,238.403,238.403,238.403,247.38
252,238.403,238.403,238.403,238.403,238.403,238.403,238.403,238.403
253,238.403,238.403,238.403,238.403,238.403,238.403,238.403,238.403
254,238.403,238.403,238.403,238.403,238.403,238.403,238.403,238.403
255,238.403,238.403,238.403,238.403,238.403,238.403,238.403,238.403
256,238.403,238.403,238.403,238.403,238.403,238.403,238.403,238.403
257,235.712,235.712,235.712,235.712,235.712,238.403,238.403,258.177
258,235.712,235.712,235.712,235.712,235.712,235.712,235.712,235.712
259,235.712,235.712,235.712,235.712,235.712,237.043,237.043,237.043
260,233.996,233.996,233.996,233.996,235.712,235.712,243.292,248.203
261,233.996,233.996,233.996,233.996,233.996,233.996,241.286,247.987
262,233.996,233.996,233.996,233.996,242.447,247.447,248.33,276.803
263,241.938,241.938,241.938,241.938,241.938,241.938,251.896,251.896
264,236.718,236.718,236.718,236.718,236.718,236.718,236.718,251.443
265,236.718,236.718,236.718,236.718,236.718,236.718,236.718,240.528
266,236.464,236.464,236.464,236.464,236.464,236.464,236.464,262.965
