generation,path_1,path_2,path_3,path_4,path_5,path_6,path_7,path_8
188,21.8036,21.8036,21.8036,21.8036,21.8036,21.8036,21.8036,21.8036
189,21.8036,21.8036,21.8036,21.8036,21.8036,21.8036,22.9563,22.9563
190,21.8036,21.8036,21.8036,21.8036,21.8036,24.273,26.1717,26.1717
191,21.8036,21.8036,21.8036,21.8036,21.8036,21.8036,25.1865,35.2367
192,21.8036,21.8036,21.8036,21.8036,22.3378,22.3378,24.7411,25.5122
193,21.7405,21.7405,21.7405,21.7405,21.7405,21.7405,21.8036,23.7399
194,20.988,20.988,20.988,20.988,20.988,20.988,21.8036,26.954
195,20.988,20.988,20.988,20.988,20.988,20.988,20.988,26.954
196,20.988,20.988,20.988,20.988,20.988,20.988,24.3337,24.3337
197,20.8448,20.8448,20.8448,20.8448,20.8448,20.8448,20.8448,20.8448
198,20.8448,20.8448,20.8448,20.8448,20.8448,20.8448,20.8448,23.0961
199,20.8448,20.8448,20.8448,20.8448,20.8448,20.8448,20.8448,20.8448
200,20.4048,20.4048,20.4048,20.4048,20.4048,20.4048,20.4048,20.4048
