#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1    0.968387    0.968387           0
           2    0.883159    0.925773   0.0301327
           3    0.830022    0.893856   0.0329041
           4    0.831704    0.878318   0.0281083
           5    0.840168    0.870688   0.0234994
           6    0.823491    0.862822   0.0208579
           7     0.86575     0.86324   0.0178824
           8    0.835473    0.859769   0.0159804
           9    0.863335    0.860165   0.0142097
          10    0.826486    0.856798   0.0131818
