generation,best_loss,city_1,city_2,city_3,city_4,city_5,city_6,city_7,city_8,city_9,city_10,city_11,city_12,city_13,city_14,city_15,city_16,city_17,city_18,city_19,city_20,city_21,city_22,city_23,city_24,city_25,city_26,city_27,city_28,city_29,city_30,city_31,city_32,city_33,city_34
1,12.3255,0,8,14,26,31,11,17,5,7,21,1,33,16,27,25,13,23,20,30,12,6,2,19,15,3,29,9,22,28,18,24,32,4,10
2,11.1841,0,22,3,5,11,14,16,30,33,31,19,27,29,17,12,25,9,4,24,28,26,21,18,32,7,1,8,10,13,23,20,2,6,15
3,10.7929,0,25,12,17,11,14,16,30,33,31,19,27,29,5,3,22,15,6,2,9,4,24,28,26,21,18,32,7,1,8,10,13,23,20
4,10.03,0,22,3,5,11,14,16,30,33,31,19,27,29,17,12,25,9,4,24,18,15,6,2,28,26,21,32,7,1,8,10,13,23,20
5,9.66973,0,22,17,5,11,14,16,30,33,15,32,3,6,25,12,31,19,27,29,2,9,4,24,28,26,21,18,7,1,8,10,23,13,20
6,9.17036,0,22,17,5,11,14,16,30,33,15,32,3,6,25,12,31,19,27,29,2,9,4,24,28,26,18,21,7,1,8,10,13,23,20
7,9.04568,0,4,17,5,11,14,16,30,33,15,32,3,6,25,12,31,19,27,29,2,9,22,24,28,26,21,18,7,1,8,10,13,23,20
8,8.55043,0,10,8,1,7,21,18,26,28,24,15,32,3,6,25,12,31,19,27,29,2,9,22,33,30,16,14,11,5,17,4,20,23,13
9,8.25895,0,10,8,1,7,21,18,4,17,5,11,14,16,30,33,15,32,3,6,25,22,12,31,19,27,29,2,9,24,28,26,13,23,20
10,7.7748,0,10,8,1,7,21,18,4,17,5,11,14,16,30,33,15,32,3,6,25,9,2,29,27,19,31,12,22,24,28,26,20,23,13
11,7.5965,0,10,8,1,7,21,18,4,17,5,15,14,16,30,33,11,32,3,6,25,9,2,29,27,19,31,12,22,24,28,26,20,23,13
12,7.34315,0,10,8,1,7,21,18,4,17,5,11,14,16,15,30,33,32,3,6,25,9,28,2,29,27,19,31,12,22,24,26,20,23,13
13,6.8149,0,10,8,1,7,21,18,4,33,17,5,15,14,16,30,11,32,3,6,25,9,2,29,27,19,31,12,28,22,24,26,20,23,13
14,6.50568,0,14,10,8,1,7,21,18,4,17,5,15,16,30,33,11,32,3,6,25,9,2,29,27,19,31,12,28,22,24,26,20,23,13
15,6.16043,0,14,10,8,1,7,21,18,4,33,17,5,15,16,30,11,32,3,6,25,9,2,29,27,19,31,12,28,22,24,26,20,23,13
16,6.07772,0,14,10,8,1,32,21,18,4,33,17,5,15,16,30,11,7,3,6,25,9,2,29,27,19,31,12,28,22,24,26,20,23,13
17,5.98718,0,14,10,8,1,32,21,18,4,33,17,3,7,11,30,16,15,5,6,25,9,2,29,27,19,31,12,28,22,24,26,20,23,13
18,5.9333,0,14,10,8,1,32,21,18,4,33,17,5,15,16,30,11,7,3,6,25,9,29,27,19,31,12,28,2,22,24,26,20,23,13
19,5.84277,0,14,10,8,1,32,21,18,4,33,17,3,7,11,30,16,15,5,6,25,9,29,27,19,31,12,28,2,22,24,26,20,23,13
20,5.84277,0,14,10,8,1,32,21,18,4,33,17,3,7,11,30,16,15,5,6,25,9,29,27,19,31,12,28,2,22,24,26,20,23,13
