generation,best_loss,city_1,city_2,city_3,city_4,city_5,city_6,city_7,city_8,city_9,city_10,city_11,city_12,city_13,city_14,city_15,city_16,city_17,city_18,city_19,city_20,city_21,city_22,city_23,city_24,city_25,city_26,city_27,city_28,city_29,city_30,city_31,city_32,city_33,city_34
1,30.4834,0,9,31,28,7,22,30,27,8,10,24,25,11,12,33,4,32,21,2,26,5,15,17,19,3,16,14,20,29,13,18,23,6,1
2,27.4615,0,9,31,28,7,22,30,27,8,10,24,25,11,12,33,4,32,21,2,26,5,15,17,19,3,16,6,29,23,1,14,20,18,13
3,26.2042,0,19,31,28,3,16,7,22,30,27,8,10,24,25,11,12,6,29,23,1,14,20,18,13,9,4,32,21,2,26,33,5,15,17
4,22.9035,0,7,22,28,15,17,19,31,30,27,8,10,24,25,11,12,6,29,23,1,14,20,18,13,9,4,32,21,2,26,33,5,3,16
5,20.8375,0,7,22,28,29,6,12,11,25,24,10,30,27,8,16,3,31,19,17,15,5,33,26,2,21,32,4,9,13,18,20,14,1,23
6,17.8258,0,7,22,28,29,4,32,21,2,6,12,11,25,9,31,26,30,27,8,10,24,33,5,17,19,15,3,16,23,1,14,20,18,13
7,15.553,0,7,22,28,29,10,4,32,21,2,6,12,11,25,9,31,24,26,30,27,8,33,5,17,19,15,3,16,23,1,14,20,18,13
8,14.8314,0,7,22,28,29,10,4,32,21,2,6,12,11,25,9,8,24,26,30,27,31,33,5,17,19,15,3,16,23,1,14,20,18,13
9,14.5943,0,7,22,28,29,10,4,32,21,2,6,25,11,12,9,8,24,26,30,27,31,33,5,17,19,15,3,16,23,1,14,20,18,13
10,13.8579,0,7,22,28,29,10,4,32,21,2,6,25,12,11,9,8,24,26,30,27,31,33,5,17,19,15,3,16,23,1,14,20,18,13
11,13.8579,0,7,22,28,29,10,4,32,21,2,6,25,12,11,9,8,24,26,30,27,31,33,5,17,19,15,3,16,23,1,14,20,18,13
12,13.504,0,7,22,28,29,10,4,32,21,2,6,25,12,11,9,8,24,26,30,27,17,33,5,31,19,15,3,16,23,1,14,20,18,13
13,13.504,0,7,22,28,29,10,4,32,21,2,6,25,12,11,9,8,24,26,30,27,17,33,5,31,19,15,3,16,23,1,14,20,18,13
14,13.0702,0,7,13,18,20,14,1,23,16,3,15,19,31,5,33,17,27,30,26,24,8,9,11,12,25,6,2,21,32,4,10,29,28,22
15,12.8486,0,7,13,18,20,14,1,23,22,28,16,10,4,32,21,2,6,25,12,11,9,8,24,26,30,27,17,33,5,31,19,15,3,29
16,12.5426,0,7,13,18,20,14,1,23,22,28,16,10,4,32,8,2,6,25,12,11,9,21,24,26,30,27,17,33,5,31,19,15,3,29
17,12.3558,0,7,13,18,20,14,1,23,22,28,16,10,4,32,8,2,6,25,12,21,11,9,24,26,30,27,17,33,5,31,19,15,3,29
18,12.2549,0,7,13,18,20,14,1,23,22,28,16,10,4,32,8,2,6,25,12,21,11,9,24,26,30,27,17,33,19,31,5,15,3,29
19,12.1866,0,7,13,18,20,14,1,23,22,28,16,10,30,32,8,2,6,25,12,21,11,9,24,26,4,27,17,33,19,31,5,15,3,29
20,12.0071,0,7,13,18,20,14,1,23,22,28,16,10,4,32,8,2,6,25,21,12,11,9,24,26,30,27,17,33,19,31,5,15,3,29
21,11.7322,0,7,20,1,29,22,23,14,28,16,3,10,5,27,30,4,26,24,17,33,15,19,25,6,8,32,31,21,12,2,11,9,18,13
22,11.3648,0,7,13,18,20,14,1,23,22,29,28,16,3,10,5,27,30,4,26,24,17,33,15,19,25,6,8,32,31,21,12,2,11,9
23,11.0151,0,7,13,18,20,14,1,23,22,29,28,16,3,10,15,5,31,19,33,27,30,4,26,24,17,25,6,8,32,21,12,2,11,9
24,10.7198,0,7,13,18,20,14,1,23,22,29,28,16,3,10,15,5,31,19,33,27,30,4,26,24,17,25,6,8,32,2,12,21,11,9
25,10.4552,0,7,13,18,20,14,1,23,22,29,28,16,3,10,15,5,31,19,33,27,30,4,26,24,17,25,6,8,32,2,21,12,11,9
26,10.3487,0,7,13,18,20,14,1,23,22,29,28,16,3,10,5,27,30,4,26,24,17,15,33,31,19,25,6,8,32,2,21,12,11,9
27,10.3487,0,7,13,18,20,14,1,23,22,29,28,16,3,10,5,27,30,4,26,24,17,15,33,31,19,25,6,8,32,2,21,12,11,9
28,10.3487,0,7,13,18,20,14,1,23,22,29,28,16,3,10,5,27,30,4,26,24,17,15,33,31,19,25,6,8,32,2,21,12,11,9
29,10.3472,0,7,13,18,20,14,1,23,22,29,28,16,3,10,5,27,24,30,4,26,17,15,33,31,19,25,6,8,32,2,21,12,11,9
30,10.3303,0,7,20,18,13,14,1,23,22,29,28,16,3,10,5,27,30,4,26,24,17,15,33,31,19,25,6,8,32,2,21,12,11,9
31,10.1893,0,20,14,1,23,22,29,28,16,3,10,5,27,24,30,4,26,17,15,33,31,19,32,2,21,25,6,8,12,11,9,7,13,18
32,9.87017,0,7,20,18,13,14,1,23,22,29,28,16,3,10,5,27,24,26,4,30,17,15,33,31,19,32,2,21,25,6,8,12,11,9
33,9.33685,0,7,9,11,12,8,6,25,21,2,32,19,31,33,15,17,5,30,4,26,24,27,10,3,16,28,29,22,23,1,14,20,18,13
34,9.21358,0,7,20,18,13,9,11,12,8,6,25,21,2,32,19,31,33,15,17,5,30,4,26,24,27,10,3,16,14,1,23,22,29,28
35,8.1263,0,7,20,18,13,9,11,12,8,6,25,21,2,32,19,31,33,15,17,5,30,4,26,24,27,10,3,16,28,29,22,23,1,14
36,8.10451,0,7,20,18,13,9,11,12,8,6,25,21,2,32,31,19,33,15,17,5,30,4,26,24,27,10,3,16,28,29,22,23,1,14
37,7.79196,0,7,20,18,13,9,11,12,8,6,25,21,2,32,31,19,33,5,15,17,30,4,26,24,27,10,3,16,28,29,22,23,1,14
38,7.79196,0,7,20,18,13,9,11,12,8,6,25,21,2,32,31,19,33,5,15,17,30,4,26,24,27,10,3,16,28,29,22,23,1,14
39,6.89754,0,7,20,18,13,9,11,12,2,21,25,6,8,32,31,19,33,5,15,17,30,4,26,24,27,10,3,16,28,29,22,23,1,14
40,6.89754,0,7,20,18,13,9,11,12,2,21,25,6,8,32,31,19,33,5,15,17,30,4,26,24,27,10,3,16,28,29,22,23,1,14
41,6.77723,0,14,1,23,22,29,28,16,3,10,30,27,24,4,26,17,15,5,33,19,31,32,8,6,21,2,25,12,11,9,18,13,20,7
42,6.77723,0,14,1,23,22,29,28,16,3,10,30,27,24,4,26,17,15,5,33,19,31,32,8,6,21,2,25,12,11,9,18,13,20,7
43,6.77695,0,14,1,23,22,29,28,16,3,10,30,27,24,26,4,17,15,5,33,19,31,32,8,6,21,2,25,12,11,9,18,13,20,7
44,6.76938,0,14,1,23,22,29,28,16,3,10,30,27,24,26,4,17,5,15,33,19,31,32,8,6,21,2,25,12,11,9,18,13,20,7
45,6.76938,0,14,1,23,22,29,28,16,3,10,30,27,24,26,4,17,5,15,33,19,31,32,8,6,21,2,25,12,11,9,18,13,20,7
46,6.76938,0,14,1,23,22,29,28,16,3,10,30,27,24,26,4,17,5,15,33,19,31,32,8,6,21,2,25,12,11,9,18,13,20,7
47,6.76938,0,14,1,23,22,29,28,16,3,10,30,27,24,26,4,17,5,15,33,19,31,32,8,6,21,2,25,12,11,9,18,13,20,7
48,6.76938,0,14,1,23,22,29,28,16,3,10,30,27,24,26,4,17,5,15,33,19,31,32,8,6,21,2,25,12,11,9,18,13,20,7
49,6.76938,0,14,1,23,22,29,28,16,3,10,30,27,24,26,4,17,5,15,33,19,31,32,8,6,21,2,25,12,11,9,18,13,20,7
50,6.76938,0,14,1,23,22,29,28,16,3,10,30,27,24,26,4,17,5,15,33,19,31,32,8,6,21,2,25,12,11,9,18,13,20,7
51,6.76938,0,14,1,23,22,29,28,16,3,10,30,27,24,26,4,17,5,15,33,19,31,32,8,6,21,2,25,12,11,9,18,13,20,7
52,6.76938,0,14,1,23,22,29,28,16,3,10,30,27,24,26,4,17,5,15,33,19,31,32,8,6,21,2,25,12,11,9,18,13,20,7
53,6.76938,0,14,1,23,22,29,28,16,3,10,30,27,24,26,4,17,5,15,33,19,31,32,8,6,21,2,25,12,11,9,18,13,20,7
54,6.76938,0,14,1,23,22,29,28,16,3,10,30,27,24,26,4,17,5,15,33,19,31,32,8,6,21,2,25,12,11,9,18,13,20,7
55,6.76938,0,14,1,23,22,29,28,16,3,10,30,27,24,26,4,17,5,15,33,19,31,32,8,6,21,2,25,12,11,9,18,13,20,7
56,6.76938,0,14,1,23,22,29,28,16,3,10,30,27,24,26,4,17,5,15,33,19,31,32,8,6,21,2,25,12,11,9,18,13,20,7
57,6.76938,0,14,1,23,22,29,28,16,3,10,30,27,24,26,4,17,5,15,33,19,31,32,8,6,21,2,25,12,11,9,18,13,20,7
58,6.76938,0,14,1,23,22,29,28,16,3,10,30,27,24,26,4,17,5,15,33,19,31,32,8,6,21,2,25,12,11,9,18,13,20,7
59,6.76938,0,14,1,23,22,29,28,16,3,10,30,27,24,26,4,17,5,15,33,19,31,32,8,6,21,2,25,12,11,9,18,13,20,7
60,6.76938,0,14,1,23,22,29,28,16,3,10,30,27,24,26,4,17,5,15,33,19,31,32,8,6,21,2,25,12,11,9,18,13,20,7
61,6.24306,0,7,20,13,18,9,11,12,25,21,2,6,8,32,31,19,33,15,5,17,27,24,26,4,30,10,3,16,28,29,22,23,1,14
62,6.24306,0,7,20,13,18,9,11,12,25,21,2,6,8,32,31,19,33,15,5,17,27,24,26,4,30,10,3,16,28,29,22,23,1,14
63,6.24306,0,7,20,13,18,9,11,12,25,21,2,6,8,32,31,19,33,15,5,17,27,24,26,4,30,10,3,16,28,29,22,23,1,14
64,6.24306,0,7,20,13,18,9,11,12,25,21,2,6,8,32,31,19,33,15,5,17,27,24,26,4,30,10,3,16,28,29,22,23,1,14
65,6.24306,0,7,20,13,18,9,11,12,25,21,2,6,8,32,31,19,33,15,5,17,27,24,26,4,30,10,3,16,28,29,22,23,1,14
66,6.24306,0,7,20,13,18,9,11,12,25,21,2,6,8,32,31,19,33,15,5,17,27,24,26,4,30,10,3,16,28,29,22,23,1,14
67,6.24306,0,7,20,13,18,9,11,12,25,21,2,6,8,32,31,19,33,15,5,17,27,24,26,4,30,10,3,16,28,29,22,23,1,14
68,6.24306,0,7,20,13,18,9,11,12,25,21,2,6,8,32,31,19,33,15,5,17,27,24,26,4,30,10,3,16,28,29,22,23,1,14
69,6.24306,0,7,20,13,18,9,11,12,25,21,2,6,8,32,31,19,33,15,5,17,27,24,26,4,30,10,3,16,28,29,22,23,1,14
70,6.24306,0,7,20,13,18,9,11,12,25,21,2,6,8,32,31,19,33,15,5,17,27,24,26,4,30,10,3,16,28,29,22,23,1,14
71,6.24306,0,7,20,13,18,9,11,12,25,21,2,6,8,32,31,19,33,15,5,17,27,24,26,4,30,10,3,16,28,29,22,23,1,14
72,6.24306,0,7,20,13,18,9,11,12,25,21,2,6,8,32,31,19,33,15,5,17,27,24,26,4,30,10,3,16,28,29,22,23,1,14
73,6.24306,0,7,20,13,18,9,11,12,25,21,2,6,8,32,31,19,33,15,5,17,27,24,26,4,30,10,3,16,28,29,22,23,1,14
74,6.24306,0,7,20,13,18,9,11,12,25,21,2,6,8,32,31,19,33,15,5,17,27,24,26,4,30,10,3,16,28,29,22,23,1,14
75,6.24306,0,7,20,13,18,9,11,12,25,21,2,6,8,32,31,19,33,15,5,17,27,24,26,4,30,10,3,16,28,29,22,23,1,14
76,6.24306,0,7,20,13,18,9,11,12,25,21,2,6,8,32,31,19,33,15,5,17,27,24,26,4,30,10,3,16,28,29,22,23,1,14
77,6.24306,0,7,20,13,18,9,11,12,25,21,2,6,8,32,31,19,33,15,5,17,27,24,26,4,30,10,3,16,28,29,22,23,1,14
78,6.24306,0,7,20,13,18,9,11,12,25,21,2,6,8,32,31,19,33,15,5,17,27,24,26,4,30,10,3,16,28,29,22,23,1,14
79,6.24306,0,7,20,13,18,9,11,12,25,21,2,6,8,32,31,19,33,15,5,17,27,24,26,4,30,10,3,16,28,29,22,23,1,14
