generation,best_loss,city_1,city_2,city_3,city_4,city_5,city_6,city_7,city_8,city_9,city_10,city_11,city_12,city_13,city_14,city_15,city_16,city_17,city_18,city_19,city_20,city_21,city_22,city_23,city_24,city_25,city_26,city_27,city_28,city_29,city_30,city_31,city_32,city_33,city_34
1,12.6264,0,6,9,29,28,18,3,17,2,22,27,16,30,24,31,19,14,23,25,20,5,11,33,12,4,32,10,1,15,21,7,8,13,26
2,11.1624,0,31,2,12,22,25,6,9,29,28,18,3,17,27,16,30,10,13,23,5,1,24,4,19,14,20,11,33,32,15,21,7,8,26
3,10.2922,0,31,2,12,22,25,6,9,29,28,18,3,17,27,16,30,10,13,23,20,14,19,4,24,1,5,11,33,32,15,21,7,8,26
4,9.35743,0,14,13,19,31,2,12,29,25,6,9,22,28,18,3,17,27,16,30,10,23,20,5,24,15,1,32,7,33,11,4,21,8,26
5,8.76896,0,14,13,19,31,2,12,29,25,6,9,22,28,18,3,17,16,30,10,23,20,27,5,24,15,1,32,7,33,11,4,21,8,26
6,8.44203,0,14,13,19,31,2,12,29,25,6,9,22,28,18,3,17,5,16,30,11,33,4,32,10,23,20,27,24,15,1,7,21,8,26
7,8.16654,0,14,13,19,31,2,12,29,25,6,9,22,28,18,3,17,5,16,30,11,10,23,20,27,24,15,1,32,7,33,4,21,8,26
8,7.93135,0,14,13,19,31,2,12,29,25,6,9,22,28,23,20,27,24,15,1,32,7,33,4,18,3,17,5,16,30,11,10,21,8,26
9,7.76323,0,14,13,19,31,2,12,29,25,6,9,22,28,18,3,17,5,10,11,30,16,26,8,21,4,33,1,32,7,15,24,27,20,23
10,7.11374,0,14,13,19,31,12,2,29,25,6,9,22,28,18,3,17,5,10,11,30,16,26,8,21,4,33,1,32,7,15,24,27,20,23
11,6.91808,0,14,13,19,31,12,2,29,25,6,9,22,28,18,3,17,5,7,32,1,33,4,21,8,26,10,11,30,16,15,24,27,20,23
12,6.54662,0,14,13,19,31,12,2,29,25,6,9,22,28,18,3,17,5,7,32,1,33,4,21,8,10,11,30,16,26,15,24,27,20,23
13,6.54662,0,14,13,19,31,12,2,29,25,6,9,22,28,18,3,17,5,7,32,1,33,4,21,8,10,11,30,16,26,15,24,27,20,23
14,6.11264,0,14,13,19,31,12,2,29,25,6,9,22,24,18,3,17,5,7,32,1,33,4,21,8,10,11,30,16,26,15,28,27,20,23
15,6.11264,0,14,13,19,31,12,2,29,25,6,9,22,24,18,3,17,5,7,32,1,33,4,21,8,10,11,30,16,26,15,28,27,20,23
16,6.05601,0,14,13,19,31,12,2,29,6,25,9,22,24,18,3,17,5,7,32,1,33,4,21,8,10,11,30,16,26,15,28,27,20,23
17,6.00147,0,14,13,19,31,12,2,29,6,25,9,22,5,24,18,3,17,7,32,1,33,4,21,8,10,11,30,16,26,15,28,27,20,23
18,5.94846,0,13,14,19,31,12,2,29,6,25,9,22,24,18,3,17,5,7,32,1,33,4,21,8,10,11,30,16,26,15,28,27,20,23
19,5.64656,0,13,14,19,31,12,2,29,6,25,9,22,24,18,5,3,17,7,32,1,33,4,21,8,10,11,30,16,26,15,28,27,20,23
20,5.64656,0,13,14,19,31,12,2,29,6,25,9,22,24,18,5,3,17,7,32,1,33,4,21,8,10,11,30,16,26,15,28,27,20,23
21,5.48712,0,13,14,19,31,12,2,29,6,25,9,22,24,18,5,3,17,7,32,21,33,4,1,8,10,11,30,16,26,15,28,27,20,23
22,5.48712,0,13,14,19,31,12,2,29,6,25,9,22,24,18,5,3,17,7,32,21,33,4,1,8,10,11,30,16,26,15,28,27,20,23
23,5.26732,0,13,14,19,31,12,15,26,16,30,11,10,8,1,4,33,21,32,7,17,3,5,18,24,22,9,25,6,29,2,28,27,20,23
24,5.26732,0,13,14,19,31,12,15,26,16,30,11,10,8,1,4,33,21,32,7,17,3,5,18,24,22,9,25,6,29,2,28,27,20,23
25,5.26732,0,13,14,19,31,12,15,26,16,30,11,10,8,1,4,33,21,32,7,17,3,5,18,24,22,9,25,6,29,2,28,27,20,23
26,5.26732,0,13,14,19,31,12,15,26,16,30,11,10,8,1,4,33,21,32,7,17,3,5,18,24,22,9,25,6,29,2,28,27,20,23
27,5.26732,0,13,14,19,31,12,15,26,16,30,11,10,8,1,4,33,21,32,7,17,3,5,18,24,22,9,25,6,29,2,28,27,20,23
28,5.26732,0,13,14,19,31,12,15,26,16,30,11,10,8,1,4,33,21,32,7,17,3,5,18,24,22,9,25,6,29,2,28,27,20,23
