BLOCK,ACTUAL_T,T_AVE,ERROR
177,1.45439,1.4536,0.00202237
178,1.47622,1.45372,0.002015
179,1.45466,1.45373,0.00200375
180,1.43435,1.45362,0.00199551
181,1.45192,1.45361,0.00198451
182,1.4708,1.45371,0.00197585
183,1.46893,1.45379,0.0019668
184,1.46513,1.45385,0.00195708
185,1.46088,1.45389,0.00194687
186,1.43264,1.45377,0.00193975
187,1.43004,1.45365,0.00193353
188,1.44377,1.4536,0.00192396
189,1.45154,1.45358,0.00191381
190,1.4589,1.45361,0.00190394
191,1.49909,1.45385,0.0019088
192,1.45932,1.45388,0.00189907
193,1.44784,1.45385,0.00188949
194,1.47344,1.45395,0.00188245
195,1.47579,1.45406,0.00187612
196,1.4888,1.45424,0.00187491
197,1.48199,1.45438,0.00187067
198,1.45884,1.4544,0.00186136
199,1.46738,1.45447,0.00185315
200,1.4799,1.45459,0.00184824
201,1.49122,1.45478,0.00184801
202,1.55314,1.45526,0.00190194
203,1.52735,1.45562,0.00192543
204,1.50227,1.45585,0.00192952
205,1.50785,1.4561,0.00193671
206,1.50959,1.45636,0.00194464
207,1.49057,1.45653,0.00194225
208,1.53496,1.4569,0.00196918
209,1.49114,1.45707,0.00196656
210,1.45115,1.45704,0.0019574
211,1.45455,1.45703,0.00194815
212,1.44718,1.45698,0.00193952
213,1.4626,1.45701,0.00193059
214,1.46985,1.45707,0.0019225
215,1.44097,1.45699,0.00191502
216,1.44909,1.45695,0.0019065
217,1.44993,1.45692,0.00189799
218,1.45463,1.45691,0.00188931
219,1.45173,1.45689,0.00188084
220,1.4341,1.45678,0.00187514
221,1.44144,1.45672,0.00186794
222,1.46903,1.45677,0.00186034
223,1.47306,1.45684,0.00185344
224,1.45937,1.45686,0.0018452
225,1.46998,1.45691,0.00183792
226,1.50088,1.45711,0.00184005
227,1.52162,1.45739,0.00185376
228,1.47258,1.45746,0.00184683
229,1.45163,1.45743,0.00183894
230,1.44947,1.4574,0.00183127
231,1.47778,1.45749,0.00182546
232,1.47693,1.45757,0.00181952
233,1.46423,1.4576,0.00181193
234,1.45845,1.4576,0.00180419
235,1.45497,1.45759,0.00179655
236,1.44891,1.45755,0.00178932
237,1.46242,1.45758,0.00178188
238,1.45571,1.45757,0.00177441
239,1.43876,1.45749,0.00176873
240,1.44907,1.45745,0.00176171
241,1.43461,1.45736,0.00175695
242,1.42238,1.45721,0.00175562
243,1.43873,1.45714,0.00175005
244,1.47258,1.4572,0.00174402
245,1.45621,1.4572,0.0017369
246,1.46114,1.45721,0.00172992
247,1.47712,1.45729,0.00172479
248,1.49271,1.45744,0.00172374
249,1.45277,1.45742,0.00171692
250,1.4669,1.45746,0.00171047
251,1.4892,1.45758,0.00170832
252,1.50927,1.45779,0.00171381
253,1.48023,1.45788,0.00170933
254,1.4666,1.45791,0.00170295
255,1.47777,1.45799,0.00169805
256,1.50408,1.45817,0.00170093
257,1.48521,1.45827,0.00169757
258,1.49225,1.45841,0.00169609
