N_BLOCK,ACCEPTANCE
1,5.072130e-01
2,5.075926e-01
3,5.079846e-01
4,5.082454e-01
5,5.083944e-01
6,5.087284e-01
7,5.084140e-01
8,5.083900e-01
9,5.082469e-01
10,5.082583e-01
11,5.081557e-01
12,5.082809e-01
13,5.083348e-01
14,5.083446e-01
15,5.083907e-01
16,5.084265e-01
17,5.084412e-01
18,5.082341e-01
19,5.082027e-01
20,5.083329e-01
21,5.082914e-01
22,5.082382e-01
23,5.082528e-01
24,5.083059e-01
25,5.082233e-01
26,5.082318e-01
27,5.082534e-01
28,5.081799e-01
29,5.081022e-01
30,5.081043e-01
31,5.080484e-01
32,5.080663e-01
33,5.081030e-01
34,5.081332e-01
35,5.081481e-01
36,5.082032e-01
37,5.081819e-01
38,5.081791e-01
39,5.081785e-01
40,5.081660e-01
41,5.081653e-01
42,5.081830e-01
43,5.082087e-01
44,5.081957e-01
45,5.081759e-01
46,5.081844e-01
47,5.081227e-01
48,5.081680e-01
49,5.081648e-01
50,5.081143e-01
51,5.080933e-01
52,5.079925e-01
53,5.079885e-01
54,5.080110e-01
55,5.080226e-01
56,5.079454e-01
57,5.079669e-01
58,5.079770e-01
59,5.079617e-01
60,5.079588e-01
61,5.079760e-01
62,5.080234e-01
63,5.080172e-01
64,5.080114e-01
65,5.079950e-01
66,5.080070e-01
67,5.080413e-01
68,5.080520e-01
69,5.080640e-01
70,5.080881e-01
71,5.081136e-01
72,5.080878e-01
73,5.080652e-01
74,5.080661e-01
75,5.080911e-01
76,5.081066e-01
77,5.081019e-01
78,5.081083e-01
79,5.081157e-01
80,5.081514e-01
81,5.081583e-01
82,5.081756e-01
83,5.081857e-01
84,5.081972e-01
85,5.082049e-01
86,5.082185e-01
87,5.082180e-01
88,5.082328e-01
89,5.082412e-01
90,5.082392e-01
91,5.082650e-01
92,5.082810e-01
93,5.082543e-01
94,5.082264e-01
95,5.082351e-01
96,5.082262e-01
97,5.081800e-01
98,5.081848e-01
99,5.082116e-01
100,5.082054e-01
1,5.090278e-01
2,5.076620e-01
3,5.077623e-01
4,5.081875e-01
5,5.075833e-01
6,5.076883e-01
7,5.073545e-01
8,5.074711e-01
9,5.075401e-01
10,5.077861e-01
11,5.077340e-01
12,5.078233e-01
13,5.079352e-01
14,5.080139e-01
15,5.082500e-01
16,5.083547e-01
17,5.082397e-01
18,5.082130e-01
19,5.083514e-01
20,5.084199e-01
21,5.083880e-01
22,5.083817e-01
23,5.084199e-01
24,5.084761e-01
25,5.084889e-01
26,5.084366e-01
27,5.084352e-01
28,5.084570e-01
29,5.084496e-01
30,5.084809e-01
31,5.084618e-01
32,5.084039e-01
33,5.083945e-01
34,5.084063e-01
35,5.083278e-01
36,5.082780e-01
37,5.083511e-01
38,5.083275e-01
39,5.083443e-01
40,5.082926e-01
41,5.082753e-01
42,5.083302e-01
43,5.083557e-01
44,5.083306e-01
45,5.082364e-01
46,5.082075e-01
47,5.082011e-01
48,5.081537e-01
49,5.081402e-01
50,5.081496e-01
51,5.082062e-01
52,5.081761e-01
53,5.081845e-01
54,5.082174e-01
55,5.082286e-01
56,5.082381e-01
57,5.082571e-01
58,5.082291e-01
59,5.082412e-01
60,5.082171e-01
61,5.082338e-01
62,5.082067e-01
63,5.081456e-01
64,5.081253e-01
65,5.081526e-01
66,5.081428e-01
67,5.081302e-01
68,5.081251e-01
69,5.081621e-01
70,5.081956e-01
71,5.081969e-01
72,5.081705e-01
73,5.081800e-01
74,5.081104e-01
75,5.080891e-01
76,5.080775e-01
77,5.080706e-01
78,5.080501e-01
79,5.080615e-01
80,5.080685e-01
81,5.080866e-01
82,5.080888e-01
83,5.081035e-01
84,5.081179e-01
85,5.081068e-01
86,5.080984e-01
87,5.081071e-01
88,5.080962e-01
89,5.080840e-01
90,5.080742e-01
91,5.080808e-01
92,5.080809e-01
93,5.080840e-01
94,5.080648e-01
95,5.080596e-01
96,5.080273e-01
97,5.080294e-01
98,5.080149e-01
99,5.080184e-01
100,5.080026e-01
