#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -3.37059    -3.37059           0
           2     -3.3679    -3.36925 0.000947753
           3    -3.37272     -3.3704  0.00113844
           4    -3.36922    -3.37011  0.00089169
           5    -3.36957       -3.37 0.000719905
           6     -3.3686    -3.36977 0.000636681
           7    -3.36858     -3.3696 0.000567936
           8    -3.36786    -3.36938 0.000536972
           9    -3.36758    -3.36918 0.000513103
          10    -3.36969    -3.36923 0.000464326
          11    -3.36826    -3.36914 0.000430425
          12    -3.37067    -3.36927 0.000413027
          13    -3.37002    -3.36933 0.000385274
          14    -3.37076    -3.36943 0.000371143
          15    -3.37096    -3.36953 0.000360078
          16    -3.36893    -3.36949 0.000339561
          17    -3.37008    -3.36953 0.000321307
          18    -3.37186    -3.36966   0.0003286
          19    -3.36962    -3.36966 0.000311311
          20    -3.37296    -3.36982  0.00033668
          21    -3.37175    -3.36991 0.000332991
          22      -3.372    -3.37001 0.000331112
          23    -3.37117    -3.37006 0.000320564
          24    -3.37116     -3.3701 0.000310474
          25    -3.37288    -3.37022 0.000317228
          26     -3.3705    -3.37023 0.000305221
          27    -3.36996    -3.37022  0.00029408
          28    -3.37281    -3.37031 0.000297792
          29    -3.37342    -3.37042 0.000306227
          30    -3.37075    -3.37043 0.000296217
          31    -3.36938    -3.37039 0.000288582
          32    -3.37108    -3.37041 0.000280359
          33    -3.37074    -3.37042 0.000272038
          34    -3.36943     -3.3704 0.000265607
          35    -3.37087    -3.37041 0.000258361
          36    -3.36798    -3.37034 0.000259842
          37    -3.36975    -3.37033 0.000253305
          38    -3.37021    -3.37032 0.000246658
          39    -3.37482    -3.37044 0.000265884
          40    -3.37188    -3.37047 0.000261658
          41    -3.37112    -3.37049 0.000255751
          42     -3.3705    -3.37049 0.000249662
          43    -3.37156    -3.37051 0.000245105
          44    -3.36855    -3.37047 0.000243573
          45    -3.36766    -3.37041 0.000246055
          46    -3.36926    -3.37038 0.000241968
          47    -3.37233    -3.37042 0.000240331
          48     -3.3699    -3.37041 0.000235576
          49    -3.36878    -3.37038 0.000233109
          50    -3.37056    -3.37038 0.000228474
          51     -3.3739    -3.37045  0.00023415
          52     -3.3737    -3.37051 0.000237844
          53    -3.37225    -3.37055 0.000235591
          54    -3.36979    -3.37053 0.000231641
          55    -3.37178    -3.37056 0.000228544
          56     -3.3687    -3.37052  0.00022685
          57    -3.37105    -3.37053 0.000223059
          58    -3.36975    -3.37052 0.000219622
          59    -3.36996    -3.37051 0.000216103
          60    -3.37227    -3.37054 0.000214489
          61     -3.3709    -3.37054 0.000211054
          62    -3.36972    -3.37053  0.00020807
          63    -3.36967    -3.37052  0.00020522
          64    -3.37109    -3.37053 0.000202211
          65    -3.36864     -3.3705 0.000201166
          66    -3.37058     -3.3705 0.000198122
          67    -3.37113    -3.37051 0.000195386
          68    -3.37232    -3.37053 0.000194326
          69    -3.37305    -3.37057 0.000194901
          70     -3.3696    -3.37056 0.000192613
          71    -3.36775    -3.37052 0.000193917
          72    -3.37207    -3.37054 0.000192421
          73    -3.37068    -3.37054 0.000189794
          74    -3.37169    -3.37056  0.00018786
          75     -3.3702    -3.37055 0.000185414
          76    -3.37017    -3.37055 0.000183044
          77    -3.36937    -3.37053 0.000181306
          78    -3.37016    -3.37053 0.000179045
          79    -3.36962    -3.37052 0.000177142
          80    -3.36996    -3.37051 0.000175066
          81    -3.36991     -3.3705 0.000173061
          82    -3.37004     -3.3705  0.00017104
          83    -3.37198    -3.37051 0.000169907
          84    -3.37091    -3.37052 0.000167951
          85    -3.37339    -3.37055 0.000169349
          86    -3.37057    -3.37055  0.00016738
          87    -3.37005    -3.37055 0.000165557
          88     -3.3696    -3.37054 0.000164022
          89    -3.36934    -3.37052 0.000162732
          90    -3.37281    -3.37055 0.000162897
          91     -3.3717    -3.37056 0.000161594
          92    -3.37209    -3.37058 0.000160695
          93     -3.3718    -3.37059   0.0001595
          94    -3.36801    -3.37056  0.00016014
          95    -3.37138    -3.37057 0.000158684
          96    -3.37218    -3.37059 0.000157911
          97    -3.37105    -3.37059 0.000156356
          98     -3.3696    -3.37058 0.000155088
          99    -3.36953    -3.37057 0.000153888
         100    -3.37013    -3.37057 0.000152413
