BLOCK,ACTUAL_P,P_AVE,ERROR
123,2.461995e-02,3.490160e-02,1.169633e-03
124,2.802123e-03,3.464274e-02,1.188502e-03
125,3.711548e-02,3.466252e-02,1.179158e-03
126,4.710463e-02,3.476127e-02,1.173927e-03
127,6.840819e-02,3.502620e-02,1.194206e-03
128,7.436229e-03,3.481066e-02,1.204171e-03
129,3.762160e-02,3.483245e-02,1.195034e-03
130,2.306136e-02,3.474190e-02,1.189267e-03
131,4.475402e-02,3.481833e-02,1.182641e-03
132,3.270777e-03,3.457933e-02,1.197588e-03
133,2.799561e-02,3.452983e-02,1.189606e-03
134,2.753786e-02,3.447765e-02,1.181872e-03
135,2.946090e-02,3.444049e-02,1.173701e-03
136,3.257189e-02,3.442675e-02,1.165152e-03
137,2.286880e-02,3.434238e-02,1.159697e-03
138,4.373001e-02,3.441041e-02,1.153287e-03
139,2.969338e-02,3.437648e-02,1.145489e-03
140,4.849654e-02,3.447733e-02,1.141739e-03
141,4.137607e-02,3.452626e-02,1.134689e-03
142,3.523236e-02,3.453123e-02,1.126709e-03
143,3.650995e-02,3.454507e-02,1.118915e-03
144,4.953292e-02,3.464915e-02,1.115975e-03
145,4.906621e-02,3.474858e-02,1.112699e-03
146,3.124880e-02,3.472461e-02,1.105336e-03
147,3.201282e-02,3.470616e-02,1.097971e-03
148,6.884992e-02,3.493686e-02,1.114526e-03
149,6.022274e-02,3.510657e-02,1.119891e-03
150,4.428652e-02,3.516777e-02,1.114096e-03
151,2.752744e-02,3.511717e-02,1.107866e-03
152,2.260914e-02,3.503488e-02,1.103630e-03
153,4.373249e-02,3.509173e-02,1.097880e-03
154,5.512750e-02,3.522183e-02,1.098432e-03
155,5.558100e-02,3.535318e-02,1.099171e-03
156,5.209117e-02,3.546047e-02,1.097349e-03
157,1.525008e-02,3.533174e-02,1.097884e-03
158,4.557655e-02,3.539658e-02,1.092849e-03
159,4.110673e-02,3.543250e-02,1.086565e-03
160,4.444048e-02,3.548880e-02,1.081232e-03
161,3.503962e-02,3.548601e-02,1.074520e-03
162,4.991905e-02,3.557510e-02,1.071574e-03
163,2.585590e-02,3.551547e-02,1.066658e-03
164,3.280930e-02,3.549897e-02,1.060281e-03
165,4.575352e-02,3.556112e-02,1.055675e-03
166,3.087138e-02,3.553287e-02,1.049694e-03
167,3.702712e-02,3.554182e-02,1.043446e-03
168,3.112642e-02,3.551553e-02,1.037566e-03
169,3.704433e-02,3.552458e-02,1.031466e-03
170,5.049945e-02,3.561267e-02,1.029153e-03
171,5.960627e-02,3.575298e-02,1.032655e-03
172,3.610454e-02,3.575503e-02,1.026654e-03
173,1.329263e-02,3.562519e-02,1.028897e-03
174,2.963166e-02,3.559074e-02,1.023560e-03
175,3.299295e-02,3.557590e-02,1.017819e-03
176,3.125791e-02,3.555136e-02,1.012331e-03
177,2.179971e-02,3.547367e-02,1.009589e-03
178,6.877270e-03,3.531301e-02,1.016619e-03
179,3.215344e-02,3.529536e-02,1.011093e-03
180,1.051401e-02,3.515769e-02,1.014805e-03
181,4.169931e-02,3.519383e-02,1.009842e-03
182,4.293055e-02,3.523634e-02,1.005188e-03
183,3.743586e-02,3.524836e-02,9.997670e-04
184,2.637773e-02,3.520015e-02,9.954951e-04
185,3.244321e-02,3.518525e-02,9.902256e-04
186,2.483886e-02,3.512962e-02,9.864630e-04
187,2.176137e-02,3.505813e-02,9.837747e-04
188,2.611625e-02,3.501057e-02,9.796910e-04
189,3.209106e-02,3.499512e-02,9.746292e-04
190,1.531413e-02,3.489154e-02,9.749885e-04
191,2.155704e-02,3.482172e-02,9.723802e-04
192,5.455853e-02,3.492452e-02,9.727341e-04
193,5.511855e-02,3.502915e-02,9.733051e-04
194,3.746601e-02,3.504171e-02,9.683691e-04
195,3.826353e-02,3.505824e-02,9.635441e-04
196,5.831611e-02,3.517690e-02,9.659072e-04
197,5.457075e-02,3.527534e-02,9.660079e-04
198,3.821141e-02,3.529017e-02,9.612429e-04
199,4.927818e-02,3.536046e-02,9.589791e-04
200,3.246554e-02,3.534599e-02,9.542935e-04
201,3.825133e-02,3.536044e-02,9.496552e-04
202,6.100187e-02,3.548738e-02,9.533999e-04
203,4.610166e-02,3.553967e-02,9.501361e-04
204,3.468562e-02,3.553548e-02,9.454878e-04
205,4.150356e-02,3.556460e-02,9.413237e-04
206,4.914896e-02,3.563054e-02,9.390612e-04
207,1.676952e-02,3.553942e-02,9.389347e-04
208,3.783717e-02,3.555047e-02,9.344855e-04
209,2.141986e-02,3.548286e-02,9.324569e-04
210,3.775057e-02,3.549366e-02,9.280792e-04
211,2.558288e-02,3.544669e-02,9.248685e-04
212,3.822024e-02,3.545977e-02,9.205985e-04
213,3.429732e-02,3.545431e-02,9.162926e-04
214,3.652230e-02,3.545930e-02,9.120245e-04
