BLOCK,ACTUAL_KE,KE_AVE,ERROR
177,1.61957,1.64835,0.00205306
178,1.59113,1.64803,0.00206654
179,1.64382,1.64801,0.00205513
180,1.59852,1.64773,0.00206202
181,1.66072,1.6478,0.00205188
182,1.66237,1.64788,0.00204216
183,1.6538,1.64791,0.00203126
184,1.62889,1.64781,0.00202285
185,1.6419,1.64778,0.00201217
186,1.62585,1.64766,0.0020048
187,1.61881,1.64751,0.00200001
188,1.62983,1.64741,0.00199158
189,1.64194,1.64738,0.00198125
190,1.60915,1.64718,0.00198102
191,1.62026,1.64704,0.00197566
192,1.68963,1.64726,0.00197778
193,1.69071,1.64749,0.0019803
194,1.65061,1.6475,0.00197015
195,1.65383,1.64754,0.00196032
196,1.69482,1.64778,0.0019651
197,1.68816,1.64798,0.00196579
198,1.65462,1.64802,0.00195615
199,1.67724,1.64816,0.00195182
200,1.64162,1.64813,0.00194234
201,1.65485,1.64816,0.00193296
202,1.70195,1.64843,0.00194165
203,1.66724,1.64852,0.00193429
204,1.64927,1.64853,0.00192481
205,1.66022,1.64858,0.00191627
206,1.67589,1.64872,0.00191155
207,1.60882,1.64852,0.001912
208,1.6523,1.64854,0.0019029
209,1.62133,1.64841,0.00189824
210,1.65189,1.64843,0.00188927
211,1.6276,1.64833,0.0018829
212,1.65444,1.64836,0.00187424
213,1.64791,1.64836,0.00186544
214,1.65086,1.64837,0.00185676
215,1.62288,1.64825,0.00185191
216,1.61713,1.64811,0.00184893
217,1.66855,1.6482,0.00184281
218,1.66794,1.64829,0.00183658
219,1.70054,1.64853,0.00184362
220,1.65136,1.64854,0.00183529
221,1.684,1.6487,0.00183398
222,1.63805,1.64865,0.00182635
223,1.62036,1.64853,0.00182256
224,1.59479,1.64829,0.00183015
225,1.66263,1.64835,0.00182312
226,1.62093,1.64823,0.00181909
227,1.67522,1.64835,0.00181495
228,1.71027,1.64862,0.0018272
229,1.67736,1.64875,0.00182353
230,1.63129,1.64867,0.00181718
231,1.63941,1.64863,0.00180975
232,1.67618,1.64875,0.00180584
233,1.66418,1.64881,0.00179931
234,1.68445,1.64897,0.00179805
235,1.63817,1.64892,0.00179098
236,1.68762,1.64909,0.00179089
237,1.66895,1.64917,0.00178529
238,1.66882,1.64925,0.0017797
