#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1       1.253       1.253           0
           2     1.02723     1.14012   0.0798219
           3      1.3007     1.19365   0.0688618
           4     1.16814     1.18727   0.0519408
           5     1.22772     1.19536   0.0421781
           6     1.13375     1.18509   0.0363768
           7     1.24979     1.19434   0.0323331
           8     1.22759     1.19849   0.0285575
           9     1.16834     1.19514   0.0255802
          10     1.18895     1.19452   0.0230296
          11     1.21244     1.19615   0.0209936
          12     1.19141     1.19576   0.0192478
          13     1.17062     1.19382   0.0178641
          14     1.26277     1.19875   0.0172535
          15     1.12866     1.19408    0.016724
          16     1.24031     1.19697   0.0159265
          17     1.14901     1.19415   0.0152374
          18     1.19992     1.19447   0.0143942
          19     1.17274     1.19332    0.013682
          20     1.25293      1.1963   0.0133186
          21      1.1405     1.19365   0.0129467
          22     1.20958     1.19437   0.0123785
          23     1.16541     1.19311   0.0119041
          24     1.26081     1.19593   0.0117376
          25     1.18313     1.19542   0.0112793
          26     1.17476     1.19463   0.0108734
          27     1.18299     1.19419   0.0104792
          28     1.17324     1.19345   0.0101316
          29     1.22852     1.19466  0.00985419
          30     1.23917     1.19614  0.00963678
          31     1.15556     1.19483   0.0094144
          32     1.23624     1.19612  0.00920869
          33     1.14652     1.19462   0.0090515
          34     1.15106     1.19334  0.00887548
          35      1.2506     1.19498  0.00877139
          36     1.17536     1.19443  0.00854465
          37      1.2605     1.19622  0.00849823
          38     1.12979     1.19447  0.00845244
          39     1.23112     1.19541  0.00828779
          40       1.265     1.19715  0.00826118
          41     1.11969     1.19526  0.00827291
          42     1.21492     1.19573  0.00808918
          43     1.22311     1.19636  0.00792609
          44     1.16734      1.1957  0.00777336
          45     1.16893     1.19511  0.00762336
          46     1.22317     1.19572    0.007482
          47     1.24912     1.19686  0.00740857
          48     1.13375     1.19554  0.00736997
          49     1.16974     1.19501  0.00723834
          50      1.2558     1.19623  0.00719494
