step,x,y,z
180,4.29469,12.7785,-7.03652
181,5.13528,13.3202,-7.03775
182,4.63086,13.7618,-7.77972
183,5.30808,14.0147,-8.47068
184,5.06541,14.525,-9.29572
185,4.76302,13.5719,-9.30761
186,4.14558,12.9867,-9.83328
187,3.8891,13.4845,-10.6618
188,4.44448,14.2229,-10.2791
189,4.85406,14.5182,-9.41601
190,5.21952,13.6196,-9.1733
191,5.51161,12.6806,-8.99191
192,6.13117,12.9425,-9.73187
193,6.89645,13.1616,-9.12661
194,7.62041,12.5181,-8.87796
195,8.54984,12.8141,-8.65756
196,8.40996,13.7296,-8.28025
197,8.56396,13.5183,-7.31503
198,8.60234,14.514,-7.3994
199,9.05538,14.674,-6.5224
200,8.7165,15.6146,-6.5423
201,9.38463,15.9543,-7.2043
202,8.71234,16.1274,-7.92408
203,9.23304,15.6092,-8.6026
204,8.87858,14.684,-8.73801
205,9.08373,15.4263,-8.10012
206,10.0359,15.1512,-8.23312
207,9.45654,15.946,-8.05223
208,9.12347,15.3712,-8.79973
209,8.7803,15.8175,-9.62624
210,8.49125,15.0436,-9.06268
211,8.63377,14.2459,-9.64859
212,9.05361,13.6294,-8.98249
213,9.82512,13.2666,-8.45984
214,10.3945,12.6174,-8.96425
215,9.6308,11.9994,-8.77755
216,10.4775,11.5051,-8.97437
217,10.041,12.1821,-9.56686
218,9.15775,11.7236,-9.66509
219,9.62188,12.2009,-8.91894
220,9.25171,12.9201,-9.50686
221,8.84522,12.1142,-9.93732
222,7.87274,11.8814,-9.9285
223,8.4519,12.6407,-9.63186
224,8.99362,12.5307,-10.4652
225,8.27322,13.1262,-10.8207
226,8.26782,12.704,-9.91422
227,8.08644,12.2535,-9.04005
228,8.69916,11.6099,-9.49867
229,8.9695,11.6047,-10.4614
230,9.3261,12.4379,-10.0388
231,9.05512,11.8718,-10.8172
232,9.76379,11.2399,-11.1311
233,9.7783,10.2607,-11.3339
234,9.71681,10.2632,-10.3357
235,9.19288,9.72883,-9.6725
236,8.71697,10.2632,-10.3711
237,8.23508,10.9875,-9.87804
238,7.79093,10.2061,-10.3163
239,7.71068,10.3842,-9.33559
240,8.30399,9.7641,-8.8223
241,7.41865,9.30746,-8.73485
242,7.39169,8.50388,-9.32944
243,6.43381,8.50931,-9.04233
244,6.95553,7.69419,-9.29407
245,7.8663,8.06217,-9.48137
246,6.87059,8.13325,-9.42223
247,6.47962,7.95163,-8.51992
