step,distance,error
248,15.7512,0.00576232
249,15.7829,0.00582461
250,15.8144,0.00591973
251,15.846,0.0059615
252,15.8772,0.00613361
253,15.9088,0.00621407
254,15.9416,0.00622754
255,15.9726,0.00623656
256,16.0033,0.00627155
257,16.0343,0.00630068
258,16.0645,0.00636554
259,16.0955,0.00645385
260,16.1266,0.00652145
261,16.1577,0.00656977
262,16.1884,0.00662207
263,16.2195,0.00672569
264,16.2502,0.00671192
265,16.2809,0.0067311
266,16.3115,0.00678576
267,16.343,0.00683113
268,16.3736,0.00687636
269,16.4035,0.00690248
270,16.4338,0.00689202
271,16.4634,0.00689948
272,16.4945,0.00686863
273,16.5252,0.00691408
274,16.5555,0.00691243
275,16.5852,0.00692026
276,16.6145,0.00698485
277,16.6441,0.00695958
278,16.6744,0.00695976
279,16.7049,0.00705208
280,16.7343,0.00704432
281,16.7642,0.00704962
282,16.7933,0.00713442
283,16.823,0.00714828
284,16.852,0.00721089
285,16.8825,0.00714675
286,16.9125,0.00714425
287,16.942,0.00714042
288,16.9719,0.00712673
289,17.0013,0.00710006
290,17.0298,0.00707743
291,17.0588,0.00721803
292,17.0881,0.00725788
293,17.1176,0.00724118
294,17.1477,0.00722324
295,17.1772,0.00727714
296,17.2063,0.00724938
297,17.2363,0.00718661
298,17.2651,0.0071883
299,17.2942,0.00717105
300,17.3229,0.00721741
301,17.3522,0.00728089
302,17.3824,0.00734195
303,17.4117,0.0073181
304,17.4397,0.00736383
305,17.4677,0.00721607
306,17.497,0.00717101
307,17.5253,0.00702661
308,17.554,0.0070589
309,17.5822,0.00705874
310,17.6101,0.00708337
311,17.6377,0.00709475
312,17.6662,0.0071493
313,17.6948,0.00711963
314,17.7232,0.00704755
315,17.7514,0.0070571
316,17.7795,0.007076
317,17.808,0.00716181
318,17.8363,0.00710483
319,17.8636,0.00713908
320,17.8928,0.0071945
321,17.9215,0.00715376
322,17.9484,0.0071358
323,17.9767,0.0071168
324,18.0035,0.00714041
325,18.031,0.00715805
326,18.059,0.00714803
327,18.0858,0.00709872
328,18.1132,0.00715719
329,18.1391,0.00722487
330,18.1667,0.00724383
331,18.1956,0.00721559
332,18.2218,0.00722735
333,18.2485,0.00726593
334,18.2756,0.0073023
335,18.3029,0.00737927
336,18.3305,0.00737192
337,18.3578,0.00740508
338,18.3851,0.00747096
339,18.412,0.00747705
340,18.4384,0.00743944
341,18.4669,0.0075188
342,18.4931,0.00756246
343,18.5199,0.00749223
344,18.5463,0.00747713
345,18.5724,0.00752264
346,18.5991,0.00756444
347,18.6262,0.00758916
348,18.6523,0.00759951
349,18.6789,0.00766529
350,18.7068,0.00770639
351,18.7336,0.00769774
352,18.7606,0.007742
353,18.7872,0.00767028
354,18.8141,0.00778219
355,18.8405,0.00782148
356,18.8669,0.00790837
357,18.8928,0.00779949
358,18.9193,0.00776841
359,18.9464,0.0077932
360,18.9719,0.00781806
361,18.9984,0.00787388
362,19.0247,0.00791376
363,19.0511,0.00797406
364,19.0768,0.00798766
365,19.1024,0.0079436
366,19.1286,0.00795974
367,19.1552,0.00795659
368,19.1821,0.0079997
369,19.2086,0.0080479
370,19.235,0.00802677
371,19.2602,0.00798098
372,19.2856,0.00786319
373,19.3121,0.00784949
374,19.3387,0.00778426
375,19.3643,0.00770114
376,19.3906,0.00766386
377,19.4169,0.00770515
378,19.4426,0.00763175
379,19.4687,0.00771117
380,19.4942,0.00773641
381,19.5197,0.00775792
382,19.545,0.00776698
383,19.5698,0.00783423
384,19.5952,0.00786823
385,19.6204,0.00786223
386,19.647,0.0078586
387,19.6718,0.00787617
388,19.698,0.00786926
389,19.7236,0.00786515
390,19.7479,0.00783487
391,19.7731,0.00789355
392,19.7988,0.00793632
393,19.824,0.00789734
394,19.8496,0.00788648
395,19.8747,0.00778567
396,19.9005,0.00775284
397,19.9258,0.0078241
398,19.951,0.00784606
399,19.9758,0.00785009
400,20.0004,0.00786072
401,20.0258,0.00783879
402,20.0514,0.00794441
403,20.0766,0.00799374
404,20.1013,0.00799019
405,20.1257,0.00799248
406,20.1507,0.00794714
407,20.1745,0.00789686
408,20.1987,0.00784463
409,20.2227,0.00782833
410,20.2467,0.00776768
411,20.2705,0.00764234
412,20.295,0.00766207
413,20.3192,0.00771181
414,20.3447,0.00767056
415,20.3695,0.00764249
416,20.3942,0.00776868
417,20.4185,0.00778918
418,20.4431,0.00771218
419,20.4685,0.00767262
420,20.4926,0.00776519
421,20.5173,0.00772506
422,20.5423,0.00778554
423,20.5672,0.00778303
424,20.5911,0.00774746
425,20.6142,0.0077215
426,20.6386,0.00775644
427,20.664,0.00782683
428,20.6872,0.00778657
429,20.7128,0.0078276
430,20.7372,0.00793347
431,20.7602,0.00796143
432,20.7833,0.0079975
433,20.8074,0.00811534
434,20.8308,0.00817869
435,20.8552,0.00821374
436,20.8787,0.00822578
437,20.9032,0.0082933
438,20.9274,0.00828379
439,20.9514,0.00829055
440,20.9752,0.00835768
441,20.9986,0.00827169
442,21.021,0.00812614
443,21.0444,0.00816474
444,21.0677,0.00822893
445,21.0925,0.0082597
446,21.1154,0.00824446
447,21.1382,0.00823117
448,21.1621,0.0082666
449,21.1855,0.00828932
450,21.2102,0.00832497
451,21.2335,0.008388
452,21.2567,0.00842522
453,21.2808,0.00835876
454,21.3037,0.00844279
455,21.3261,0.00852105
456,21.3498,0.00851558
457,21.3731,0.0085294
458,21.3962,0.00847201
459,21.4194,0.00856087
460,21.4419,0.00862167
461,21.4648,0.00868788
462,21.4882,0.00879001
463,21.5114,0.00884714
464,21.5341,0.00886297
465,21.5578,0.00889778
466,21.5806,0.00889287
467,21.603,0.00889989
468,21.6258,0.00888029
469,21.6494,0.00880601
470,21.6723,0.0088642
471,21.6947,0.00888079
472,21.7183,0.00880689
473,21.7413,0.00880614
474,21.7653,0.00878822
475,21.7883,0.00882009
476,21.8105,0.00878481
477,21.833,0.00880393
478,21.8564,0.00878171
479,21.8794,0.00876098
480,21.9009,0.00866777
481,21.9235,0.00867709
482,21.9469,0.0086879
483,21.9695,0.00864093
484,21.9923,0.00862487
485,22.0149,0.0085923
486,22.0385,0.00857759
487,22.0604,0.00861291
488,22.0842,0.00868628
489,22.1067,0.00865397
490,22.1298,0.0086229
491,22.1518,0.00865482
492,22.1748,0.00866646
493,22.1979,0.00875103
494,22.2209,0.00878141
495,22.2423,0.00876533
496,22.2645,0.00882737
497,22.2869,0.00892542
498,22.3097,0.00901778
499,22.3323,0.00899795
500,22.3549,0.00897564
501,22.3776,0.00898058
502,22.4,0.00886936
503,22.4213,0.00900788
504,22.4439,0.00910896
505,22.4649,0.00910861
506,22.4865,0.00907555
507,22.5075,0.00909859
508,22.5296,0.00907702
509,22.551,0.00917867
510,22.5729,0.00919802
511,22.5955,0.00919021
512,22.6178,0.00914397
513,22.6403,0.0092084
514,22.6635,0.00921427
515,22.6849,0.0092191
516,22.7071,0.00916382
517,22.7288,0.00921276
518,22.7496,0.00920036
519,22.7706,0.00916904
520,22.7926,0.00909658
521,22.8139,0.00911658
522,22.8363,0.00914504
523,22.8581,0.00918037
524,22.881,0.00925407
525,22.9022,0.00932428
526,22.9242,0.00934426
527,22.9456,0.00943253
528,22.9671,0.0094105
529,22.9893,0.00934716
530,23.0094,0.00942152
531,23.0308,0.00947384
532,23.0524,0.00952798
533,23.0742,0.0094801
534,23.0952,0.00950537
535,23.1165,0.00951589
536,23.1381,0.00948402
537,23.1595,0.00945933
538,23.1803,0.00957351
539,23.2025,0.00958879
540,23.2244,0.00967077
541,23.2451,0.00963268
542,23.2671,0.0097162
543,23.2889,0.00967448
544,23.3094,0.00974648
545,23.3301,0.00977081
546,23.3511,0.00982989
547,23.3723,0.00987811
548,23.3939,0.00982699
549,23.4147,0.0097606
550,23.4358,0.00978989
551,23.4584,0.00981187
552,23.4791,0.00981145
553,23.4999,0.00987418
554,23.5209,0.00984407
555,23.5414,0.00981769
556,23.5636,0.00990046
557,23.587,0.00985092
558,23.6095,0.00986782
559,23.6307,0.00983797
560,23.6524,0.00984557
561,23.6735,0.00988387
562,23.6947,0.00996322
563,23.7161,0.0100197
564,23.7368,0.0100582
565,23.7586,0.0099983
566,23.7802,0.0100318
567,23.8016,0.00994258
568,23.8224,0.0100344
569,23.8442,0.0100414
570,23.8646,0.010135
571,23.8848,0.0102809
572,23.9051,0.0102489
573,23.9259,0.0102004
574,23.9464,0.0100637
575,23.9687,0.010107
576,23.9895,0.0100813
577,24.0112,0.0101581
578,24.032,0.010139
579,24.0529,0.0100615
580,24.0738,0.010124
581,24.0951,0.0101354
582,24.1148,0.010091
583,24.1355,0.0102012
584,24.1568,0.0101899
585,24.1776,0.0102637
586,24.1982,0.0102242
587,24.219,0.010224
588,24.2399,0.0102585
589,24.2604,0.0102903
590,24.2819,0.0103128
591,24.303,0.0103866
592,24.3235,0.0103816
593,24.3436,0.0103566
594,24.3639,0.0102091
595,24.3845,0.0102707
596,24.4048,0.0102495
597,24.4238,0.0101944
598,24.4433,0.0102342
599,24.4642,0.0102762
600,24.4844,0.0104182
601,24.5045,0.0103604
602,24.5247,0.0103516
603,24.5468,0.0102827
604,24.5661,0.0103285
605,24.5859,0.0103787
606,24.6057,0.0104117
607,24.6274,0.0103963
608,24.6483,0.0103935
609,24.6682,0.0104722
610,24.6887,0.0105003
611,24.7095,0.0105096
612,24.7294,0.0105127
613,24.7506,0.0104964
614,24.7706,0.0104647
615,24.7903,0.0104054
616,24.81,0.0103855
617,24.8296,0.0103521
618,24.8494,0.0103918
619,24.8695,0.0105049
620,24.8893,0.0104411
621,24.9091,0.0104766
622,24.929,0.0104206
623,24.9498,0.0104529
624,24.97,0.0103794
625,24.9891,0.0104761
626,25.0083,0.0104705
627,25.0278,0.0104301
628,25.0486,0.0104739
629,25.069,0.0105426
630,25.0899,0.0105209
631,25.1107,0.0103942
632,25.1315,0.0104078
633,25.151,0.0103536
634,25.1703,0.0104544
635,25.1899,0.0103898
636,25.2093,0.0104492
637,25.2285,0.0104911
638,25.2489,0.0105533
639,25.2687,0.0106032
640,25.2893,0.0105988
641,25.31,0.0106529
642,25.3306,0.0105822
643,25.35,0.0105285
644,25.3698,0.0104688
645,25.3891,0.010513
646,25.4091,0.0105572
647,25.428,0.0105741
648,25.4483,0.0105324
649,25.4664,0.0104778
650,25.4865,0.0104802
651,25.5064,0.010487
652,25.5254,0.0105643
653,25.5447,0.0105689
654,25.563,0.0105495
655,25.5819,0.0105146
656,25.6013,0.0105823
657,25.6212,0.0107034
658,25.6413,0.0107325
659,25.662,0.0107149
660,25.6805,0.0106195
661,25.699,0.0106878
662,25.7189,0.0107965
663,25.7385,0.0108093
664,25.7567,0.0107138
665,25.7759,0.0106938
666,25.7954,0.0107078
667,25.8148,0.0107708
668,25.8345,0.0108047
669,25.8533,0.0108088
670,25.8732,0.0108021
671,25.8928,0.0108845
672,25.9109,0.0108456
673,25.9305,0.0108546
674,25.951,0.0108079
675,25.9699,0.0107632
676,25.9902,0.0107183
677,26.0095,0.0106766
678,26.0295,0.0106372
679,26.0481,0.0106408
680,26.0679,0.0106657
681,26.0866,0.0107204
682,26.1059,0.0106513
683,26.1257,0.0106886
684,26.1447,0.0107153
685,26.1634,0.0106216
686,26.1834,0.010688
687,26.2025,0.0106174
688,26.2214,0.0106278
689,26.2407,0.0105599
690,26.2597,0.0106332
691,26.2785,0.0105836
692,26.2973,0.0106948
693,26.3165,0.0106964
694,26.3358,0.0106273
695,26.3561,0.0106535
696,26.3762,0.0105496
697,26.3952,0.0105261
698,26.4131,0.0106145
699,26.4307,0.0105848
700,26.4496,0.0106959
701,26.4678,0.0107294
702,26.4867,0.0107567
703,26.5053,0.010663
704,26.5235,0.0107031
705,26.5429,0.0106835
706,26.5618,0.0107429
707,26.5803,0.010734
708,26.5988,0.0107137
709,26.6174,0.010749
710,26.6367,0.0107881
711,26.656,0.0108097
712,26.6755,0.010838
713,26.6943,0.0108048
714,26.7128,0.0108313
715,26.7326,0.0108358
716,26.7516,0.0108951
717,26.7708,0.0109673
718,26.7894,0.0108833
719,26.8081,0.0109613
720,26.8267,0.0110311
721,26.8453,0.0110287
722,26.8634,0.0109943
723,26.8812,0.0110509
724,26.8998,0.0110353
725,26.9183,0.0110598
726,26.9365,0.0111192
727,26.954,0.0112129
728,26.9724,0.011255
729,26.9918,0.011189
730,27.01,0.0112228
731,27.0277,0.0112093
732,27.0468,0.0112177
733,27.0643,0.0112156
734,27.0827,0.0112228
735,27.1013,0.011288
736,27.1191,0.0113561
737,27.1379,0.0113738
738,27.1562,0.0113937
739,27.1745,0.0114016
740,27.1931,0.0113974
741,27.212,0.0114379
742,27.2304,0.0114836
743,27.2496,0.011503
744,27.2669,0.0116182
745,27.2867,0.0116313
746,27.3051,0.0116386
747,27.323,0.0116998
748,27.3403,0.0117111
749,27.3579,0.0116558
750,27.3763,0.0117297
751,27.3938,0.0118723
752,27.412,0.0118539
753,27.43,0.011909
754,27.4479,0.0119143
755,27.4663,0.0118754
756,27.4851,0.0118374
757,27.5027,0.011847
758,27.5207,0.0118813
759,27.5396,0.0119693
760,27.5575,0.0119606
761,27.5756,0.0119844
762,27.5949,0.0118749
763,27.6127,0.0119289
764,27.6317,0.0119382
765,27.6498,0.0118455
766,27.6685,0.0117685
767,27.6867,0.0118232
768,27.704,0.0118504
769,27.7219,0.0119046
770,27.74,0.01184
771,27.7591,0.0117984
772,27.7773,0.0118628
773,27.7951,0.0118525
774,27.8135,0.0117607
775,27.8319,0.0117455
776,27.8503,0.0117738
777,27.8673,0.0117752
778,27.8845,0.0117599
779,27.9029,0.0117602
780,27.9214,0.0115318
781,27.9396,0.011522
782,27.9568,0.011636
