step,distance,error
247,15.711,0.00592482
248,15.742,0.00590297
249,15.7734,0.00580293
250,15.8051,0.00580995
251,15.8374,0.00583329
252,15.868,0.00587277
253,15.9001,0.00597038
254,15.9316,0.00599265
255,15.9632,0.00608119
256,15.9948,0.00613435
257,16.0255,0.00614117
258,16.0568,0.00618173
259,16.0868,0.00625652
260,16.118,0.00630561
261,16.1479,0.00627171
262,16.179,0.00625602
263,16.2113,0.00622175
264,16.2422,0.0062164
265,16.2725,0.00617858
266,16.3031,0.00620338
267,16.3336,0.00610295
268,16.3641,0.00615055
269,16.3936,0.00624577
270,16.4238,0.00623681
271,16.4544,0.00625993
272,16.485,0.00629856
273,16.5145,0.00626328
274,16.5448,0.00631246
275,16.5749,0.00637297
276,16.6054,0.00645736
277,16.6356,0.00636351
278,16.6659,0.006375
279,16.6969,0.00641742
280,16.7274,0.00641295
281,16.7576,0.00634092
282,16.787,0.00628367
283,16.8167,0.00634981
284,16.847,0.00622495
285,16.8765,0.00625123
286,16.9068,0.00631445
287,16.9363,0.00644204
288,16.9656,0.00642871
289,16.9953,0.00644751
290,17.0239,0.00651355
291,17.0526,0.00652354
292,17.0831,0.00661481
293,17.1125,0.00670875
294,17.1408,0.00672825
295,17.1704,0.00665324
296,17.2006,0.00656681
297,17.2294,0.00662127
298,17.2577,0.0066121
299,17.2868,0.00662037
300,17.3161,0.00665226
301,17.346,0.00669191
302,17.3761,0.00671454
303,17.4057,0.00672707
304,17.4349,0.00674135
305,17.4633,0.00668257
306,17.4907,0.00665982
307,17.5192,0.00669245
308,17.5471,0.00665486
309,17.5753,0.00664748
310,17.6029,0.00671271
311,17.6316,0.00670457
312,17.6607,0.00671892
313,17.689,0.00689229
314,17.7165,0.0069323
315,17.7443,0.00687993
316,17.7724,0.00685267
317,17.8012,0.00686596
318,17.8302,0.00693282
319,17.8591,0.00685209
320,17.8873,0.00682492
321,17.9155,0.00682843
322,17.943,0.00677698
323,17.9706,0.00679361
324,17.9985,0.00678737
325,18.0262,0.00683436
326,18.0547,0.00681878
327,18.0827,0.00680618
328,18.1109,0.00674325
329,18.1387,0.00676877
330,18.1658,0.00679545
331,18.1926,0.00685006
332,18.2196,0.00686319
333,18.2473,0.00684186
334,18.2743,0.00674384
335,18.302,0.00670307
336,18.3293,0.00678258
337,18.3574,0.00672043
338,18.3845,0.00668932
339,18.4124,0.00678337
340,18.4388,0.00681897
341,18.4657,0.00685828
342,18.4928,0.00681506
343,18.5197,0.00687355
344,18.5472,0.00689544
345,18.5741,0.00692933
346,18.6015,0.00694202
347,18.6297,0.00695977
348,18.6565,0.00695562
349,18.6844,0.00699644
350,18.7106,0.00704031
351,18.7373,0.00709599
352,18.7643,0.00713105
353,18.7913,0.00715409
354,18.8172,0.00726255
355,18.8434,0.00731853
356,18.8702,0.00734428
357,18.8967,0.00743326
358,18.924,0.00750209
359,18.9504,0.00752341
360,18.9774,0.00753705
361,19.004,0.00750749
362,19.0301,0.00741684
363,19.0568,0.00749202
364,19.0822,0.00752157
365,19.1075,0.00760089
366,19.1339,0.00758494
367,19.1607,0.0075871
368,19.1862,0.0075191
369,19.2135,0.00759053
370,19.2405,0.00761094
371,19.2664,0.0076515
372,19.292,0.00768095
373,19.3188,0.00771985
374,19.3439,0.00775553
375,19.3695,0.00761544
376,19.3957,0.00765114
377,19.4212,0.00765269
378,19.4468,0.00764309
379,19.4718,0.00767342
380,19.4979,0.00769728
381,19.5244,0.00767883
382,19.5502,0.00768703
383,19.5758,0.00770417
384,19.601,0.007764
385,19.6277,0.00770974
386,19.653,0.00763243
387,19.6784,0.00765951
388,19.7046,0.00765335
389,19.7302,0.00758964
390,19.7563,0.00761695
391,19.7817,0.00762909
392,19.8072,0.00764361
393,19.8321,0.0075979
394,19.8565,0.00757942
395,19.8815,0.00750598
396,19.9068,0.00749335
397,19.9327,0.00741631
398,19.9579,0.00740706
399,19.9824,0.00750687
400,20.0075,0.00752957
401,20.0322,0.00752194
402,20.0587,0.00742817
403,20.0829,0.00748949
404,20.1073,0.0075465
405,20.1325,0.00761738
406,20.1573,0.0076373
407,20.1811,0.0077251
408,20.2062,0.00772524
409,20.2309,0.00768171
410,20.2551,0.00776192
411,20.2796,0.00783028
412,20.3044,0.00779004
413,20.3276,0.00774772
414,20.3523,0.00779517
415,20.3768,0.00773027
416,20.4014,0.00774346
417,20.4264,0.00778873
418,20.4509,0.00763654
419,20.4749,0.00760466
420,20.4998,0.00764618
421,20.5249,0.0076966
422,20.5494,0.00777059
423,20.5741,0.00792305
424,20.599,0.00795566
425,20.6237,0.00795577
426,20.6486,0.00797176
427,20.6728,0.00797096
428,20.6973,0.00797833
429,20.7214,0.00805105
430,20.7446,0.00800214
431,20.7688,0.00799934
432,20.7926,0.00807714
433,20.8158,0.00806256
434,20.8391,0.00804248
435,20.8637,0.00812466
436,20.8876,0.00817094
437,20.9108,0.00822358
438,20.9351,0.00827924
439,20.9588,0.00826913
440,20.9827,0.00815799
441,21.0065,0.00817904
442,21.0308,0.00800325
443,21.0545,0.00795505
444,21.0782,0.00797332
445,21.1008,0.00803434
446,21.1247,0.00816548
447,21.1491,0.00815621
448,21.1721,0.00820731
449,21.1958,0.00832596
450,21.2198,0.00843799
451,21.2428,0.00843858
452,21.2667,0.0083916
453,21.2911,0.00835704
454,21.3142,0.00838557
455,21.338,0.00850121
456,21.3616,0.00854125
457,21.3844,0.00857562
458,21.4072,0.0086263
459,21.4309,0.00857883
460,21.4549,0.00857838
461,21.4778,0.0085973
462,21.5012,0.00861766
463,21.5245,0.00865763
464,21.5481,0.00857849
465,21.5719,0.00858735
466,21.5943,0.00860272
467,21.6173,0.00871782
468,21.6408,0.00877245
469,21.6637,0.00882497
470,21.6857,0.00886502
471,21.7091,0.00883619
472,21.732,0.00884027
473,21.7543,0.00877629
474,21.7776,0.00874814
475,21.8011,0.00882393
476,21.8254,0.0087074
477,21.8477,0.00877053
478,21.8701,0.0087581
479,21.8928,0.00871109
480,21.915,0.00873981
481,21.9375,0.00874095
482,21.9605,0.00874689
483,21.9835,0.00867538
484,22.0066,0.00877115
485,22.0292,0.00877475
