step,x,y,z
342,-8,2,16
343,-8,2,17
344,-8,2,18
345,-8,2,19
346,-9,2,19
347,-9,3,19
348,-9,2,19
349,-9,2,20
350,-9,3,20
351,-9,2,20
352,-9,1,20
353,-9,1,19
354,-9,1,20
355,-8,1,20
356,-8,1,19
357,-9,1,19
358,-10,1,19
359,-10,1,20
360,-11,1,20
361,-10,1,20
362,-10,0,20
363,-10,-1,20
364,-10,0,20
365,-10,0,21
366,-10,1,21
367,-11,1,21
368,-11,0,21
369,-12,0,21
370,-12,1,21
371,-12,1,20
372,-11,1,20
373,-11,0,20
374,-11,1,20
375,-11,0,20
376,-11,0,19
377,-12,0,19
378,-12,0,18
379,-12,0,19
380,-12,0,18
381,-13,0,18
382,-12,0,18
383,-12,0,19
384,-11,0,19
385,-11,0,20
386,-12,0,20
387,-11,0,20
388,-11,0,21
389,-10,0,21
390,-10,-1,21
391,-10,-1,22
392,-10,0,22
393,-10,0,23
394,-10,-1,23
395,-9,-1,23
396,-10,-1,23
397,-10,-1,22
398,-10,-1,21
399,-10,0,21
400,-10,0,22
401,-10,-1,22
402,-10,0,22
403,-9,0,22
404,-8,0,22
405,-9,0,22
406,-8,0,22
407,-8,0,21
408,-9,0,21
409,-9,1,21
410,-10,1,21
411,-10,1,22
412,-10,1,21
413,-10,1,22
414,-10,0,22
415,-10,1,22
416,-10,1,23
417,-9,1,23
418,-8,1,23
419,-8,2,23
420,-7,2,23
421,-8,2,23
422,-8,1,23
423,-8,1,24
424,-8,0,24
425,-8,1,24
426,-8,1,25
427,-8,1,24
428,-8,1,23
429,-9,1,23
430,-9,0,23
431,-9,1,23
432,-10,1,23
433,-10,1,24
434,-10,1,23
435,-10,1,22
436,-10,1,23
437,-10,2,23
438,-11,2,23
439,-11,2,24
440,-11,2,23
441,-11,2,24
442,-11,2,25
443,-12,2,25
444,-11,2,25
445,-11,2,24
446,-12,2,24
447,-12,1,24
448,-12,0,24
449,-11,0,24
450,-11,-1,24
451,-11,-2,24
452,-11,-1,24
453,-11,-1,25
454,-11,-1,26
455,-11,-1,25
456,-11,-2,25
457,-11,-3,25
