#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         168     1.28811     1.28142  0.00279761
         169     1.31672     1.28163  0.00278885
         170     1.30531     1.28177  0.00277592
         171      1.2755     1.28173  0.00275993
         172     1.28913     1.28177  0.00274422
         173     1.27855     1.28175  0.00272842
         174     1.25586     1.28161  0.00271679
         175     1.27784     1.28158  0.00270135
         176     1.26994     1.28152  0.00268681
         177     1.25008     1.28134   0.0026775
         178     1.28546     1.28136  0.00266256
         179        1.28     1.28136  0.00264769
         180     1.27033     1.28129  0.00263369
         181     1.25269     1.28114  0.00262388
         182     1.29916     1.28124  0.00261133
         183     1.27106     1.28118  0.00259765
         184     1.27842     1.28116  0.00258358
         185     1.29733     1.28125  0.00257109
         186     1.30735     1.28139  0.00256109
         187     1.31202     1.28156  0.00255263
         188     1.30478     1.28168  0.00254204
         189     1.31733     1.28187  0.00253558
         190     1.31329     1.28203  0.00252762
         191     1.31289      1.2822  0.00251955
         192     1.33913     1.28249  0.00252382
         193     1.31814     1.28268  0.00251749
         194     1.30611      1.2828  0.00250741
         195     1.29255     1.28285  0.00249505
         196     1.32634     1.28307  0.00249217
         197     1.34435     1.28338  0.00249886
         198     1.34865     1.28371  0.00250788
         199     1.32971     1.28394  0.00250591
         200     1.29482       1.284  0.00249397
