BLOCK,ACTUAL_M,M_AVE,ERROR
1,2.812400e-02,2.812400e-02,0.000000e+00
2,3.751600e-02,3.282000e-02,3.320573e-03
3,3.249600e-02,3.271200e-02,2.215471e-03
4,4.001200e-02,3.453700e-02,2.293228e-03
5,2.123600e-02,3.187680e-02,3.004501e-03
6,2.307200e-02,3.040933e-02,2.839598e-03
7,1.849200e-02,2.870686e-02,2.899730e-03
8,3.701200e-02,2.974500e-02,2.716750e-03
9,3.308000e-02,3.011556e-02,2.440029e-03
10,2.298800e-02,2.940280e-02,2.297771e-03
11,3.809600e-02,3.019309e-02,2.220633e-03
12,3.314400e-02,3.043900e-02,2.049151e-03
13,2.673600e-02,3.015415e-02,1.911219e-03
14,2.010800e-02,2.943657e-02,1.904657e-03
15,2.762000e-02,2.931547e-02,1.781525e-03
16,3.774800e-02,2.984250e-02,1.746398e-03
17,3.027600e-02,2.986800e-02,1.643855e-03
18,4.010000e-02,3.043644e-02,1.647885e-03
19,3.921200e-02,3.089832e-02,1.624592e-03
20,2.175600e-02,3.044120e-02,1.606386e-03
21,2.652800e-02,3.025486e-02,1.540661e-03
22,3.275200e-02,3.036836e-02,1.474807e-03
23,2.127600e-02,2.997304e-02,1.462708e-03
24,3.300800e-02,3.009950e-02,1.407217e-03
25,4.201200e-02,3.057600e-02,1.429328e-03
26,2.991200e-02,3.055046e-02,1.374582e-03
27,3.296800e-02,3.064000e-02,1.326585e-03
28,2.566000e-02,3.046214e-02,1.291074e-03
29,3.123200e-02,3.048869e-02,1.246827e-03
30,2.564000e-02,3.032707e-02,1.215697e-03
31,3.376400e-02,3.043794e-02,1.181525e-03
32,4.612000e-02,3.092800e-02,1.242084e-03
33,3.396800e-02,3.102012e-02,1.207857e-03
34,3.034000e-02,3.100012e-02,1.172497e-03
35,2.937200e-02,3.095360e-02,1.139920e-03
36,3.915600e-02,3.118144e-02,1.130796e-03
37,1.815600e-02,3.082941e-02,1.153732e-03
38,2.744400e-02,3.074032e-02,1.126805e-03
39,1.888000e-02,3.043621e-02,1.138211e-03
40,2.563600e-02,3.031620e-02,1.116064e-03
41,2.702800e-02,3.023600e-02,1.091721e-03
42,2.924000e-02,3.021229e-02,1.065985e-03
43,2.820800e-02,3.016567e-02,1.042213e-03
44,1.968800e-02,2.992755e-02,1.045377e-03
45,2.201600e-02,2.975173e-02,1.036825e-03
46,2.162400e-02,2.957504e-02,1.029230e-03
47,4.476000e-02,2.989813e-02,1.056825e-03
48,4.786800e-02,3.027250e-02,1.099119e-03
49,2.674800e-02,3.020057e-02,1.079039e-03
50,3.369600e-02,3.027048e-02,1.059721e-03
51,3.530800e-02,3.036925e-02,1.043535e-03
52,2.247200e-02,3.021738e-02,1.034459e-03
53,4.372000e-02,3.047215e-02,1.045842e-03
54,4.530400e-02,3.074681e-02,1.061929e-03
55,2.265200e-02,3.059964e-02,1.052771e-03
56,2.936000e-02,3.057750e-02,1.034205e-03
57,4.188800e-02,3.077593e-02,1.034922e-03
58,3.646000e-02,3.087393e-02,1.021708e-03
59,2.698000e-02,3.080793e-02,1.006520e-03
60,2.899600e-02,3.077773e-02,9.901976e-04
61,3.098000e-02,3.078105e-02,9.739704e-04
62,2.583200e-02,3.070123e-02,9.615267e-04
63,1.870400e-02,3.051079e-02,9.649378e-04
64,3.388000e-02,3.056344e-02,9.512956e-04
65,3.368000e-02,3.061138e-02,9.378678e-04
66,2.915600e-02,3.058933e-02,9.239169e-04
67,3.814400e-02,3.070209e-02,9.169818e-04
68,4.170400e-02,3.086388e-02,9.176592e-04
69,2.872400e-02,3.083287e-02,9.048836e-04
70,1.686400e-02,3.063331e-02,9.136959e-04
71,4.829200e-02,3.088203e-02,9.340645e-04
72,3.688400e-02,3.096539e-02,9.248037e-04
73,2.911200e-02,3.094000e-02,9.124836e-04
74,3.758800e-02,3.102984e-02,9.045644e-04
75,2.556800e-02,3.095701e-02,8.954302e-04
76,3.281600e-02,3.098147e-02,8.839823e-04
77,3.168400e-02,3.099060e-02,8.725491e-04
78,3.448800e-02,3.103544e-02,8.625138e-04
79,3.979200e-02,3.114628e-02,8.586887e-04
80,4.165600e-02,3.127765e-02,8.579455e-04
81,2.497600e-02,3.119985e-02,8.508736e-04
82,3.404000e-02,3.123449e-02,8.412018e-04
83,4.586400e-02,3.141075e-02,8.493321e-04
84,4.516000e-02,3.157443e-02,8.548477e-04
85,1.405200e-02,3.136828e-02,8.692915e-04
86,3.277200e-02,3.138460e-02,8.593366e-04
87,4.071200e-02,3.149182e-02,8.561210e-04
88,2.283200e-02,3.139341e-02,8.520293e-04
89,1.375200e-02,3.119519e-02,8.652057e-04
90,2.044800e-02,3.107578e-02,8.637935e-04
91,3.149200e-02,3.108035e-02,8.543134e-04
92,2.356000e-02,3.099861e-02,8.489291e-04
93,3.212400e-02,3.101071e-02,8.398870e-04
94,3.300800e-02,3.103196e-02,8.312208e-04
95,2.904800e-02,3.101107e-02,8.227334e-04
96,3.032000e-02,3.100387e-02,8.141948e-04
97,2.695600e-02,3.096214e-02,8.068697e-04
98,2.564000e-02,3.090784e-02,8.004619e-04
99,3.712000e-02,3.097059e-02,7.948321e-04
100,4.352800e-02,3.109616e-02,7.967416e-04
