BLOCK,ACTUAL_X,X_AVE,ERROR
1,1.022852e+00,1.022852e+00,0.000000e+00
2,1.010159e+00,1.016505e+00,4.487690e-03
3,1.001586e+00,1.011532e+00,5.043600e-03
4,1.049324e+00,1.020980e+00,9.014277e-03
5,9.807690e-01,1.012938e+00,1.018561e-02
6,1.009552e+00,1.012374e+00,8.503632e-03
7,1.029555e+00,1.014828e+00,7.634853e-03
8,1.027086e+00,1.016360e+00,6.832525e-03
9,1.032172e+00,1.018117e+00,6.295186e-03
10,1.019138e+00,1.018219e+00,5.666495e-03
11,1.016697e+00,1.018081e+00,5.153050e-03
12,9.978862e-01,1.016398e+00,4.990869e-03
13,1.061414e+00,1.019861e+00,5.682636e-03
14,9.845345e-01,1.017337e+00,5.810008e-03
15,1.038252e+00,1.018732e+00,5.587470e-03
16,1.011052e+00,1.018252e+00,5.258830e-03
17,1.009810e+00,1.017755e+00,4.972875e-03
18,1.013752e+00,1.017533e+00,4.701575e-03
19,1.004538e+00,1.016849e+00,4.503596e-03
20,1.004452e+00,1.016229e+00,4.320862e-03
21,9.917724e-01,1.015064e+00,4.269169e-03
22,1.013221e+00,1.014981e+00,4.075939e-03
23,1.037045e+00,1.015940e+00,4.010028e-03
24,1.045100e+00,1.017155e+00,4.022803e-03
25,9.902276e-01,1.016078e+00,4.003488e-03
26,1.033124e+00,1.016733e+00,3.902823e-03
27,1.000714e+00,1.016140e+00,3.803106e-03
28,1.042676e+00,1.017088e+00,3.783519e-03
29,1.020314e+00,1.017199e+00,3.654688e-03
30,1.026190e+00,1.017499e+00,3.545131e-03
31,9.899414e-01,1.016610e+00,3.540471e-03
32,1.008917e+00,1.016369e+00,3.437982e-03
33,1.007000e+00,1.016085e+00,3.345504e-03
34,1.001697e+00,1.015662e+00,3.273765e-03
35,1.027652e+00,1.016005e+00,3.198101e-03
36,1.034907e+00,1.016530e+00,3.152071e-03
37,9.961724e-01,1.015980e+00,3.114529e-03
38,1.017393e+00,1.016017e+00,3.032790e-03
39,1.028383e+00,1.016334e+00,2.971555e-03
40,9.622862e-01,1.014983e+00,3.189707e-03
41,9.885276e-01,1.014338e+00,3.176503e-03
42,1.030745e+00,1.014728e+00,3.124801e-03
43,1.020672e+00,1.014866e+00,3.055187e-03
44,1.065883e+00,1.016026e+00,3.198204e-03
45,1.042234e+00,1.016608e+00,3.179722e-03
46,1.052038e+00,1.017378e+00,3.202521e-03
47,1.017897e+00,1.017390e+00,3.134401e-03
48,9.827034e-01,1.016667e+00,3.151300e-03
49,1.046279e+00,1.017271e+00,3.144402e-03
50,1.018134e+00,1.017288e+00,3.081561e-03
51,9.697414e-01,1.016356e+00,3.159021e-03
52,9.819759e-01,1.015695e+00,3.166702e-03
53,1.003172e+00,1.015459e+00,3.115755e-03
54,1.051938e+00,1.016134e+00,3.130433e-03
55,1.030869e+00,1.016402e+00,3.084958e-03
56,1.007824e+00,1.016249e+00,3.033671e-03
57,1.022766e+00,1.016363e+00,2.982602e-03
58,1.005866e+00,1.016182e+00,2.936664e-03
59,1.046848e+00,1.016702e+00,2.932526e-03
60,1.028917e+00,1.016906e+00,2.890709e-03
61,9.781276e-01,1.016270e+00,2.912382e-03
62,1.005914e+00,1.016103e+00,2.870194e-03
63,1.008521e+00,1.015983e+00,2.827157e-03
64,1.034069e+00,1.016265e+00,2.797071e-03
65,1.027393e+00,1.016436e+00,2.759274e-03
66,1.021217e+00,1.016509e+00,2.718417e-03
67,1.006003e+00,1.016352e+00,2.682362e-03
68,1.029793e+00,1.016550e+00,2.650188e-03
69,1.025934e+00,1.016686e+00,2.615268e-03
70,1.057597e+00,1.017270e+00,2.642403e-03
71,1.045269e+00,1.017664e+00,2.634448e-03
72,1.084990e+00,1.018600e+00,2.758819e-03
73,1.081534e+00,1.019462e+00,2.852554e-03
74,1.031266e+00,1.019621e+00,2.818462e-03
75,1.049997e+00,1.020026e+00,2.809831e-03
76,1.058548e+00,1.020533e+00,2.818206e-03
77,1.058741e+00,1.021029e+00,2.824953e-03
78,1.021014e+00,1.021029e+00,2.788736e-03
79,1.012331e+00,1.020919e+00,2.755608e-03
80,1.051879e+00,1.021306e+00,2.748204e-03
81,1.025617e+00,1.021359e+00,2.714791e-03
82,1.006652e+00,1.021180e+00,2.687602e-03
83,1.041562e+00,1.021425e+00,2.666417e-03
84,1.000534e+00,1.021177e+00,2.646247e-03
85,1.071562e+00,1.021769e+00,2.680684e-03
86,1.012566e+00,1.021662e+00,2.651648e-03
87,1.029800e+00,1.021756e+00,2.622819e-03
88,1.024134e+00,1.021783e+00,2.593153e-03
89,1.047210e+00,1.022069e+00,2.579707e-03
90,1.017731e+00,1.022021e+00,2.551494e-03
91,9.821931e-01,1.021583e+00,2.560717e-03
92,1.014503e+00,1.021506e+00,2.534039e-03
93,1.018307e+00,1.021472e+00,2.507025e-03
94,1.087338e+00,1.022172e+00,2.576417e-03
95,9.885207e-01,1.021818e+00,2.573533e-03
96,1.012283e+00,1.021719e+00,2.548641e-03
97,1.074348e+00,1.022261e+00,2.579474e-03
98,1.033717e+00,1.022378e+00,2.555800e-03
99,9.605483e-01,1.021754e+00,2.605174e-03
100,1.002200e+00,1.021558e+00,2.586450e-03
