BLOCK,ACTUAL_M,M_AVE,ERROR
1,1.295200e-02,1.295200e-02,0.000000e+00
2,1.828400e-02,1.561800e-02,1.885147e-03
3,1.618400e-02,1.580667e-02,1.266170e-03
4,3.251200e-02,1.998300e-02,3.739400e-03
5,1.339200e-02,1.866480e-02,3.215480e-03
6,1.212000e-02,1.757400e-02,2.858604e-03
7,8.912000e-03,1.633657e-02,2.704832e-03
8,2.238000e-02,1.709200e-02,2.469968e-03
9,1.594400e-02,1.696444e-02,2.198818e-03
10,1.595200e-02,1.686320e-02,1.981266e-03
11,2.348000e-02,1.746473e-02,1.890261e-03
12,2.180400e-02,1.782633e-02,1.766988e-03
13,1.577200e-02,1.766831e-02,1.638117e-03
14,1.255200e-02,1.730286e-02,1.561341e-03
15,1.114400e-02,1.689227e-02,1.510274e-03
16,2.617600e-02,1.747250e-02,1.523270e-03
17,1.910000e-02,1.756824e-02,1.436671e-03
18,2.281200e-02,1.785956e-02,1.386077e-03
19,2.059600e-02,1.800358e-02,1.320587e-03
20,1.881600e-02,1.804420e-02,1.255182e-03
21,1.652400e-02,1.797181e-02,1.197498e-03
22,1.148000e-02,1.767673e-02,1.178862e-03
23,1.794400e-02,1.768835e-02,1.127664e-03
24,1.530400e-02,1.758900e-02,1.085046e-03
25,2.410800e-02,1.784976e-02,1.072519e-03
26,1.792400e-02,1.785262e-02,1.031272e-03
27,1.669200e-02,1.780963e-02,9.939726e-04
28,1.334000e-02,1.765000e-02,9.712071e-04
29,1.669200e-02,1.761697e-02,9.382788e-04
30,1.778000e-02,1.762240e-02,9.070186e-04
31,2.201200e-02,1.776400e-02,8.887442e-04
32,2.881600e-02,1.810938e-02,9.256496e-04
33,1.794800e-02,1.810448e-02,8.976126e-04
34,1.546000e-02,1.802671e-02,8.745755e-04
35,2.161600e-02,1.812926e-02,8.555790e-04
36,1.982400e-02,1.817633e-02,8.331071e-04
37,8.784000e-03,1.792249e-02,8.483831e-04
38,1.922000e-02,1.795663e-02,8.267440e-04
39,1.156400e-02,1.779272e-02,8.216339e-04
40,1.572000e-02,1.774090e-02,8.027254e-04
41,1.662800e-02,1.771376e-02,7.836055e-04
42,1.082400e-02,1.754971e-02,7.819302e-04
43,1.385600e-02,1.746381e-02,7.684497e-04
44,9.724000e-03,1.728791e-02,7.708551e-04
45,1.814800e-02,1.730702e-02,7.539619e-04
46,1.278400e-02,1.720870e-02,7.439553e-04
47,2.802000e-02,1.743872e-02,7.628599e-04
48,2.571600e-02,1.761117e-02,7.662094e-04
49,1.760400e-02,1.761102e-02,7.505725e-04
50,1.557600e-02,1.757032e-02,7.366637e-04
51,1.915600e-02,1.760141e-02,7.228751e-04
52,1.420800e-02,1.753615e-02,7.119132e-04
53,2.409200e-02,1.765985e-02,7.091455e-04
54,2.965200e-02,1.788193e-02,7.299583e-04
55,1.545600e-02,1.783782e-02,7.180177e-04
56,1.720400e-02,1.782650e-02,7.052852e-04
57,2.630000e-02,1.797516e-02,7.084054e-04
58,2.540000e-02,1.810317e-02,7.076636e-04
59,1.014000e-02,1.796820e-02,7.084234e-04
60,1.700000e-02,1.795207e-02,6.968001e-04
61,2.219200e-02,1.802157e-02,6.888351e-04
62,8.640000e-03,1.787026e-02,6.941456e-04
63,1.469600e-02,1.781987e-02,6.849536e-04
64,1.327600e-02,1.774888e-02,6.779208e-04
65,1.469600e-02,1.770191e-02,6.691163e-04
66,2.118800e-02,1.775473e-02,6.610596e-04
67,1.524400e-02,1.771725e-02,6.522544e-04
68,2.852800e-02,1.787624e-02,6.617540e-04
69,1.549600e-02,1.784174e-02,6.530619e-04
70,9.216000e-03,1.771851e-02,6.552548e-04
71,3.002000e-02,1.789177e-02,6.685400e-04
72,2.217600e-02,1.795128e-02,6.618975e-04
73,1.346800e-02,1.788986e-02,6.556734e-04
74,2.174400e-02,1.794195e-02,6.488782e-04
75,1.642800e-02,1.792176e-02,6.405404e-04
76,1.938400e-02,1.794100e-02,6.324012e-04
77,2.223200e-02,1.799673e-02,6.266387e-04
78,1.902000e-02,1.800985e-02,6.187422e-04
79,1.989200e-02,1.803367e-02,6.113685e-04
80,2.464800e-02,1.811635e-02,6.092914e-04
81,1.293200e-02,1.805235e-02,6.051216e-04
82,2.128800e-02,1.809180e-02,5.990273e-04
83,1.955200e-02,1.810940e-02,5.920684e-04
84,2.609600e-02,1.820448e-02,5.926050e-04
85,1.119600e-02,1.812202e-02,5.913414e-04
86,2.146400e-02,1.816088e-02,5.857408e-04
87,2.007600e-02,1.818290e-02,5.794216e-04
88,1.945600e-02,1.819736e-02,5.730179e-04
89,9.172000e-03,1.809596e-02,5.754828e-04
90,7.076000e-03,1.797351e-02,5.819688e-04
91,2.022800e-02,1.799829e-02,5.761006e-04
92,1.691200e-02,1.798648e-02,5.699597e-04
93,1.588800e-02,1.796391e-02,5.642775e-04
94,2.392000e-02,1.802728e-02,5.618208e-04
95,2.212000e-02,1.807036e-02,5.575562e-04
96,2.582000e-02,1.815108e-02,5.575616e-04
97,1.793200e-02,1.814882e-02,5.518181e-04
98,1.183200e-02,1.808437e-02,5.499391e-04
99,1.735600e-02,1.807701e-02,5.444333e-04
100,1.961600e-02,1.809240e-02,5.392065e-04
