BLOCK,ACTUAL_X,X_AVE,ERROR
1,4.01112,4.01112,0
2,3.09975,3.55544,0.32222
3,4.74806,3.95298,0.389235
4,3.07313,3.73302,0.348582
5,4.51756,3.88993,0.312189
6,3.1295,3.76319,0.284723
7,3.2605,3.69138,0.252943
8,3.08131,3.61512,0.232536
9,3.98781,3.65653,0.210354
10,3.62081,3.65296,0.189349
11,4.26794,3.70886,0.1802
12,4.42794,3.76879,0.174863
13,5.17706,3.87712,0.192058
14,4.12287,3.89467,0.17914
15,2.92488,3.83002,0.178483
16,3.8915,3.83386,0.167369
17,4.05119,3.84664,0.158012
18,3.70213,3.83861,0.149437
19,4.10006,3.85237,0.142204
20,3.71175,3.84534,0.135268
21,3.68788,3.83785,0.129034
22,3.61644,3.82778,0.123561
23,3.57731,3.81689,0.118667
24,3.42531,3.80058,0.114839
25,4.0995,3.81253,0.110866
26,3.48312,3.79986,0.107324
27,4.27081,3.81731,0.104756
28,4.11769,3.82803,0.101563
29,3.22275,3.80716,0.100183
30,3.66125,3.8023,0.0969611
31,3.387,3.7889,0.0947543
32,2.64725,3.75322,0.0982804
33,4.07675,3.76303,0.0957899
34,3.12525,3.74427,0.0947915
35,4.05056,3.75302,0.0924862
36,3.38625,3.74283,0.0904766
37,3.48581,3.73589,0.0882975
38,3.74931,3.73624,0.0859746
39,4.02137,3.74355,0.0840804
40,2.86437,3.72157,0.0848026
41,4.58206,3.74256,0.0852918
42,3.49737,3.73672,0.0834606
43,3.18838,3.72397,0.0824881
44,3.41319,3.71691,0.0809152
45,3.70206,3.71658,0.0791178
46,4.131,3.72559,0.0779091
47,4.49369,3.74193,0.0779466
48,4.04406,3.74822,0.0765765
49,3.16781,3.73638,0.0759243
50,4.81244,3.7579,0.0773959
51,3.93856,3.76144,0.0759593
52,3.74369,3.7611,0.0744993
53,3.06988,3.74806,0.0742265
54,3.06775,3.73546,0.0739133
55,3.24344,3.72651,0.0731088
56,4.7785,3.7453,0.0741775
57,4.49463,3.75845,0.0740319
58,2.88881,3.74345,0.0742583
59,3.528,3.7398,0.0730894
60,3.49087,3.73565,0.0719889
61,3.39769,3.73011,0.0710216
62,3.94369,3.73356,0.0699596
63,3.8575,3.73552,0.0688768
64,4.14881,3.74198,0.0681027
65,3.52137,3.73859,0.0671395
66,3.24819,3.73116,0.0665321
67,3.68319,3.73044,0.0655429
68,4.1005,3.73588,0.0648046
69,3.9835,3.73947,0.0639647
70,3.27581,3.73285,0.0633929
71,4.4075,3.74235,0.0632082
72,4.10125,3.74733,0.0625265
73,3.34425,3.74181,0.0619133
74,3.11762,3.73338,0.0616486
75,4.48081,3.74334,0.0616268
76,3.48581,3.73995,0.0609091
77,3.58919,3.738,0.0601495
78,3.50156,3.73497,0.0594547
79,4.26044,3.74162,0.059073
80,3.83819,3.74282,0.0583469
81,3.96837,3.74561,0.057693
82,3.7055,3.74512,0.0569915
83,4.34231,3.75231,0.0567572
84,3.50913,3.74942,0.0561553
85,3.80706,3.7501,0.0554988
86,3.32012,3.7451,0.0550782
87,3.81975,3.74596,0.0544518
88,3.52312,3.74342,0.0538918
89,3.942,3.74566,0.0533325
90,2.70731,3.73412,0.0539734
91,3.54519,3.73204,0.0534202
92,4.62125,3.74171,0.0537068
93,3.33162,3.7373,0.05331
94,3.60188,3.73586,0.0527623
95,3.69188,3.73539,0.052209
96,3.32556,3.73112,0.0518394
97,3.7665,3.73149,0.0513062
98,3.27956,3.72688,0.0509895
99,4.34837,3.73316,0.0508594
100,3.4905,3.73073,0.0504087
