BLOCK,ACTUAL_KE,KE_AVE,ERROR
177,1.6527,1.65235,0.00220243
178,1.65526,1.65236,0.00219011
179,1.64567,1.65233,0.0021782
180,1.62876,1.65219,0.00217003
181,1.65072,1.65219,0.00215805
182,1.67178,1.65229,0.00214888
183,1.63972,1.65223,0.00213823
184,1.66289,1.65228,0.0021274
185,1.66503,1.65235,0.00211701
186,1.59372,1.65204,0.00212897
187,1.58581,1.65168,0.00214684
188,1.66782,1.65177,0.00213713
189,1.68837,1.65196,0.00213458
190,1.696,1.65219,0.00213589
191,1.62438,1.65205,0.00212967
192,1.68351,1.65221,0.00212487
193,1.66046,1.65226,0.00211429
194,1.65846,1.65229,0.00210363
195,1.65201,1.65229,0.00209285
196,1.62122,1.65213,0.00208816
197,1.64783,1.65211,0.00207767
198,1.64782,1.65208,0.00206729
199,1.63158,1.65198,0.00205947
200,1.66721,1.65206,0.00205058
201,1.60584,1.65183,0.00205323
202,1.65813,1.65186,0.00204331
203,1.66663,1.65193,0.00203454
204,1.6234,1.65179,0.00202937
205,1.64499,1.65176,0.00201974
206,1.62252,1.65162,0.00201491
207,1.62154,1.65147,0.00201041
208,1.6469,1.65145,0.00200087
209,1.6402,1.65139,0.00199202
210,1.6392,1.65134,0.00198338
211,1.62496,1.65121,0.00197791
212,1.61979,1.65106,0.00197413
213,1.63774,1.651,0.00196585
214,1.67726,1.65112,0.00196049
215,1.66564,1.65119,0.00195253
216,1.63484,1.65112,0.00194496
217,1.62705,1.651,0.00193916
218,1.68736,1.65117,0.00193742
219,1.65471,1.65119,0.00192864
220,1.66438,1.65125,0.00192081
221,1.64314,1.65121,0.00191247
222,1.64723,1.65119,0.00190394
223,1.68165,1.65133,0.00190029
224,1.65463,1.65134,0.00189186
225,1.69655,1.65155,0.00189409
226,1.67032,1.65163,0.00188753
227,1.65235,1.65163,0.00187922
228,1.64732,1.65161,0.00187107
229,1.65074,1.65161,0.00186291
230,1.70674,1.65185,0.00187016
231,1.6337,1.65177,0.00186372
232,1.57432,1.65144,0.00188535
233,1.66693,1.6515,0.00187843
234,1.6557,1.65152,0.00187049
235,1.65672,1.65154,0.00186266
236,1.60775,1.65136,0.00186398
237,1.58024,1.65106,0.00188012
238,1.67871,1.65117,0.00187581
239,1.68953,1.65133,0.00187481
240,1.66797,1.6514,0.00186828
241,1.69495,1.65158,0.00186924
242,1.6616,1.65162,0.00186198
243,1.64464,1.6516,0.00185454
244,1.59085,1.65135,0.00186357
245,1.64128,1.65131,0.00185642
246,1.66877,1.65138,0.00185023
247,1.62711,1.65128,0.00184534
248,1.64921,1.65127,0.00183792
249,1.64611,1.65125,0.00183066
250,1.61579,1.65111,0.00182882
251,1.67813,1.65122,0.0018247
252,1.63346,1.65115,0.00181882
253,1.61525,1.651,0.00181716
254,1.6481,1.65099,0.00181004
255,1.64012,1.65095,0.00180344
256,1.65795,1.65098,0.00179661
257,1.63305,1.65091,0.00179097
258,1.61039,1.65075,0.0017909
259,1.65521,1.65077,0.00178407
260,1.63726,1.65072,0.00177796
261,1.5924,1.65049,0.00178513
262,1.6606,1.65053,0.00177874
263,1.59134,1.65031,0.00178615
264,1.63745,1.65026,0.00178005
265,1.63852,1.65021,0.00177388
266,1.60568,1.65004,0.0017751
267,1.65399,1.65006,0.00176851
268,1.66322,1.65011,0.00176259
269,1.65126,1.65011,0.00175605
270,1.65048,1.65011,0.00174954
271,1.67871,1.65022,0.00174627
272,1.65992,1.65026,0.00174021
273,1.65764,1.65028,0.00173405
274,1.64263,1.65025,0.00172794
275,1.66983,1.65033,0.00172312
276,1.61742,1.65021,0.001721
277,1.64961,1.6502,0.00171479
278,1.71948,1.65045,0.00172663
279,1.64022,1.65042,0.00172083
280,1.63842,1.65037,0.00171522
281,1.66996,1.65044,0.00171053
282,1.65545,1.65046,0.00170456
283,1.6416,1.65043,0.00169882
284,1.66037,1.65047,0.0016932
285,1.6326,1.6504,0.00168842
286,1.62578,1.65032,0.00168471
287,1.68647,1.65044,0.00168355
288,1.63963,1.6504,0.00167812
289,1.6234,1.65031,0.00167491
290,1.61555,1.65019,0.00167342
291,1.68074,1.6503,0.00167096
292,1.6531,1.65031,0.00166526
293,1.65741,1.65033,0.00165976
294,1.65345,1.65034,0.00165415
295,1.65762,1.65037,0.00164872
296,1.63358,1.65031,0.00164413
297,1.68543,1.65043,0.00164284
298,1.6464,1.65041,0.00163738
299,1.62443,1.65033,0.00163421
300,1.63005,1.65026,0.00163016
301,1.62091,1.65016,0.00162766
302,1.67173,1.65023,0.00162383
303,1.6283,1.65016,0.00162009
304,1.63482,1.65011,0.00161554
305,1.64421,1.65009,0.00161036
306,1.69436,1.65024,0.00161159
307,1.59463,1.65005,0.00161648
308,1.66933,1.65012,0.00161245
309,1.68376,1.65023,0.0016109
310,1.66868,1.65029,0.0016068
311,1.64372,1.65026,0.00160177
312,1.68638,1.65038,0.00160082
313,1.6632,1.65042,0.00159623
314,1.6544,1.65043,0.00159119
315,1.62813,1.65036,0.00158772
316,1.67069,1.65043,0.00158399
317,1.67869,1.65052,0.00158151
318,1.69292,1.65065,0.00158214
319,1.67432,1.65072,0.00157892
320,1.65137,1.65073,0.00157399
321,1.65878,1.65075,0.00156929
322,1.62022,1.65066,0.00156727
323,1.63417,1.65061,0.00156325
324,1.64698,1.65059,0.00155847
325,1.6048,1.65045,0.00156003
326,1.66805,1.65051,0.00155618
327,1.66459,1.65055,0.00155201
328,1.64791,1.65054,0.0015473
329,1.6416,1.65052,0.00154284
330,1.64697,1.6505,0.0015382
331,1.68058,1.6506,0.00153623
332,1.63035,1.65053,0.00153282
333,1.63279,1.65048,0.00152914
334,1.72115,1.65069,0.00153913
335,1.67807,1.65077,0.0015367
336,1.63823,1.65074,0.00153258
337,1.66732,1.65079,0.00152882
338,1.65795,1.65081,0.00152445
339,1.61571,1.6507,0.00152346
340,1.68289,1.6508,0.00152192
341,1.63431,1.65075,0.00151822
342,1.6656,1.65079,0.00151441
343,1.65008,1.65079,0.00150999
344,1.63226,1.65074,0.00150656
345,1.69141,1.65086,0.0015068
346,1.66381,1.65089,0.00150291
347,1.64819,1.65089,0.0014986
348,1.61281,1.65078,0.00149828
349,1.69575,1.6509,0.00149952
350,1.68948,1.65101,0.00149928
351,1.65346,1.65102,0.00149503
352,1.64593,1.65101,0.00149085
353,1.63562,1.65096,0.00148726
354,1.67937,1.65104,0.00148523
355,1.64738,1.65103,0.00148108
356,1.63516,1.65099,0.00147759
357,1.66828,1.65104,0.00147424
358,1.65431,1.65105,0.00147015
359,1.63567,1.651,0.00146668
360,1.60355,1.65087,0.00146852
361,1.62594,1.6508,0.00146608
362,1.63673,1.65076,0.00146254
363,1.63772,1.65073,0.00145895
