blocks,extractions,mean,error
1,10000,0.0832638,0
2,20000,0.0838018,0.000538018
3,30000,0.0834983,0.000434297
4,40000,0.0834716,0.00030825
5,50000,0.083479,0.000238881
6,60000,0.083751,0.000334725
7,70000,0.083762,0.000283108
8,80000,0.0836932,0.000254628
9,90000,0.0836221,0.00023557
10,100000,0.0835406,0.000225906
11,110000,0.0834496,0.00022366
12,120000,0.0834267,0.000205454
13,130000,0.0834814,0.000196727
14,140000,0.0833753,0.000210783
15,150000,0.0835257,0.000247244
16,160000,0.0835141,0.000231563
17,170000,0.083478,0.0002205
18,180000,0.0834615,0.000208542
19,190000,0.0834306,0.000199662
20,200000,0.0835041,0.000203151
21,210000,0.0835327,0.00019535
22,220000,0.0835172,0.000186904
23,230000,0.0835551,0.000182561
24,240000,0.0835772,0.00017619
25,250000,0.0835666,0.000169332
26,260000,0.0835296,0.000166846
27,270000,0.0835318,0.000160563
28,280000,0.0835403,0.000154957
29,290000,0.0835542,0.000150164
30,300000,0.0836178,0.000158411
31,310000,0.0835775,0.000158419
32,320000,0.0835369,0.000158689
33,330000,0.0835282,0.000154048
34,340000,0.0835291,0.000149451
35,350000,0.0835224,0.000145275
36,360000,0.0835452,0.000143014
37,370000,0.083499,0.000146582
38,380000,0.0834776,0.000144255
39,390000,0.083458,0.000141874
40,400000,0.0834464,0.000138767
41,410000,0.0834263,0.000136821
42,420000,0.0834348,0.000133788
43,430000,0.0834389,0.000130706
44,440000,0.0834348,0.000127767
45,450000,0.0834224,0.000125506
46,460000,0.0834092,0.000123459
47,470000,0.0833847,0.000123253
48,480000,0.0833905,0.000120795
49,490000,0.0833933,0.000118337
50,500000,0.0834033,0.000116381
51,510000,0.0833936,0.000114493
52,520000,0.0833979,0.000112353
53,530000,0.0833839,0.000111103
54,540000,0.083367,0.00011033
55,550000,0.0833907,0.000110864
56,560000,0.0834022,0.000109481
57,570000,0.0833859,0.000108773
58,580000,0.0834037,0.00010834
59,590000,0.0833993,0.000106575
60,600000,0.0833938,0.000104932
61,610000,0.0834035,0.000103654
62,620000,0.0833957,0.000102267
63,630000,0.0833884,0.000100892
64,640000,0.0834056,0.000100788
65,650000,0.0834162,9.97896e-05
66,660000,0.0834016,9.93531e-05
67,670000,0.0833988,9.78973e-05
68,680000,0.083399,9.6447e-05
69,690000,0.0833994,9.50401e-05
70,700000,0.0833965,9.37191e-05
71,710000,0.0833865,9.29246e-05
72,720000,0.0833905,9.17114e-05
73,730000,0.0833751,9.17439e-05
74,740000,0.0833748,9.04964e-05
75,750000,0.0833837,8.97315e-05
76,760000,0.0834002,9.00714e-05
77,770000,0.0834041,8.8979e-05
78,780000,0.0833928,8.85544e-05
79,790000,0.0833895,8.74909e-05
80,800000,0.083389,8.63919e-05
81,810000,0.0833747,8.6507e-05
82,820000,0.0833692,8.56188e-05
83,830000,0.0833722,8.46317e-05
84,840000,0.0833663,8.3822e-05
85,850000,0.0833714,8.2984e-05
86,860000,0.0833833,8.28836e-05
87,870000,0.0833755,8.22961e-05
88,880000,0.0833924,8.30835e-05
89,890000,0.0834067,8.33877e-05
90,900000,0.0834106,8.25456e-05
91,910000,0.0834047,8.18483e-05
92,920000,0.083418,8.2041e-05
93,930000,0.0834014,8.2837e-05
94,940000,0.0834001,8.19608e-05
95,950000,0.0833944,8.12942e-05
96,960000,0.0833962,8.04643e-05
97,970000,0.0834068,8.03272e-05
98,980000,0.0834116,7.96483e-05
99,990000,0.0834091,7.88798e-05
100,1000000,0.0834056,7.8165e-05
