BLOCK,ACTUAL_P,P_AVE,ERROR
146,0.0533604,0.0531995,5.24355e-06
147,0.0531685,0.0531993,5.21213e-06
148,0.0531356,0.0531989,5.19466e-06
149,0.0532103,0.0531989,5.16036e-06
150,0.0532346,0.0531992,5.13144e-06
151,0.053189,0.0531991,5.0979e-06
152,0.0532811,0.0531996,5.09285e-06
153,0.0531749,0.0531995,5.06213e-06
154,0.0531806,0.0531994,5.03074e-06
155,0.0531227,0.0531989,5.02251e-06
156,0.053318,0.0531996,5.04807e-06
157,0.053333,0.0532005,5.08688e-06
158,0.0531845,0.0532004,5.05569e-06
159,0.0532591,0.0532007,5.03735e-06
160,0.0530737,0.0532,5.0681e-06
161,0.0531184,0.0531994,5.06185e-06
162,0.05329,0.0532,5.06137e-06
163,0.0532004,0.0532,5.03032e-06
164,0.0532211,0.0532001,5.00128e-06
165,0.0531438,0.0531998,4.98259e-06
166,0.0531741,0.0531996,4.95498e-06
167,0.0531698,0.0531995,4.92852e-06
168,0.0532508,0.0531998,4.90864e-06
169,0.0531875,0.0531997,4.88014e-06
170,0.0531241,0.0531992,4.87166e-06
171,0.053203,0.0531993,4.84322e-06
172,0.0531769,0.0531991,4.8168e-06
173,0.053184,0.0531991,4.78975e-06
174,0.053125,0.0531986,4.7811e-06
175,0.0532795,0.0531991,4.77608e-06
176,0.0532049,0.0531991,4.74906e-06
177,0.0532272,0.0531993,4.72488e-06
178,0.0531142,0.0531988,4.72245e-06
179,0.0532362,0.053199,4.70069e-06
180,0.0531577,0.0531988,4.68019e-06
181,0.0532151,0.0531989,4.6552e-06
182,0.0531441,0.0531986,4.63935e-06
183,0.0531309,0.0531982,4.62872e-06
184,0.0533852,0.0531992,4.71385e-06
185,0.0531625,0.053199,4.69255e-06
186,0.0532576,0.0531993,4.67786e-06
187,0.0532068,0.0531994,4.65302e-06
188,0.0531853,0.0531993,4.62887e-06
189,0.0531811,0.0531992,4.60538e-06
190,0.0531661,0.053199,4.58444e-06
191,0.0531166,0.0531986,4.5807e-06
192,0.0531963,0.0531986,4.55686e-06
193,0.0533099,0.0531992,4.5696e-06
194,0.0532095,0.0531992,4.54635e-06
195,0.0532066,0.0531993,4.52319e-06
196,0.053231,0.0531994,4.50302e-06
197,0.053161,0.0531992,4.48438e-06
198,0.0531677,0.0531991,4.46455e-06
199,0.0532378,0.0531993,4.44637e-06
200,0.0532964,0.0531997,4.45061e-06
201,0.0531609,0.0531995,4.43267e-06
202,0.0531538,0.0531993,4.41651e-06
203,0.0533067,0.0531999,4.42629e-06
204,0.053201,0.0531999,4.4046e-06
205,0.0530546,0.0531991,4.43974e-06
206,0.0533071,0.0531997,4.44899e-06
207,0.0533005,0.0532002,4.45408e-06
208,0.0532256,0.0532003,4.43434e-06
209,0.0531933,0.0532002,4.41325e-06
210,0.0531611,0.0532001,4.39616e-06
211,0.0530568,0.0531994,4.42741e-06
212,0.0530902,0.0531989,4.43635e-06
213,0.0532872,0.0531993,4.43486e-06
214,0.0531503,0.0531991,4.42003e-06
215,0.0531776,0.053199,4.4006e-06
216,0.0532207,0.0531991,4.38138e-06
217,0.0533504,0.0531998,4.41637e-06
218,0.0532528,0.0532,4.4028e-06
219,0.0531927,0.0532,4.38282e-06
220,0.0531912,0.0531999,4.36308e-06
221,0.053205,0.0531999,4.3434e-06
222,0.0532791,0.0532003,4.33845e-06
223,0.0532208,0.0532004,4.31997e-06
224,0.0532587,0.0532007,4.30852e-06
225,0.0534329,0.0532017,4.41125e-06
226,0.0531227,0.0532013,4.40555e-06
227,0.0531452,0.0532011,4.39308e-06
228,0.0531595,0.0532009,4.37759e-06
229,0.0533101,0.0532014,4.38435e-06
230,0.0533066,0.0532018,4.38908e-06
231,0.0533705,0.0532026,4.43037e-06
232,0.0532378,0.0532027,4.41387e-06
233,0.0531353,0.0532024,4.40441e-06
234,0.0533147,0.0532029,4.41166e-06
235,0.053086,0.0532024,4.42084e-06
236,0.0531299,0.0532021,4.41275e-06
237,0.0532605,0.0532024,4.40101e-06
238,0.0533677,0.0532031,4.43705e-06
239,0.0533216,0.0532035,4.44613e-06
240,0.0532147,0.0532036,4.42784e-06
241,0.0532066,0.0532036,4.40949e-06
242,0.0531876,0.0532035,4.39176e-06
243,0.0532613,0.0532038,4.38013e-06
244,0.053178,0.0532037,4.36345e-06
245,0.0531655,0.0532035,4.34841e-06
246,0.0532211,0.0532036,4.33132e-06
247,0.0532339,0.0532037,4.31552e-06
248,0.0532053,0.0532037,4.29812e-06
249,0.0531824,0.0532036,4.28171e-06
250,0.0532243,0.0532037,4.26538e-06
251,0.0531632,0.0532036,4.25144e-06
252,0.0531275,0.0532033,4.24528e-06
253,0.053215,0.0532033,4.22876e-06
254,0.0531584,0.0532031,4.2158e-06
255,0.0531633,0.053203,4.20215e-06
256,0.0531872,0.0532029,4.18619e-06
257,0.0531766,0.0532028,4.17116e-06
258,0.053256,0.053203,4.16008e-06
259,0.0532315,0.0532031,4.14547e-06
260,0.0531646,0.053203,4.13218e-06
261,0.0531732,0.0532029,4.11792e-06
262,0.0531807,0.0532028,4.10307e-06
263,0.0531629,0.0532026,4.09027e-06
264,0.053176,0.0532025,4.07602e-06
265,0.0532819,0.0532028,4.07163e-06
266,0.0532412,0.053203,4.05887e-06
267,0.0531085,0.0532026,4.05907e-06
268,0.0532455,0.0532028,4.04707e-06
269,0.053171,0.0532026,4.03375e-06
270,0.0532044,0.0532027,4.01881e-06
