BLOCK,ACTUAL_KE,KE_AVE,ERROR
180,1.8,1.8,8.88534e-09
181,1.8,1.8,9.13346e-09
182,1.8,1.8,9.10833e-09
183,1.8,1.8,9.08341e-09
184,1.8,1.8,9.0587e-09
185,1.8,1.8,9.03418e-09
186,1.8,1.8,9.00986e-09
187,1.8,1.8,8.98574e-09
188,1.8,1.8,8.96181e-09
189,1.8,1.8,9.06856e-09
190,1.8,1.8,9.04466e-09
191,1.8,1.8,9.02095e-09
192,1.8,1.8,8.99743e-09
193,1.8,1.8,8.97409e-09
194,1.8,1.8,8.95093e-09
195,1.8,1.8,8.92795e-09
196,1.8,1.8,8.90515e-09
197,1.8,1.8,9.00852e-09
198,1.8,1.8,8.98574e-09
199,1.8,1.8,8.96313e-09
200,1.8,1.8,8.9407e-09
201,1.8,1.8,8.91843e-09
202,1.8,1.8,8.89633e-09
203,1.8,1.8,8.87439e-09
204,1.8,1.8,8.85261e-09
205,1.8,1.8,9.07298e-09
206,1.8,1.8,9.05093e-09
207,1.8,1.8,9.02904e-09
208,1.8,1.8,9.00731e-09
209,1.8,1.8,8.98574e-09
210,1.8,1.8,8.96432e-09
211,1.8,1.8,8.94305e-09
212,1.8,1.8,8.92193e-09
213,1.8,1.8,8.90097e-09
214,1.8,1.8,8.88014e-09
215,1.8,1.8,9.08962e-09
216,1.8,1.8,9.06856e-09
217,1.8,1.8,9.04764e-09
218,1.8,1.8,9.02686e-09
219,1.8,1.8,9.00623e-09
220,1.8,1.8,8.98574e-09
221,1.8,1.8,8.96539e-09
222,1.8,1.8,8.94517e-09
223,1.8,1.8,8.92509e-09
224,1.8,1.8,8.90515e-09
225,1.8,1.8,9.10476e-09
226,1.8,1.8,9.08459e-09
227,1.8,1.8,9.06456e-09
228,1.8,1.8,9.04466e-09
229,1.8,1.8,9.02489e-09
230,1.8,1.8,9.00525e-09
231,1.8,1.8,8.98574e-09
232,1.8,1.8,8.96635e-09
233,1.8,1.8,8.83994e-09
234,1.8,1.8,8.82103e-09
235,1.8,1.8,8.80224e-09
236,1.8,1.8,8.78357e-09
237,1.8,1.8,8.87127e-09
238,1.8,1.8,8.85261e-09
239,1.8,1.8,8.83407e-09
240,1.8,1.8,8.81565e-09
241,1.8,1.8,8.79734e-09
242,1.8,1.8,8.77914e-09
243,1.8,1.8,8.76106e-09
244,1.8,1.8,8.74309e-09
245,1.8,1.8,8.72523e-09
246,1.8,1.8,8.70747e-09
247,1.8,1.8,8.68983e-09
248,1.8,1.8,8.67229e-09
249,1.8,1.8,8.65486e-09
250,1.8,1.8,8.8408e-09
251,1.8,1.8,8.82317e-09
252,1.8,1.8,8.80565e-09
253,1.8,1.8,8.78823e-09
254,1.8,1.8,8.77091e-09
255,1.8,1.8,8.75369e-09
256,1.8,1.8,8.73658e-09
257,1.8,1.8,8.71957e-09
258,1.8,1.8,8.70265e-09
259,1.8,1.8,8.68583e-09
260,1.8,1.8,8.66912e-09
261,1.8,1.8,8.65249e-09
262,1.8,1.8,8.63596e-09
263,1.8,1.8,8.61953e-09
264,1.8,1.8,8.79654e-09
265,1.8,1.8,8.77993e-09
266,1.8,1.8,8.76341e-09
267,1.8,1.8,8.74699e-09
268,1.8,1.8,8.73065e-09
269,1.8,1.8,8.71441e-09
270,1.8,1.8,8.69826e-09
271,1.8,1.8,8.68219e-09
272,1.8,1.8,8.66622e-09
273,1.8,1.8,8.65033e-09
274,1.8,1.8,8.63453e-09
275,1.8,1.8,8.61882e-09
276,1.8,1.8,8.60319e-09
277,1.8,1.8,8.58765e-09
278,1.8,1.8,8.57219e-09
279,1.8,1.8,8.55681e-09
280,1.8,1.8,8.72523e-09
281,1.8,1.8,8.70969e-09
282,1.8,1.8,8.69423e-09
283,1.8,1.8,8.67886e-09
284,1.8,1.8,8.66356e-09
285,1.8,1.8,8.37373e-09
286,1.8,1.8,8.17121e-09
287,1.8,1.8,7.96501e-09
288,1.8,1.8,7.8536e-09
289,1.8,1.8,7.84e-09
290,1.8,1.8,7.6283e-09
291,1.8,1.8,7.41208e-09
292,1.8,1.8,7.1909e-09
293,1.8,1.8,6.96428e-09
294,1.8,1.8,6.95243e-09
295,1.8,1.8,6.83133e-09
296,1.8,1.8,6.59612e-09
297,1.8,1.8,6.35388e-09
298,1.8,1.8,6.34321e-09
299,1.8,1.8,6.09354e-09
300,1.8,1.8,5.83497e-09
301,1.8,1.8,5.69722e-09
302,1.8,1.8,5.42309e-09
303,1.8,1.8,5.41413e-09
304,1.8,1.8,5.12784e-09
305,1.8,1.8,4.82664e-09
306,1.8,1.8,4.81875e-09
307,1.8,1.8,4.50018e-09
308,1.8,1.8,4.32944e-09
309,1.8,1.8,3.97605e-09
310,1.8,1.8,3.96964e-09
311,1.8,1.8,3.58489e-09
312,1.8,1.8,3.15651e-09
313,1.8,1.8,3.15146e-09
314,1.8,1.8,2.65923e-09
315,1.8,1.8,2.37471e-09
316,1.8,1.8,1.67651e-09
317,1.8,1.8,2.05006e-09
318,1.8,1.8,1.18174e-09
319,1.8,1.8,1.17989e-09
320,1.8,1.8,1.17804e-09
321,1.8,1.8,2.03724e-09
322,1.8,1.8,2.34875e-09
323,1.8,1.8,2.34511e-09
324,1.8,1.8,2.86773e-09
325,1.8,1.8,2.86331e-09
326,1.8,1.8,3.3012e-09
327,1.8,1.8,3.6852e-09
328,1.8,1.8,3.67958e-09
329,1.8,1.8,4.02465e-09
330,1.8,1.8,4.18263e-09
331,1.8,1.8,4.17631e-09
332,1.8,1.8,4.47932e-09
333,1.8,1.8,4.76143e-09
334,1.8,1.8,4.7543e-09
335,1.8,1.8,5.01868e-09
336,1.8,1.8,5.01121e-09
337,1.8,1.8,5.26053e-09
338,1.8,1.8,5.37636e-09
339,1.8,1.8,5.36842e-09
340,1.8,1.8,5.59888e-09
341,1.8,1.8,5.59067e-09
342,1.8,1.8,5.92112e-09
343,1.8,1.8,5.91248e-09
344,1.8,1.8,6.11864e-09
345,1.8,1.8,6.31694e-09
346,1.8,1.8,6.3078e-09
347,1.8,1.8,6.39949e-09
348,1.8,1.8,6.39029e-09
349,1.8,1.8,6.57752e-09
350,1.8,1.8,6.56811e-09
351,1.8,1.8,6.7489e-09
352,1.8,1.8,6.92398e-09
353,1.8,1.8,6.91416e-09
354,1.8,1.8,7.08375e-09
355,1.8,1.8,7.07377e-09
356,1.8,1.8,7.15158e-09
357,1.8,1.8,7.14156e-09
358,1.8,1.8,7.30345e-09
359,1.8,1.8,7.29327e-09
360,1.8,1.8,7.45058e-09
361,1.8,1.8,7.44025e-09
362,1.8,1.8,7.59329e-09
363,1.8,1.8,7.58282e-09
364,1.8,1.8,7.73183e-09
365,1.8,1.8,7.72123e-09
366,1.8,1.8,7.78896e-09
367,1.8,1.8,7.77834e-09
368,1.8,1.8,7.9216e-09
369,1.8,1.8,7.91086e-09
370,1.8,1.8,8.05065e-09
371,1.8,1.8,8.0398e-09
372,1.8,1.8,8.17632e-09
373,1.8,1.8,8.16535e-09
374,1.8,1.8,8.29876e-09
375,1.8,1.8,8.28769e-09
376,1.8,1.8,8.34771e-09
377,1.8,1.8,8.33663e-09
378,1.8,1.8,8.46553e-09
379,1.8,1.8,8.45435e-09
380,1.8,1.8,8.58052e-09
381,1.8,1.8,8.56925e-09
382,1.8,1.8,8.69281e-09
383,1.8,1.8,8.68145e-09
384,1.8,1.8,8.80252e-09
385,1.8,1.8,8.79108e-09
386,1.8,1.8,8.84496e-09
387,1.8,1.8,8.83353e-09
388,1.8,1.8,8.82214e-09
389,1.8,1.8,8.93942e-09
390,1.8,1.8,8.92795e-09
391,1.8,1.8,9.04301e-09
392,1.8,1.8,9.03147e-09
393,1.8,1.8,9.14439e-09
394,1.8,1.8,9.13278e-09
395,1.8,1.8,9.24365e-09
396,1.8,1.8,9.23197e-09
397,1.8,1.8,9.22033e-09
398,1.8,1.8,9.26913e-09
399,1.8,1.8,9.25751e-09
400,1.8,1.8,9.36523e-09
401,1.8,1.8,9.35355e-09
402,1.8,1.8,9.45942e-09
403,1.8,1.8,9.44768e-09
404,1.8,1.8,9.43598e-09
405,1.8,1.8,9.53996e-09
406,1.8,1.8,9.52821e-09
407,1.8,1.8,9.63047e-09
408,1.8,1.8,9.61866e-09
409,1.8,1.8,9.66324e-09
410,1.8,1.8,9.65145e-09
411,1.8,1.8,9.6397e-09
412,1.8,1.8,9.7393e-09
413,1.8,1.8,9.7275e-09
414,1.8,1.8,9.82553e-09
415,1.8,1.8,9.81369e-09
416,1.8,1.8,9.80189e-09
417,1.8,1.8,9.89831e-09
418,1.8,1.8,9.88646e-09
419,1.8,1.8,9.87466e-09
420,1.8,1.8,9.96952e-09
421,1.8,1.8,9.95768e-09
