blocks,extractions,energy,error
1,10000,-0.412588,0
2,20000,-0.41384,0.0012523
3,30000,-0.398962,0.0148957
4,40000,-0.402591,0.0111404
5,50000,-0.402576,0.00862934
6,60000,-0.400619,0.00731245
7,70000,-0.399853,0.00622753
8,80000,-0.402397,0.00596312
9,90000,-0.403804,0.00544397
10,100000,-0.405479,0.00514946
11,110000,-0.40439,0.00478342
12,120000,-0.404273,0.00436822
13,130000,-0.405804,0.00429969
14,140000,-0.407144,0.00420045
15,150000,-0.406693,0.00393634
16,160000,-0.405826,0.00378296
17,170000,-0.40638,0.00359648
18,180000,-0.405488,0.00350616
19,190000,-0.403951,0.0036556
20,200000,-0.402185,0.00389139
21,210000,-0.40133,0.00379892
22,220000,-0.401672,0.00363822
23,230000,-0.401095,0.00352398
24,240000,-0.400846,0.00338312
25,250000,-0.400176,0.00331353
26,260000,-0.400738,0.00323273
27,270000,-0.400263,0.00314676
28,280000,-0.400049,0.00303982
29,290000,-0.400485,0.0029653
30,300000,-0.399665,0.00297971
31,310000,-0.400448,0.00298637
32,320000,-0.400157,0.00290611
33,330000,-0.400014,0.0028203
34,340000,-0.400595,0.00279714
35,350000,-0.399509,0.00292518
36,360000,-0.399382,0.0028456
37,370000,-0.398741,0.00284083
38,380000,-0.399466,0.00285863
39,390000,-0.399529,0.00278507
40,400000,-0.398746,0.00282502
41,410000,-0.398384,0.00277906
42,420000,-0.398898,0.00276042
43,430000,-0.398787,0.00269776
44,440000,-0.399286,0.00268262
45,450000,-0.399551,0.00263566
46,460000,-0.39943,0.00258057
47,470000,-0.399662,0.00253571
48,480000,-0.399441,0.00249209
49,490000,-0.3995,0.00244142
50,500000,-0.3995,0.00239209
51,510000,-0.400168,0.00243816
52,520000,-0.400002,0.0023966
53,530000,-0.399827,0.00235747
54,540000,-0.39944,0.00234557
55,550000,-0.399293,0.00230717
56,560000,-0.399468,0.00227236
57,570000,-0.399361,0.00223473
58,580000,-0.399315,0.00219634
59,590000,-0.399599,0.00217746
60,600000,-0.399467,0.00214491
61,610000,-0.399283,0.00211745
62,620000,-0.399311,0.00208321
63,630000,-0.399006,0.00207249
64,640000,-0.399525,0.00210476
65,650000,-0.399851,0.00209771
66,660000,-0.400252,0.00210429
67,670000,-0.400164,0.00207453
68,680000,-0.400406,0.002058
69,690000,-0.400633,0.00204067
70,700000,-0.400504,0.00201545
71,710000,-0.401135,0.0020848
72,720000,-0.401053,0.00205729
73,730000,-0.400821,0.00204209
74,740000,-0.401365,0.00208635
75,750000,-0.401286,0.00205984
76,760000,-0.401383,0.00203487
77,770000,-0.401348,0.00200858
78,780000,-0.40152,0.00199013
79,790000,-0.401468,0.00196545
80,800000,-0.401093,0.00197663
81,810000,-0.4011,0.00195209
82,820000,-0.400798,0.00195162
83,830000,-0.400991,0.00193758
84,840000,-0.401121,0.00191877
85,850000,-0.401292,0.00190378
86,860000,-0.401391,0.00188409
87,870000,-0.401677,0.00188423
88,880000,-0.401814,0.00186768
89,890000,-0.401954,0.00185187
90,900000,-0.401975,0.0018313
91,910000,-0.402059,0.00181303
92,920000,-0.402093,0.00179353
93,930000,-0.40216,0.00177542
94,940000,-0.402246,0.00175856
95,950000,-0.402338,0.00174235
96,960000,-0.402431,0.0017266
97,970000,-0.402708,0.00173115
98,980000,-0.40278,0.00171487
99,990000,-0.402776,0.00169746
100,1000000,-0.402735,0.00168091
