BLOCK,GOFR_AVE,ERROR
1,75687,75497.6
2,75687,75497.6
3,75687,75497.6
4,75687,75497.6
5,75687,75497.6
6,75687,75497.6
7,75687,75497.6
8,75687,75497.6
9,75687,75497.6
10,75687,75497.6
11,75687,75497.6
12,75687,75497.6
13,75687,75497.6
14,75687,75497.6
15,75687,75497.6
16,75687,75497.6
17,75687,75497.6
18,75687,75497.6
19,75687,75497.6
20,75687,75497.6
21,75687,75497.6
22,75687,75497.6
23,75687,75497.6
24,75687,75497.6
25,75687,75497.6
26,75687,75497.6
27,75687,75497.6
28,75687,75497.6
29,75687,75497.6
30,75687,75497.6
31,75687,75497.6
32,75687,75497.6
33,75687,75497.6
34,75687,75497.6
35,75687,75497.6
36,75687,75497.6
37,75687,75497.6
38,75687,75497.6
39,75687,75497.6
40,75687,75497.6
41,75687,75497.6
42,75687,75497.6
43,75687,75497.6
44,75687,75497.6
45,75687,75497.6
46,75687,75497.6
47,75687,75497.6
48,75687,75497.6
49,75687,75497.6
50,75687,75497.6
