BLOCK,GOFR_AVE,ERROR
1,0.708391,0.0465313
2,0.707802,0.0462964
3,0.709066,0.0462549
4,0.708299,0.0466881
5,0.709053,0.0463635
6,0.708642,0.0462894
7,0.71033,0.0463205
8,0.710264,0.0463941
9,0.709823,0.0465516
10,0.708679,0.0461869
11,0.7094,0.0469147
12,0.708751,0.0463763
13,0.710127,0.04612
14,0.710626,0.0462074
15,0.708614,0.0465498
16,0.707711,0.0464878
17,0.709477,0.0460921
18,0.711333,0.0464635
19,0.708776,0.0464062
20,0.709102,0.0462269
21,0.709092,0.0460408
22,0.709199,0.0466726
23,0.710828,0.0469577
24,0.710027,0.0462008
25,0.709613,0.0462886
26,0.709578,0.0464419
27,0.709064,0.0462501
28,0.709023,0.0467679
29,0.70994,0.0463234
30,0.709252,0.0463689
31,0.70838,0.0462799
32,0.708488,0.0466526
33,0.709461,0.0462059
34,0.709017,0.0466261
35,0.7104,0.0464139
36,0.709927,0.0466046
37,0.706359,0.0465538
38,0.709105,0.0464748
39,0.708826,0.0466103
40,0.710917,0.0460618
41,0.709307,0.0464074
42,0.707817,0.0464698
43,0.709745,0.046265
44,0.707532,0.046584
45,0.711502,0.0467059
46,0.710327,0.0462144
47,0.709826,0.0462788
48,0.710826,0.0461838
49,0.709664,0.0465067
50,0.708958,0.0466732
