BLOCK,GOFR_AVE,ERROR
1,7.411113e-01,3.728838e-02
2,8.187762e-01,2.496275e-02
3,8.647764e-01,2.717449e-02
4,8.818002e-01,2.916470e-02
5,8.999943e-01,3.084520e-02
6,8.796157e-01,2.932962e-02
7,8.800603e-01,3.038330e-02
8,9.106271e-01,3.052104e-02
9,9.297880e-01,3.419721e-02
10,9.079115e-01,3.441475e-02
11,9.120953e-01,3.043661e-02
12,8.929428e-01,3.017902e-02
13,8.798644e-01,2.813300e-02
14,8.845740e-01,3.026635e-02
15,9.022873e-01,3.402470e-02
16,9.301614e-01,3.434085e-02
17,9.303843e-01,3.314772e-02
18,9.364188e-01,3.332136e-02
19,9.059498e-01,3.160604e-02
20,8.848877e-01,3.023389e-02
21,8.890116e-01,3.115220e-02
22,8.895572e-01,3.181670e-02
23,8.793881e-01,2.954262e-02
24,9.221993e-01,3.061865e-02
25,9.342604e-01,3.143718e-02
26,9.074076e-01,3.101071e-02
27,8.821796e-01,2.936007e-02
28,8.849766e-01,3.000091e-02
29,8.845360e-01,2.923394e-02
30,8.834019e-01,2.846799e-02
31,8.749302e-01,2.836738e-02
32,9.147485e-01,3.161526e-02
33,9.182854e-01,3.033816e-02
34,9.396773e-01,3.304061e-02
35,9.687579e-01,3.254680e-02
36,9.880060e-01,3.429808e-02
37,9.656208e-01,3.118483e-02
38,9.717362e-01,3.242898e-02
39,9.634506e-01,3.181183e-02
40,9.563675e-01,3.363418e-02
41,9.216908e-01,3.109221e-02
42,9.279209e-01,3.452076e-02
43,9.016258e-01,3.044489e-02
44,8.953741e-01,2.955281e-02
45,9.205254e-01,3.372971e-02
46,8.934347e-01,3.027021e-02
47,8.819065e-01,2.905089e-02
48,8.746860e-01,2.839493e-02
49,8.771776e-01,2.830388e-02
50,8.866647e-01,3.004735e-02
