blocks,extractions,energy,error
1,10000,-0.24572,0
2,20000,-0.245886,0.000165865
3,30000,-0.247735,0.001852
4,40000,-0.245582,0.00252023
5,50000,-0.247267,0.00257842
6,60000,-0.243628,0.0042033
7,70000,-0.24355,0.00355331
8,80000,-0.243023,0.00312194
9,90000,-0.242367,0.00283038
10,100000,-0.242984,0.00260561
11,110000,-0.245383,0.00336302
12,120000,-0.246807,0.00338434
13,130000,-0.244874,0.00366466
14,140000,-0.244938,0.00339342
15,150000,-0.246131,0.00337688
16,160000,-0.24538,0.00324698
17,170000,-0.244664,0.00313274
18,180000,-0.245002,0.00297279
19,190000,-0.244665,0.00283208
20,200000,-0.244935,0.0027003
21,210000,-0.243722,0.00284055
22,220000,-0.243892,0.00271371
23,230000,-0.243433,0.0026335
24,240000,-0.242207,0.00280367
25,250000,-0.241584,0.00276037
26,260000,-0.241928,0.00267437
27,270000,-0.242201,0.00258779
28,280000,-0.242343,0.00249772
29,290000,-0.242809,0.00245465
30,300000,-0.241856,0.00255568
31,310000,-0.242158,0.00249024
32,320000,-0.242109,0.00241166
33,330000,-0.243165,0.00256498
34,340000,-0.243184,0.00248847
35,350000,-0.244737,0.00287232
36,360000,-0.245586,0.00291758
37,370000,-0.245719,0.00284076
38,380000,-0.245417,0.00278143
39,390000,-0.244575,0.00283696
40,400000,-0.244149,0.00279782
41,410000,-0.244504,0.00275178
42,420000,-0.245278,0.00279476
43,430000,-0.244892,0.00275622
44,440000,-0.245197,0.00271005
45,450000,-0.245988,0.00276478
46,460000,-0.245527,0.00274296
47,470000,-0.245774,0.00269533
48,480000,-0.245321,0.00267726
49,490000,-0.244459,0.00276025
50,500000,-0.243964,0.00274937
51,510000,-0.243869,0.00269659
52,520000,-0.244332,0.00268444
53,530000,-0.24458,0.00264493
54,540000,-0.244231,0.00261874
55,550000,-0.245176,0.00273883
56,560000,-0.245658,0.00273228
57,570000,-0.245741,0.0026852
58,580000,-0.245164,0.0027008
59,590000,-0.245299,0.00265805
60,600000,-0.245553,0.00262571
61,610000,-0.245202,0.00260614
62,620000,-0.245373,0.00256948
63,630000,-0.245457,0.00252977
64,640000,-0.245125,0.00251197
65,650000,-0.245041,0.00247446
66,660000,-0.245187,0.00244105
67,670000,-0.245429,0.00241654
68,680000,-0.246112,0.00247674
69,690000,-0.246324,0.0024497
70,700000,-0.246278,0.00241488
71,710000,-0.246547,0.00239579
72,720000,-0.246618,0.00236334
73,730000,-0.246616,0.00233074
74,740000,-0.247077,0.00234471
75,750000,-0.247248,0.00231956
76,760000,-0.247491,0.00230168
77,770000,-0.247168,0.00229435
78,780000,-0.246557,0.00234575
79,790000,-0.246594,0.00231616
80,800000,-0.246616,0.00228713
81,810000,-0.246814,0.00226732
82,820000,-0.24668,0.00224349
83,830000,-0.247302,0.00230197
84,840000,-0.247646,0.00230026
85,850000,-0.247948,0.00229302
86,860000,-0.24798,0.00226642
87,870000,-0.248379,0.00227549
88,880000,-0.248217,0.00225525
89,890000,-0.247731,0.00228219
90,900000,-0.247947,0.00226695
91,910000,-0.24809,0.00224645
92,920000,-0.248214,0.00222538
93,930000,-0.24832,0.00220386
94,940000,-0.24771,0.00226405
95,950000,-0.248016,0.002261
96,960000,-0.247859,0.00224287
97,970000,-0.247974,0.0022226
98,980000,-0.248095,0.00220318
99,990000,-0.248351,0.00219569
100,1000000,-0.24818,0.00218028
