BLOCK,ACTUAL_PE,PE_AVE,ERROR
159,-0.443985,-0.410826,0.00434733
160,-0.421834,-0.410895,0.0043207
161,-0.450817,-0.411143,0.00430098
162,-0.444612,-0.41135,0.00427939
163,-0.466911,-0.411691,0.00426669
164,-0.539389,-0.412469,0.00431114
165,-0.521749,-0.413132,0.00433558
166,-0.481571,-0.413544,0.00432902
167,-0.441421,-0.413711,0.00430632
168,-0.458619,-0.413978,0.00428897
169,-0.436673,-0.414112,0.0042657
170,-0.433092,-0.414224,0.00424206
171,-0.471801,-0.414561,0.0042306
172,-0.533122,-0.41525,0.00426179
173,-0.529411,-0.41591,0.00428794
174,-0.510644,-0.416454,0.00429772
175,-0.550287,-0.417219,0.00434067
176,-0.544915,-0.417945,0.00437623
177,-0.467205,-0.418223,0.00436034
178,-0.471239,-0.418521,0.00434601
179,-0.45147,-0.418705,0.00432562
180,-0.426475,-0.418748,0.00430181
181,-0.466607,-0.419012,0.00428616
182,-0.411822,-0.418973,0.00426279
183,-0.423899,-0.419,0.00423958
184,-0.43693,-0.419097,0.00421766
185,-0.458717,-0.419311,0.0042003
186,-0.430924,-0.419374,0.00417818
187,-0.46551,-0.419621,0.00416311
188,-0.501823,-0.420058,0.00416387
189,-0.493959,-0.420449,0.00416015
190,-0.442316,-0.420564,0.00413985
191,-0.386135,-0.420384,0.0041221
192,-0.407795,-0.420318,0.00410115
193,-0.349501,-0.419951,0.00409628
194,-0.344439,-0.419562,0.00409362
195,-0.384317,-0.419381,0.00407661
196,-0.397848,-0.419271,0.00405729
197,-0.381196,-0.419078,0.0040413
198,-0.390418,-0.418933,0.00402348
199,-0.405153,-0.418864,0.00400386
200,-0.419514,-0.418867,0.00398384
