BLOCK,ACTUAL_KE,KE_AVE,ERROR
177,1.73413,1.78513,0.00370696
178,1.74742,1.78492,0.00369219
179,1.79747,1.78499,0.00367223
180,1.82243,1.78519,0.00365771
181,1.81647,1.78537,0.00364158
182,1.77073,1.78529,0.00362246
183,1.78815,1.7853,0.0036027
184,1.79298,1.78534,0.00358336
185,1.78368,1.78534,0.003564
186,1.87597,1.78582,0.003578
187,1.89137,1.78639,0.00360311
188,1.90921,1.78704,0.00364269
189,1.92147,1.78775,0.00369221
190,1.88155,1.78825,0.00370563
191,1.82155,1.78842,0.00369033
192,1.81896,1.78858,0.00367454
193,1.85984,1.78895,0.003674
194,1.80587,1.78904,0.0036561
195,1.79486,1.78907,0.00363747
196,1.76711,1.78895,0.00362064
197,1.78373,1.78893,0.00360236
198,1.88974,1.78944,0.00361996
199,1.88699,1.78993,0.00363481
200,1.85389,1.79025,0.00363068
201,1.84423,1.79051,0.00362254
202,1.83001,1.79071,0.00360988
203,1.83162,1.79091,0.00359772
204,1.85769,1.79124,0.00359494
205,1.80921,1.79133,0.00357848
206,1.72576,1.79101,0.00357523
207,1.68424,1.79049,0.00359497
208,1.71245,1.79012,0.00359722
209,1.70805,1.78972,0.00360137
210,1.69791,1.78929,0.00361067
211,1.69125,1.78882,0.00362333
212,1.70592,1.78843,0.00362727
213,1.73059,1.78816,0.0036204
214,1.72628,1.78787,0.00361501
215,1.78327,1.78785,0.00359826
216,1.81606,1.78798,0.00358397
217,1.80257,1.78805,0.00356808
218,1.8313,1.78825,0.00355723
219,1.81845,1.78838,0.00354366
220,1.79159,1.7884,0.00352758
221,1.84839,1.78867,0.00352205
222,1.815,1.78879,0.00350818
223,1.79791,1.78883,0.00349268
224,1.81023,1.78892,0.0034784
225,1.84228,1.78916,0.00347101
226,1.84241,1.7894,0.00346364
227,1.78279,1.78937,0.00344851
228,1.77896,1.78932,0.00343368
229,1.79097,1.78933,0.0034187
230,1.75863,1.7892,0.00340644
231,1.79801,1.78923,0.0033919
232,1.77373,1.78917,0.00337794
233,1.74729,1.78899,0.00336822
234,1.75113,1.78883,0.00335771
235,1.72168,1.78854,0.00335556
236,1.74473,1.78835,0.00334647
237,1.79406,1.78838,0.00333244
238,1.81903,1.78851,0.00332093
239,1.78474,1.78849,0.00330707
