BLOCK,ACTUAL_CV,CV_AVE,ERROR
1,1.486073e-01,1.486073e-01,0.000000e+00
2,6.101550e-02,1.048114e-01,3.096837e-02
3,7.680000e-02,9.547426e-02,2.200821e-02
4,9.575992e-02,9.554568e-02,1.650627e-02
5,1.041280e-01,9.726214e-02,1.329397e-02
6,2.039598e-02,8.445111e-02,1.610893e-02
7,2.303854e-01,1.052989e-01,2.373163e-02
8,3.477342e-02,9.648319e-02,2.234266e-02
9,2.650771e-01,1.152158e-01,2.657720e-02
10,9.625902e-02,1.133202e-01,2.398699e-02
11,8.740472e-02,1.109642e-01,2.192175e-02
12,2.613305e-01,1.234947e-01,2.340376e-02
13,1.925341e-01,1.288055e-01,2.219784e-02
14,7.036462e-02,1.246311e-01,2.100111e-02
15,8.230200e-02,1.218092e-01,1.978972e-02
16,1.304280e-01,1.223478e-01,1.856019e-02
17,3.419448e-02,1.171624e-01,1.817837e-02
18,4.855998e-02,1.133511e-01,1.756345e-02
19,9.507968e-02,1.123895e-01,1.666536e-02
20,5.932728e-02,1.097363e-01,1.604189e-02
21,5.982000e-03,1.047957e-01,1.602077e-02
22,2.512795e-01,1.114540e-01,1.661868e-02
23,4.893998e-02,1.087360e-01,1.611686e-02
24,9.571968e-02,1.081937e-01,1.545445e-02
25,6.195200e-02,1.063440e-01,1.494655e-02
26,6.922238e-02,1.049162e-01,1.443972e-02
27,4.417848e-02,1.026667e-01,1.407905e-02
28,1.567518e-02,9.955986e-02,1.391480e-02
29,2.654094e-01,1.052788e-01,1.456287e-02
30,1.171195e-01,1.056735e-01,1.408279e-02
31,1.225933e-01,1.062193e-01,1.363908e-02
32,1.734720e-01,1.083209e-01,1.337380e-02
33,6.041198e-02,1.068692e-01,1.304709e-02
34,1.070032e-01,1.068731e-01,1.266336e-02
35,1.478717e-01,1.080445e-01,1.235560e-02
36,5.707128e-02,1.066286e-01,1.209325e-02
37,2.081950e-02,1.043094e-01,1.198672e-02
38,2.741358e-02,1.022858e-01,1.184086e-02
39,9.121118e-02,1.020019e-01,1.154065e-02
40,4.665758e-02,1.006183e-01,1.133477e-02
41,1.178872e-01,1.010395e-01,1.106614e-02
42,4.646712e-02,9.974011e-02,1.087867e-02
43,6.699182e-02,9.897852e-02,1.065230e-02
44,7.587950e-02,9.845354e-02,1.042313e-02
45,5.989038e-02,9.759658e-02,1.022668e-02
46,1.542207e-01,9.882754e-02,1.007817e-02
47,1.139037e-01,9.914831e-02,9.868843e-03
48,1.189625e-01,9.956111e-02,9.671871e-03
49,1.145580e-01,9.986717e-02,9.479327e-03
50,1.173625e-01,1.002171e-01,9.296197e-03
51,3.361518e-02,9.891115e-02,9.205188e-03
52,1.175875e-01,9.927031e-02,9.035169e-03
53,6.590158e-02,9.864072e-02,8.886604e-03
54,8.211918e-02,9.833476e-02,8.727302e-03
55,1.273555e-01,9.886241e-02,8.584560e-03
56,4.169262e-02,9.784152e-02,8.491750e-03
57,3.477342e-02,9.673506e-02,8.414548e-03
58,1.548221e-01,9.773656e-02,8.328856e-03
59,3.284222e-02,9.663666e-02,8.259996e-03
60,6.887950e-02,9.617404e-02,8.135274e-03
61,1.073248e-01,9.635684e-02,8.003962e-03
62,1.548857e-01,9.730085e-02,7.930341e-03
63,1.002032e-01,9.734692e-02,7.804596e-03
64,8.780472e-02,9.719783e-02,7.684073e-03
65,1.341454e-01,9.776625e-02,7.586852e-03
66,6.157752e-02,9.721794e-02,7.491687e-03
67,1.643640e-01,9.822012e-02,7.446601e-03
68,7.827072e-02,9.792674e-02,7.342869e-03
69,1.252195e-01,9.832229e-02,7.247097e-03
70,2.816795e-01,1.009417e-01,7.602218e-03
71,9.811918e-02,1.009019e-01,7.495249e-03
72,1.136479e-01,1.010790e-01,7.393238e-03
73,1.034592e-02,9.983603e-02,7.395700e-03
74,1.560179e-01,1.005952e-01,7.334624e-03
75,7.144702e-02,1.002066e-01,7.247118e-03
76,1.023896e-01,1.002353e-01,7.151818e-03
77,8.157048e-02,9.999293e-02,7.063044e-03
78,3.727800e-02,9.918889e-02,7.018108e-03
79,2.392136e-01,1.009614e-01,7.149592e-03
80,6.755000e-02,1.005437e-01,7.072409e-03
81,3.249438e-02,9.970360e-02,7.034816e-03
82,3.554478e-02,9.892117e-02,6.992402e-03
83,1.646918e-01,9.971359e-02,6.952912e-03
84,2.058368e-02,9.877157e-02,6.933661e-03
85,1.239821e-01,9.906816e-02,6.858429e-03
86,5.310942e-02,9.853376e-02,6.799468e-03
87,9.208750e-02,9.845966e-02,6.721717e-03
88,9.943352e-02,9.847073e-02,6.645343e-03
89,6.136352e-02,9.805379e-02,6.583743e-03
90,5.216352e-02,9.754390e-02,6.530305e-03
91,1.030454e-01,9.760436e-02,6.458823e-03
92,8.940078e-02,9.751519e-02,6.389234e-03
93,6.792192e-02,9.719698e-02,6.328452e-03
94,4.800928e-02,9.667371e-02,6.282724e-03
95,2.605152e-02,9.593032e-02,6.260416e-03
96,1.041280e-01,9.601571e-02,6.195785e-03
97,2.038782e-02,9.523604e-02,6.180773e-03
98,6.026558e-02,9.487920e-02,6.127996e-03
99,6.256478e-02,9.455279e-02,6.074784e-03
100,8.178750e-02,9.442514e-02,6.015377e-03
