BLOCK,ACTUAL_X,X_AVE,ERROR
1,6.55251,6.55251,0
2,5.38429,5.9684,0.413027
3,5.65804,5.86495,0.288017
4,6.23375,5.95715,0.230298
5,5.55484,5.87668,0.197795
6,5.66015,5.84059,0.16809
7,5.3576,5.77159,0.157604
8,8.73629,6.14218,0.373075
9,6.69433,6.20353,0.336629
10,6.13913,6.19709,0.303028
11,5.59084,6.14198,0.280447
12,5.77331,6.11125,0.258754
13,4.88873,6.01721,0.255367
14,4.62538,5.9178,0.255747
15,5.96436,5.9209,0.238716
16,5.22873,5.87764,0.227683
17,5.08516,5.83102,0.21901
18,4.4832,5.75615,0.21927
19,5.85229,5.76121,0.207788
20,4.75775,5.71103,0.203366
21,5.13847,5.68377,0.195501
22,6.79782,5.73441,0.193061
23,5.47753,5.72324,0.18499
24,5.14524,5.69915,0.178843
25,4.87738,5.66628,0.174684
26,6.70371,5.70618,0.172462
27,5.13425,5.685,0.16737
28,5.03447,5.66177,0.162997
29,6.34567,5.68535,0.159074
30,4.82182,5.65657,0.156354
31,5.50313,5.65162,0.151389
32,4.85076,5.62659,0.148712
33,5.92982,5.63578,0.144489
34,5.54189,5.63302,0.140266
35,4.38611,5.59739,0.14071
36,6.07702,5.61072,0.13743
37,5.23098,5.60045,0.134099
38,5.70764,5.60327,0.1306
39,4.89862,5.5852,0.128495
40,5.71265,5.58839,0.125322
41,4.98058,5.57357,0.123139
42,4.84342,5.55618,0.121428
43,6.50909,5.57834,0.120609
44,5.69767,5.58105,0.117899
45,4.50269,5.55709,0.117689
46,5.05535,5.54618,0.115635
47,4.67302,5.52761,0.114657
48,4.99244,5.51646,0.112809
49,4.70589,5.49991,0.111713
50,5.84778,5.50687,0.109695
51,4.91105,5.49519,0.108165
52,5.58473,5.49691,0.106098
53,5.43382,5.49572,0.104103
54,5.79869,5.50133,0.102326
55,5.63949,5.50384,0.100497
56,5.47302,5.50329,0.0987037
57,5.21578,5.49825,0.0971009
58,3.97702,5.47202,0.0989056
59,4.46,5.45487,0.0987054
60,5.46131,5.45497,0.0970603
61,5.4976,5.45567,0.0954717
62,5.18356,5.45128,0.0940327
63,6.20415,5.46323,0.0932963
64,5.69956,5.46693,0.0919116
65,5.22669,5.46323,0.0905719
66,5.83113,5.46881,0.0893709
67,5.29084,5.46615,0.0880765
68,7.07411,5.4898,0.0898995
69,5.23185,5.48606,0.0886743
70,6.60087,5.50198,0.0888262
71,4.84393,5.49271,0.0880573
72,6.02502,5.50011,0.0871441
73,5.87055,5.50518,0.086098
74,6.28676,5.51574,0.0855799
75,4.83964,5.50673,0.0849123
76,7.04655,5.52699,0.0861783
77,5.07505,5.52112,0.0852587
78,5.44495,5.52014,0.0841713
79,5.78858,5.52354,0.0831744
80,5.75287,5.52641,0.0821841
81,6.70327,5.54094,0.0824437
82,6.33833,5.55066,0.0820098
83,6.37462,5.56059,0.0816204
84,4.84073,5.55202,0.0810973
85,7.29949,5.57258,0.082708
86,5.2536,5.56887,0.0818294
87,5.43236,5.5673,0.0809039
88,5.90778,5.57117,0.080077
89,5.46022,5.56992,0.079187
90,4.9408,5.56293,0.0786151
91,4.77505,5.55427,0.0782265
92,5.14204,5.54979,0.0775044
93,5.6456,5.55082,0.0766779
94,4.21295,5.53659,0.0771718
95,5.42916,5.53546,0.0763677
96,5.53418,5.53545,0.0755722
97,6.26167,5.54293,0.0751631
98,5.51251,5.54262,0.0743967
99,5.25891,5.53976,0.0737004
100,6.94131,5.55377,0.0742841
