BLOCK,ACTUAL_KE,KE_AVE,ERROR
1,1.70146,1.70146,0
2,1.7952,1.74833,0.0331413
3,1.79981,1.76549,0.0261618
4,1.77849,1.76874,0.0198222
5,1.78412,1.77182,0.0160947
6,1.75733,1.7694,0.0135921
7,1.7306,1.76386,0.0127306
8,1.73957,1.76082,0.0114957
9,1.79981,1.76516,0.0110043
10,1.79637,1.76828,0.0103371
11,1.81975,1.77296,0.0104029
12,1.82854,1.77759,0.0105166
13,1.7907,1.7786,0.00975582
14,1.7882,1.77928,0.00908304
15,1.83496,1.78299,0.00920463
16,1.82275,1.78548,0.00895845
17,1.77968,1.78514,0.00843797
18,1.82057,1.78711,0.00819556
19,1.77846,1.78665,0.00777683
20,1.79502,1.78707,0.00739924
21,1.80781,1.78806,0.00711253
22,1.8366,1.79026,0.00712331
23,1.79405,1.79043,0.0068155
24,1.83331,1.79222,0.00676163
25,1.85216,1.79461,0.00690328
26,1.79119,1.79448,0.00663902
27,1.78052,1.79397,0.00641323
28,1.84039,1.79562,0.00639495
29,1.83966,1.79714,0.00635215
30,1.80222,1.79731,0.00614267
31,1.84452,1.79883,0.00613042
32,1.79691,1.79877,0.00593914
33,1.85546,1.80049,0.00600241
34,1.79878,1.80044,0.00582608
35,1.81858,1.80096,0.00568261
36,1.79674,1.80084,0.00552597
37,1.79042,1.80056,0.0053838
38,1.80726,1.80074,0.00524501
39,1.75569,1.79958,0.00523613
40,1.79638,1.7995,0.00510584
41,1.82189,1.80005,0.00501042
42,1.86089,1.8015,0.00509622
43,1.82336,1.802,0.005003
44,1.81949,1.8024,0.00490506
45,1.7842,1.802,0.00481269
46,1.77627,1.80144,0.00474046
47,1.78244,1.80103,0.00465681
48,1.7737,1.80046,0.00459449
49,1.75638,1.79957,0.00458798
50,1.78591,1.79929,0.00450434
51,1.84757,1.80024,0.00451438
52,1.86119,1.80141,0.00457721
53,1.83646,1.80207,0.00453837
54,1.83591,1.8027,0.00449739
55,1.85979,1.80374,0.00453382
56,1.87624,1.80503,0.00463402
57,1.79217,1.80481,0.00455821
58,1.78209,1.80441,0.00449642
59,1.7758,1.80393,0.00444629
60,1.73924,1.80285,0.004501
61,1.792,1.80267,0.00443073
62,1.79322,1.80252,0.00436189
63,1.80728,1.8026,0.0042933
64,1.81143,1.80273,0.00422844
65,1.78501,1.80246,0.00417217
66,1.80887,1.80256,0.00411009
67,1.78787,1.80234,0.00405459
68,1.87474,1.8034,0.00413241
69,1.83907,1.80392,0.00410472
70,1.82254,1.80419,0.00405469
71,1.81963,1.8044,0.00400341
72,1.8266,1.80471,0.00395966
73,1.8178,1.80489,0.00390947
74,1.84635,1.80545,0.00389659
75,1.79944,1.80537,0.00384546
76,1.83564,1.80577,0.00381543
77,1.82222,1.80598,0.00377186
78,1.80886,1.80602,0.00372368
79,1.81989,1.8062,0.00368068
80,1.85973,1.80687,0.00369501
81,1.84142,1.80729,0.00367393
82,1.85172,1.80783,0.00366885
83,1.77756,1.80747,0.00364273
84,1.74467,1.80672,0.00367528
85,1.77578,1.80636,0.00365002
86,1.80161,1.8063,0.003608
87,1.80146,1.80625,0.00356696
88,1.77623,1.80591,0.0035427
89,1.79566,1.80579,0.00350476
90,1.77398,1.80544,0.00348359
91,1.80085,1.80539,0.00344568
92,1.81164,1.80545,0.00340889
93,1.74951,1.80485,0.0034249
94,1.79751,1.80477,0.00338936
95,1.82197,1.80496,0.00335851
96,1.82713,1.80519,0.00333146
97,1.78146,1.80494,0.00330608
98,1.78564,1.80475,0.0032782
99,1.81927,1.80489,0.00324837
100,1.76495,1.80449,0.00324035
