blocks,extractions,radius,error
192,3840000,5.00141,0.00558365
193,3860000,5.00177,0.00556614
194,3880000,5.00203,0.00554332
195,3900000,5.00197,0.00551514
196,3920000,5.00199,0.005487
197,3940000,5.00328,0.00560813
198,3960000,5.00307,0.0055838
199,3980000,5.00327,0.00555929
200,4000000,5.00298,0.00553857
201,4020000,5.00327,0.00551807
202,4040000,5.00358,0.00549964
203,4060000,5.00346,0.00547386
204,4080000,5.0034,0.00544728
205,4100000,5.00278,0.00545539
206,4120000,5.00322,0.00544666
207,4140000,5.00323,0.0054203
208,4160000,5.0028,0.0054112
209,4180000,5.00226,0.00541258
210,4200000,5.00267,0.00540248
211,4220000,5.00355,0.00544819
212,4240000,5.00375,0.0054259
213,4260000,5.00453,0.00545715
214,4280000,5.00456,0.00543164
215,4300000,5.00487,0.00541558
216,4320000,5.00449,0.00540411
217,4340000,5.00396,0.00540458
218,4360000,5.00388,0.00538037
219,4380000,5.00293,0.00543985
220,4400000,5.00296,0.00541516
221,4420000,5.00301,0.00539081
222,4440000,5.0026,0.00538198
223,4460000,5.00209,0.00538208
224,4480000,5.00223,0.00535981
225,4500000,5.00185,0.00534957
226,4520000,5.00184,0.00532585
227,4540000,5.00147,0.00531521
228,4560000,5.00113,0.00530323
229,4580000,5.00127,0.005282
230,4600000,5.00137,0.00525998
231,4620000,5.00179,0.00525377
232,4640000,5.00186,0.00523151
233,4660000,5.00164,0.0052135
234,4680000,5.00209,0.0052101
235,4700000,5.00236,0.00519507
236,4720000,5.00256,0.00517704
237,4740000,5.00253,0.00515528
238,4760000,5.00204,0.0051567
239,4780000,5.00199,0.00513532
240,4800000,5.00181,0.00511694
241,4820000,5.00138,0.00511358
242,4840000,5.0016,0.00509698
243,4860000,5.00164,0.0050761
244,4880000,5.00172,0.00505596
245,4900000,5.00112,0.00507118
246,4920000,5.00087,0.00505666
247,4940000,5.00098,0.00503732
248,4960000,5.00096,0.00501701
249,4980000,5.00042,0.00502634
250,5000000,5.00025,0.00500888
251,5020000,5.00089,0.0050296
252,5040000,5.00089,0.0050096
253,5060000,5.00098,0.00499052
254,5080000,5.00132,0.00498279
255,5100000,5.00127,0.00496354
256,5120000,5.00076,0.00497029
257,5140000,5.00064,0.00495233
258,5160000,5.00067,0.00493318
259,5180000,5.00079,0.00491561
260,5200000,5.00016,0.00493697
261,5220000,5.00064,0.00494189
262,5240000,5.00028,0.00493678
263,5260000,5.00009,0.00492138
264,5280000,4.9998,0.0049114
265,5300000,5.00013,0.00490405
266,5320000,5,0.00488743
267,5340000,4.9995,0.00489445
268,5360000,4.99943,0.00487658
269,5380000,4.99946,0.00485849
270,5400000,4.99949,0.00484054
271,5420000,4.99929,0.00482663
272,5440000,4.99899,0.00481836
273,5460000,4.99929,0.00481017
274,5480000,4.99908,0.00479735
275,5500000,4.99923,0.00478246
276,5520000,4.99957,0.004777
277,5540000,4.99969,0.00476111
278,5560000,4.99904,0.00478764
279,5580000,4.99937,0.00478152
280,5600000,4.99902,0.00477676
281,5620000,4.99916,0.00476172
282,5640000,4.99879,0.00475933
283,5660000,4.99812,0.00479004
284,5680000,4.99829,0.00477645
285,5700000,4.99822,0.00476018
286,5720000,4.99815,0.00474411
287,5740000,4.99803,0.00472894
288,5760000,4.99765,0.00472768
289,5780000,4.99774,0.0047121
290,5800000,4.99758,0.00469873
291,5820000,4.99754,0.00468268
292,5840000,4.99736,0.00467015
293,5860000,4.99716,0.00465827
294,5880000,4.99722,0.00464279
295,5900000,4.99746,0.00463299
296,5920000,4.99733,0.00461918
297,5940000,4.99747,0.00460594
298,5960000,4.99688,0.00462885
299,5980000,4.99736,0.00463862
