blocks,extractions,radius,error
192,3840000,5.01038,0.0059095
193,3860000,5.00989,0.0058989
194,3880000,5.00962,0.00587455
195,3900000,5.00914,0.00586452
196,3920000,5.00947,0.00584382
197,3940000,5.00902,0.00583133
198,3960000,5.00905,0.00580187
199,3980000,5.00958,0.00579696
200,4000000,5.00904,0.0057927
201,4020000,5.00988,0.00582456
202,4040000,5.01007,0.00579874
203,4060000,5.01046,0.00578336
204,4080000,5.01083,0.00576692
205,4100000,5.01051,0.00574799
206,4120000,5.01085,0.00573024
207,4140000,5.0106,0.00570798
208,4160000,5.01022,0.0056928
209,4180000,5.01031,0.00566614
210,4200000,5.01023,0.00563971
211,4220000,5.01027,0.00561311
212,4240000,5.01022,0.00558687
213,4260000,5.00977,0.0055784
214,4280000,5.00993,0.00555462
215,4300000,5.01062,0.00557191
216,4320000,5.01127,0.00558299
217,4340000,5.01131,0.0055574
218,4360000,5.01103,0.00553936
219,4380000,5.01084,0.00551727
220,4400000,5.01008,0.00554446
221,4420000,5.00955,0.00554447
222,4440000,5.00916,0.00553324
223,4460000,5.00937,0.00551235
224,4480000,5.00957,0.00549129
225,4500000,5.01029,0.00551441
226,4520000,5.01069,0.00550473
227,4540000,5.01065,0.00548059
228,4560000,5.0101,0.00548399
229,4580000,5.00976,0.00547055
230,4600000,5.00992,0.00544899
231,4620000,5.00983,0.00542608
232,4640000,5.00948,0.00541415
233,4660000,5.01011,0.00542825
234,4680000,5.00934,0.00545929
235,4700000,5.00912,0.0054404
236,4720000,5.00961,0.00543902
237,4740000,5.00908,0.00544197
238,4760000,5.00864,0.00543686
239,4780000,5.00761,0.00551101
240,4800000,5.00789,0.00549527
241,4820000,5.00753,0.00548442
242,4840000,5.00799,0.00548137
243,4860000,5.00776,0.00546361
244,4880000,5.00874,0.00552822
245,4900000,5.00859,0.00550775
246,4920000,5.00875,0.00548771
247,4940000,5.00859,0.0054678
248,4960000,5.00806,0.00547111
249,4980000,5.00795,0.00545024
250,5000000,5.00811,0.00543075
251,5020000,5.0082,0.00540979
252,5040000,5.00839,0.00539159
253,5060000,5.00827,0.00537153
254,5080000,5.00759,0.0053935
255,5100000,5.00743,0.00537472
256,5120000,5.0076,0.00535654
257,5140000,5.00714,0.00535606
258,5160000,5.00707,0.00533563
259,5180000,5.00711,0.00531513
260,5200000,5.00705,0.005295
261,5220000,5.00684,0.00527879
262,5240000,5.00702,0.00526175
263,5260000,5.00677,0.00524802
264,5280000,5.00743,0.00527004
265,5300000,5.00716,0.00525711
266,5320000,5.00659,0.00526768
267,5340000,5.00649,0.00524902
268,5360000,5.00631,0.00523248
269,5380000,5.00592,0.00522698
270,5400000,5.0056,0.00521778
271,5420000,5.00581,0.00520267
272,5440000,5.00594,0.00518535
273,5460000,5.00589,0.00516657
274,5480000,5.00511,0.00520705
275,5500000,5.00519,0.00518877
276,5520000,5.00524,0.00517014
277,5540000,5.00512,0.00515293
278,5560000,5.00549,0.00514761
279,5580000,5.00557,0.00512976
280,5600000,5.00577,0.00511566
281,5620000,5.00605,0.00510465
282,5640000,5.00566,0.0051013
283,5660000,5.00588,0.00508818
284,5680000,5.00583,0.00507049
285,5700000,5.00591,0.00505334
286,5720000,5.00548,0.00505438
287,5740000,5.00527,0.00504087
288,5760000,5.00586,0.00505698
289,5780000,5.00592,0.00503991
290,5800000,5.00564,0.00503021
291,5820000,5.00548,0.00501565
292,5840000,5.00549,0.00499845
293,5860000,5.00593,0.00500161
294,5880000,5.00613,0.00498831
295,5900000,5.00586,0.00497884
296,5920000,5.0058,0.00496233
297,5940000,5.00581,0.00494561
298,5960000,5.00531,0.00495432
299,5980000,5.00527,0.00493787
300,6000000,5.00542,0.00492367
301,6020000,5.00554,0.00490872
302,6040000,5.00614,0.0049285
303,6060000,5.00631,0.00491521
304,6080000,5.00584,0.00492153
305,6100000,5.0053,0.00493478
306,6120000,5.00496,0.00493051
307,6140000,5.00494,0.00491447
308,6160000,5.00516,0.00490347
309,6180000,5.00486,0.00489693
310,6200000,5.00534,0.00490466
311,6220000,5.00516,0.00489213
312,6240000,5.00549,0.00488806
313,6260000,5.00542,0.00487303
314,6280000,5.00531,0.00485858
315,6300000,5.00512,0.00484684
316,6320000,5.00534,0.00483641
317,6340000,5.0052,0.00482337
318,6360000,5.00497,0.0048133
319,6380000,5.00487,0.00479939
320,6400000,5.00539,0.00481331
321,6420000,5.00512,0.00480592
322,6440000,5.00534,0.00479597
323,6460000,5.00481,0.00481059
324,6480000,5.00457,0.00480175
325,6500000,5.00513,0.0048198
326,6520000,5.0052,0.00480555
327,6540000,5.00544,0.00479666
328,6560000,5.00576,0.00479268
329,6580000,5.00536,0.00479477
330,6600000,5.0054,0.00478042
331,6620000,5.00537,0.00476606
332,6640000,5.00487,0.00477866
333,6660000,5.00488,0.0047643
334,6680000,5.00486,0.00475005
335,6700000,5.00453,0.00474755
336,6720000,5.00416,0.00474784
337,6740000,5.00376,0.00475076
338,6760000,5.00352,0.00474274
339,6780000,5.00329,0.00473413
