blocks,extractions,radius,error
1,20000,5.04807,0
2,40000,5.02723,0.0208397
3,60000,5.0246,0.0123158
4,80000,5.01278,0.0146816
5,100000,5.02832,0.0192562
6,120000,5.00223,0.0304624
7,140000,5.00813,0.0264128
8,160000,4.99101,0.0285711
9,180000,4.99092,0.0251974
10,200000,4.99134,0.0225411
11,220000,5.00078,0.0224689
12,240000,4.9967,0.0209124
13,260000,5.00203,0.0199607
14,280000,5.00576,0.0188527
15,300000,5.00875,0.017804
16,320000,5.01715,0.0186507
17,340000,5.01176,0.0183284
18,360000,5.01101,0.0172963
19,380000,5.00925,0.0164554
20,400000,5.00948,0.0156127
21,420000,5.00981,0.0148542
22,440000,5.00798,0.01428
23,460000,5.00161,0.0150614
24,480000,5.01209,0.0178297
25,500000,5.01161,0.0171086
26,520000,5.00981,0.0165348
27,540000,5.00725,0.0161159
28,560000,5.011,0.0159772
29,580000,5.00774,0.0157578
30,600000,5.01043,0.0154591
31,620000,5.01326,0.0152168
32,640000,5.01276,0.0147419
33,660000,5.01171,0.0143266
34,680000,5.01615,0.0145901
35,700000,5.015,0.0142134
36,720000,5.01585,0.0138388
37,740000,5.01332,0.0136945
38,760000,5.01734,0.0139221
39,780000,5.01787,0.0135705
40,800000,5.01669,0.0132797
41,820000,5.01416,0.0131957
42,840000,5.0157,0.0129691
43,860000,5.01558,0.0126645
44,880000,5.01715,0.0124736
45,900000,5.0139,0.0126199
46,920000,5.01291,0.0123824
47,940000,5.01196,0.0121534
48,960000,5.01073,0.01196
49,980000,5.00947,0.0117812
50,1000000,5.01048,0.0115866
51,1020000,5.01219,0.0114859
52,1040000,5.01303,0.0112944
53,1060000,5.01275,0.0110828
54,1080000,5.01294,0.0108772
55,1100000,5.01055,0.0109413
56,1120000,5.00791,0.0110638
57,1140000,5.00654,0.0109536
58,1160000,5.00469,0.0109219
59,1180000,5.00484,0.0107363
60,1200000,5.00621,0.0106442
61,1220000,5.00442,0.0106189
62,1240000,5.00561,0.0105133
63,1260000,5.00578,0.0103466
64,1280000,5.00441,0.0102763
65,1300000,5.00386,0.010132
66,1320000,5.00432,0.00998806
67,1340000,5.00534,0.00989069
68,1360000,5.00398,0.00983871
69,1380000,5.00439,0.00970357
70,1400000,5.00409,0.00956854
71,1420000,5.00444,0.00943929
72,1440000,5.00436,0.00930762
73,1460000,5.00472,0.00918634
74,1480000,5.00464,0.0090617
75,1500000,5.00361,0.0089995
76,1520000,5.00313,0.00889308
77,1540000,5.00364,0.00879166
78,1560000,5.00442,0.00871344
79,1580000,5.00541,0.00865864
80,1600000,5.0081,0.00896381
81,1620000,5.00836,0.00885624
82,1640000,5.00844,0.0087479
83,1660000,5.0097,0.00873358
84,1680000,5.01025,0.00864652
85,1700000,5.0094,0.00858616
86,1720000,5.00894,0.00849846
87,1740000,5.00906,0.00840114
88,1760000,5.01132,0.00860581
89,1780000,5.01101,0.00851411
90,1800000,5.01057,0.00843037
91,1820000,5.00831,0.00863729
92,1840000,5.00959,0.00863804
93,1860000,5.00926,0.00855123
94,1880000,5.0098,0.00847692
95,1900000,5.01035,0.00840568
96,1920000,5.01078,0.00832877
97,1940000,5.0115,0.00827378
98,1960000,5.01165,0.00819027
99,1980000,5.01118,0.00812051
100,2000000,5.01159,0.00804915
101,2020000,5.01188,0.00797436
102,2040000,5.01099,0.00794617
103,2060000,5.01093,0.00786888
104,2080000,5.01011,0.00783598
105,2100000,5.00999,0.00776189
106,2120000,5.01107,0.00776404
107,2140000,5.01105,0.00769116
108,2160000,5.01003,0.00768709
109,2180000,5.01137,0.00773185
110,2200000,5.0108,0.00768227
111,2220000,5.00902,0.00781693
112,2240000,5.00968,0.00777489
113,2260000,5.01049,0.0077475
114,2280000,5.01201,0.00782817
115,2300000,5.01161,0.00776993
116,2320000,5.01092,0.00773322
117,2340000,5.01123,0.00767294
118,2360000,5.01059,0.00763411
119,2380000,5.0107,0.00757049
120,2400000,5.01007,0.00753379
121,2420000,5.01089,0.00751633
122,2440000,5.01145,0.00747487
123,2460000,5.0111,0.00742176
124,2480000,5.01176,0.00739109
125,2500000,5.01168,0.00733214
126,2520000,5.01192,0.00727767
127,2540000,5.01188,0.00722026
128,2560000,5.01235,0.0071792
129,2580000,5.01214,0.0071267
130,2600000,5.0117,0.00708496
131,2620000,5.01226,0.0070529
132,2640000,5.01182,0.00701299
133,2660000,5.01044,0.00709678
134,2680000,5.01103,0.007069
135,2700000,5.0118,0.00705793
136,2720000,5.01096,0.0070556
137,2740000,5.01,0.00707032
138,2760000,5.01073,0.00705731
139,2780000,5.01097,0.00701043
140,2800000,5.0108,0.00696225
141,2820000,5.01008,0.00695005
142,2840000,5.00945,0.00692979
143,2860000,5.00931,0.00688252
144,2880000,5.00842,0.00689194
145,2900000,5.00748,0.00690915
146,2920000,5.00845,0.00693066
147,2940000,5.00864,0.00688593
148,2960000,5.00911,0.00685482
149,2980000,5.00936,0.00681325
150,3000000,5.00912,0.00677169
151,3020000,5.00874,0.0067375
152,3040000,5.00838,0.0067029
153,3060000,5.00909,0.00669714
154,3080000,5.00893,0.00665556
155,3100000,5.00813,0.00666051
156,3120000,5.00859,0.00663377
157,3140000,5.00877,0.00659387
158,3160000,5.00967,0.00661337
159,3180000,5.00998,0.00657897
160,3200000,5.00958,0.00654969
161,3220000,5.00935,0.00651301
162,3240000,5.0088,0.00649602
163,3260000,5.00941,0.00648461
164,3280000,5.00986,0.00646037
165,3300000,5.01014,0.00642752
166,3320000,5.00975,0.00640062
167,3340000,5.00999,0.00636667
168,3360000,5.01037,0.00633974
169,3380000,5.00958,0.00635092
170,3400000,5.01,0.0063276
171,3420000,5.01011,0.00629131
172,3440000,5.01044,0.00626358
173,3460000,5.01102,0.0062539
174,3480000,5.01128,0.00622336
175,3500000,5.01192,0.00622108
176,3520000,5.01151,0.00619906
177,3540000,5.0111,0.00617801
178,3560000,5.01174,0.00617635
179,3580000,5.01145,0.00614829
180,3600000,5.01142,0.00611414
181,3620000,5.01121,0.0060839
182,3640000,5.01183,0.00608207
183,3660000,5.01198,0.00605078
184,3680000,5.01114,0.00607734
185,3700000,5.01164,0.00606521
186,3720000,5.01136,0.00603902
