#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.19868     1.19868           0
           2      1.1922     1.19544  0.00229148
           3     1.20272     1.19787  0.00250204
           4      1.2119     1.20137  0.00357009
           5     1.19472     1.20004  0.00309449
           6     1.20861     1.20147  0.00288971
           7      1.2009     1.20139  0.00247805
           8     1.21396     1.20296  0.00261926
           9     1.19983     1.20261  0.00235128
          10      1.2023     1.20258  0.00211635
          11     1.19831     1.20219  0.00195929
          12     1.21697     1.20342  0.00214855
          13      1.1961     1.20286  0.00205588
          14      1.1877     1.20178  0.00217556
          15     1.20474     1.20198  0.00203949
          16     1.19569     1.20158  0.00194955
          17     1.20331     1.20168   0.0018375
          18     1.19898     1.20153  0.00174157
          19     1.20317     1.20162  0.00165202
          20     1.20869     1.20197  0.00160683
          21     1.20025     1.20189  0.00153242
          22     1.19556      1.2016  0.00148954
          23     1.18521     1.20089  0.00158619
          24     1.21807     1.20161   0.0016739
          25     1.19339     1.20128  0.00163889
          26     1.19384     1.20099  0.00160063
          27     1.19855      1.2009   0.0015439
          28     1.20697     1.20112  0.00150388
          29     1.19454     1.20089  0.00146902
          30      1.2057     1.20105  0.00142875
          31     1.19694     1.20092  0.00138882
          32     1.20616     1.20108  0.00135505
          33     1.18857      1.2007  0.00136598
          34     1.21963     1.20126  0.00143474
          35     1.19262     1.20101  0.00141481
          36     1.22001     1.20154  0.00147058
          37     1.18051     1.20097   0.0015368
          38     1.19736     1.20088  0.00149931
          39     1.20219     1.20091  0.00146124
          40     1.21005     1.20114  0.00144246
          41     1.20115     1.20114  0.00140728
          42      1.2079      1.2013  0.00138296
          43      1.1865     1.20096  0.00139297
          44     1.19665     1.20086  0.00136475
          45     1.19408     1.20071  0.00134271
          46     1.19418     1.20057  0.00132101
          47      1.1985     1.20052  0.00129364
          48     1.19978     1.20051  0.00126678
          49     1.19234     1.20034  0.00125183
          50     1.20566     1.20045   0.0012313
          51     1.20197     1.20048  0.00120752
          52     1.20036     1.20047   0.0011843
          53     1.20139     1.20049  0.00116209
          54     1.19701     1.20043  0.00114235
          55       1.208     1.20056  0.00112985
          56     1.20072     1.20057  0.00110968
          57     1.20238      1.2006  0.00109066
          58     1.19877     1.20057  0.00107232
          59     1.19841     1.20053  0.00105476
          60     1.21064      1.2007  0.00105056
          61     1.19378     1.20059  0.00103945
          62     1.21278     1.20078  0.00104111
          63     1.19624     1.20071  0.00102707
          64     1.20136     1.20072  0.00101108
          65      1.2008     1.20072 0.000995522
          66     1.20994     1.20086 0.000990199
          67     1.18736     1.20066 0.000995716
          68     1.20746     1.20076 0.000986081
          69     1.20179     1.20077 0.000971902
          70     1.20649     1.20086 0.000961447
          71     1.20019     1.20085 0.000947951
          72     1.20436      1.2009 0.000936043
          73     1.20851       1.201 0.000929013
          74      1.1933      1.2009 0.000922262
          75     1.20119      1.2009 0.000909974
          76     1.19062     1.20076    0.000908
          77     1.20466     1.20082 0.000897617
          78     1.19051     1.20068 0.000895778
          79     1.20897     1.20079 0.000890563
          80     1.20491     1.20084 0.000880921
          81     1.19564     1.20078 0.000872382
          82     1.20983     1.20089 0.000868696
          83     1.19788     1.20085 0.000858984
          84     1.19094     1.20073 0.000856825
          85     1.20145     1.20074 0.000846787
          86     1.20044     1.20074 0.000836948
          87     1.19614     1.20068 0.000828992
          88     1.20715     1.20076  0.00082282
          89     1.20504     1.20081  0.00081498
          90     1.20585     1.20086  0.00080785
          91     1.19965     1.20085 0.000799083
          92     1.20201     1.20086 0.000790497
          93     1.20554     1.20091 0.000783598
          94     1.20336     1.20094 0.000775694
          95     1.19375     1.20086 0.000771212
          96     1.21081     1.20097 0.000770105
          97     1.18949     1.20085   0.0007712
          98     1.20944     1.20093 0.000768305
          99     1.18615     1.20079 0.000774925
         100     1.20194      1.2008 0.000767262
