generation,best_loss,city_1,city_2,city_3,city_4,city_5,city_6,city_7,city_8,city_9,city_10,city_11,city_12,city_13,city_14,city_15,city_16,city_17,city_18,city_19,city_20,city_21,city_22,city_23,city_24,city_25,city_26,city_27,city_28,city_29,city_30,city_31,city_32,city_33,city_34
41,5.12131,0,18,33,28,22,20,26,24,29,9,31,16,6,1,17,4,11,8,23,13,19,30,12,7,32,3,14,10,25,2,15,5,21,27
42,5.12131,0,18,33,28,22,20,26,24,29,9,31,16,6,1,17,4,11,8,23,13,19,30,12,7,32,3,14,10,25,2,15,5,21,27
43,5.12131,0,18,33,28,22,20,26,24,29,9,31,16,6,1,17,4,11,8,23,13,19,30,12,7,32,3,14,10,25,2,15,5,21,27
44,5.0559,0,18,33,28,22,20,26,24,31,9,29,16,6,1,17,4,11,8,23,13,19,30,12,7,32,3,14,10,25,2,15,5,21,27
45,5.03964,0,18,33,28,22,20,26,24,31,29,9,16,6,1,17,4,11,8,23,13,19,30,12,7,32,3,14,10,25,2,15,5,21,27
46,5.03964,0,18,33,28,22,20,26,24,31,29,9,16,6,1,17,4,11,8,23,13,19,30,12,7,32,3,14,10,25,2,15,5,21,27
47,4.91508,0,18,33,28,22,20,26,24,31,29,9,16,6,1,17,4,11,8,23,13,19,30,12,7,32,3,14,25,10,2,15,5,21,27
48,4.91508,0,18,33,28,22,20,26,24,31,29,9,16,6,1,17,4,11,8,23,13,19,30,12,7,32,3,14,25,10,2,15,5,21,27
49,4.91508,0,18,33,28,22,20,26,24,31,29,9,16,6,1,17,4,11,8,23,13,19,30,12,7,32,3,14,25,10,2,15,5,21,27
50,4.91508,0,18,33,28,22,20,26,24,31,29,9,16,6,1,17,4,11,8,23,13,19,30,12,7,32,3,14,25,10,2,15,5,21,27
51,4.91508,0,18,33,28,22,20,26,24,31,29,9,16,6,1,17,4,11,8,23,13,19,30,12,7,32,3,14,25,10,2,15,5,21,27
52,4.91508,0,18,33,28,22,20,26,24,31,29,9,16,6,1,17,4,11,8,23,13,19,30,12,7,32,3,14,25,10,2,15,5,21,27
53,4.86794,0,18,27,21,5,15,2,10,25,14,3,32,7,12,30,19,11,8,23,13,4,17,1,6,16,9,29,31,24,26,20,22,28,33
54,4.86794,0,18,27,21,5,15,2,10,25,14,3,32,7,12,30,19,11,8,23,13,4,17,1,6,16,9,29,31,24,26,20,22,28,33
