N_BLOCK,ACCEPTANCE
1,0.68336
2,0.68103
3,0.680413
4,0.679
5,0.67822
6,0.677753
7,0.677397
8,0.677035
9,0.676436
10,0.676114
11,0.6761
12,0.676263
13,0.676191
14,0.676203
15,0.675933
16,0.675875
17,0.676008
18,0.676293
19,0.6764
20,0.67632
21,0.676499
22,0.676647
23,0.676577
24,0.676748
25,0.676692
26,0.676711
27,0.676777
28,0.676695
29,0.676732
30,0.676725
31,0.676718
32,0.676602
33,0.676757
34,0.676745
35,0.676735
36,0.676626
37,0.676597
38,0.676538
39,0.676472
40,0.676284
41,0.676206
42,0.676245
43,0.676335
44,0.676349
45,0.676247
46,0.676222
47,0.676138
48,0.676155
49,0.676086
50,0.676038
51,0.676082
52,0.676194
53,0.676202
54,0.676192
55,0.676182
56,0.676194
57,0.67607
58,0.676054
59,0.676053
60,0.676067
61,0.675995
62,0.675961
63,0.675915
64,0.675963
65,0.676003
66,0.676066
67,0.676078
68,0.676056
69,0.676068
70,0.67602
71,0.675969
72,0.675967
73,0.67599
74,0.675956
75,0.676006
76,0.676018
77,0.675982
78,0.676002
79,0.675959
80,0.675954
81,0.675976
82,0.675988
83,0.675977
84,0.675897
85,0.675926
86,0.675965
87,0.675969
88,0.675975
89,0.675951
90,0.675949
91,0.675989
92,0.675888
93,0.675862
94,0.675801
95,0.675824
96,0.675841
97,0.675788
98,0.675769
99,0.67574
100,0.675711
1,0.67374
2,0.67536
3,0.676033
4,0.67499
5,0.674852
6,0.675353
7,0.674949
8,0.674983
9,0.675022
10,0.67554
11,0.675445
12,0.675545
13,0.67566
14,0.675649
15,0.675419
16,0.675321
17,0.675473
18,0.675603
19,0.675694
20,0.675464
21,0.675431
22,0.675571
23,0.675562
24,0.675336
25,0.675196
26,0.675291
27,0.675262
28,0.675326
29,0.675192
30,0.675241
31,0.675251
32,0.675151
33,0.674995
34,0.674895
35,0.674867
36,0.674894
37,0.675005
38,0.674978
39,0.675054
40,0.674943
41,0.674915
42,0.674889
43,0.674835
44,0.674927
45,0.674987
46,0.675057
47,0.675143
48,0.67513
49,0.675117
50,0.675042
51,0.675093
52,0.675071
53,0.675043
54,0.674974
55,0.674943
56,0.675014
57,0.675006
58,0.674984
59,0.675094
60,0.675041
61,0.675018
62,0.675082
63,0.675154
64,0.675096
65,0.67519
66,0.675202
67,0.675227
68,0.675234
69,0.675172
70,0.675093
71,0.675133
72,0.675169
73,0.675155
74,0.675173
75,0.675197
76,0.675178
77,0.675192
78,0.675186
79,0.675233
80,0.67526
81,0.675247
82,0.675194
83,0.67524
84,0.675227
85,0.675232
86,0.67526
87,0.675244
88,0.675259
89,0.675235
90,0.675266
91,0.675239
92,0.675236
93,0.675181
94,0.675188
95,0.675117
96,0.675152
97,0.675201
98,0.675206
99,0.675119
100,0.675156
