BLOCK,ACTUAL_KE,KE_AVE,ERROR
123,1.625422e+00,1.654510e+00,2.820463e-03
124,1.682069e+00,1.654732e+00,2.806460e-03
125,1.658610e+00,1.654763e+00,2.784180e-03
126,1.632421e+00,1.654586e+00,2.767724e-03
127,1.659162e+00,1.654622e+00,2.746166e-03
128,1.660084e+00,1.654665e+00,2.725043e-03
129,1.704255e+00,1.655049e+00,2.730899e-03
130,1.633167e+00,1.654881e+00,2.715075e-03
131,1.665507e+00,1.654962e+00,2.695561e-03
132,1.616549e+00,1.654671e+00,2.690802e-03
133,1.601781e+00,1.654273e+00,2.699796e-03
134,1.701460e+00,1.654625e+00,2.702516e-03
135,1.662931e+00,1.654687e+00,2.683197e-03
136,1.649970e+00,1.654652e+00,2.663692e-03
137,1.716533e+00,1.655104e+00,2.682272e-03
138,1.653852e+00,1.655095e+00,2.662850e-03
139,1.623532e+00,1.654868e+00,2.653357e-03
140,1.618767e+00,1.654610e+00,2.646905e-03
141,1.601622e+00,1.654234e+00,2.654676e-03
142,1.594294e+00,1.653812e+00,2.669331e-03
143,1.656899e+00,1.653834e+00,2.650751e-03
144,1.664783e+00,1.653910e+00,2.633433e-03
145,1.654776e+00,1.653916e+00,2.615279e-03
146,1.680607e+00,1.654098e+00,2.603748e-03
147,1.657200e+00,1.654120e+00,2.586120e-03
148,1.721390e+00,1.654574e+00,2.608285e-03
149,1.675198e+00,1.654713e+00,2.594449e-03
150,1.631898e+00,1.654560e+00,2.581607e-03
151,1.642415e+00,1.654480e+00,2.565763e-03
152,1.623087e+00,1.654273e+00,2.557182e-03
153,1.636248e+00,1.654156e+00,2.543181e-03
154,1.638599e+00,1.654055e+00,2.528672e-03
155,1.644512e+00,1.653993e+00,2.513108e-03
156,1.685003e+00,1.654192e+00,2.504848e-03
157,1.648774e+00,1.654157e+00,2.489131e-03
158,1.649478e+00,1.654128e+00,2.473553e-03
159,1.642596e+00,1.654055e+00,2.459059e-03
160,1.650916e+00,1.654036e+00,2.443768e-03
161,1.650790e+00,1.654015e+00,2.428673e-03
162,1.683108e+00,1.654195e+00,2.420311e-03
163,1.654715e+00,1.654198e+00,2.405465e-03
164,1.680763e+00,1.654360e+00,2.396245e-03
165,1.614651e+00,1.654120e+00,2.393777e-03
166,1.630685e+00,1.653978e+00,2.383515e-03
167,1.652654e+00,1.653970e+00,2.369256e-03
168,1.680111e+00,1.654126e+00,2.360257e-03
169,1.632006e+00,1.653995e+00,2.349918e-03
170,1.643596e+00,1.653934e+00,2.336890e-03
171,1.660920e+00,1.653975e+00,2.323582e-03
172,1.625817e+00,1.653811e+00,2.315832e-03
173,1.616412e+00,1.653595e+00,2.312514e-03
174,1.673830e+00,1.653711e+00,2.302146e-03
175,1.618868e+00,1.653512e+00,2.297585e-03
176,1.686838e+00,1.653701e+00,2.292320e-03
177,1.624675e+00,1.653537e+00,2.285227e-03
178,1.682927e+00,1.653703e+00,2.278346e-03
179,1.631615e+00,1.653579e+00,2.268956e-03
180,1.625391e+00,1.653423e+00,2.261749e-03
181,1.653949e+00,1.653426e+00,2.249255e-03
182,1.642318e+00,1.653364e+00,2.237724e-03
183,1.634744e+00,1.653263e+00,2.227808e-03
184,1.664758e+00,1.653325e+00,2.216576e-03
185,1.661511e+00,1.653369e+00,2.205036e-03
186,1.589439e+00,1.653026e+00,2.219808e-03
187,1.673565e+00,1.653136e+00,2.210653e-03
188,1.684428e+00,1.653302e+00,2.205151e-03
189,1.675361e+00,1.653419e+00,2.196570e-03
190,1.678542e+00,1.653551e+00,2.188986e-03
191,1.669275e+00,1.653633e+00,2.179073e-03
192,1.652949e+00,1.653630e+00,2.167726e-03
193,1.644266e+00,1.653581e+00,2.157037e-03
194,1.677478e+00,1.653704e+00,2.149433e-03
195,1.672026e+00,1.653798e+00,2.140462e-03
196,1.652387e+00,1.653791e+00,2.129554e-03
197,1.710123e+00,1.654077e+00,2.137856e-03
198,1.661901e+00,1.654117e+00,2.127424e-03
199,1.671989e+00,1.654206e+00,2.118628e-03
200,1.652871e+00,1.654200e+00,2.108046e-03
201,1.695085e+00,1.654403e+00,2.107348e-03
202,1.655642e+00,1.654409e+00,2.096925e-03
203,1.659268e+00,1.654433e+00,2.086732e-03
204,1.599340e+00,1.654163e+00,2.093906e-03
205,1.680897e+00,1.654294e+00,2.087749e-03
206,1.656564e+00,1.654305e+00,2.077643e-03
207,1.714643e+00,1.654596e+00,2.087954e-03
208,1.612836e+00,1.654395e+00,2.087546e-03
209,1.625885e+00,1.654259e+00,2.082010e-03
210,1.630986e+00,1.654148e+00,2.075043e-03
211,1.665706e+00,1.654203e+00,2.065931e-03
212,1.667445e+00,1.654265e+00,2.057130e-03
213,1.634120e+00,1.654171e+00,2.049646e-03
214,1.650228e+00,1.654152e+00,2.040151e-03
215,1.661836e+00,1.654188e+00,2.030974e-03
216,1.658934e+00,1.654210e+00,2.021691e-03
217,1.624067e+00,1.654071e+00,2.017141e-03
218,1.641570e+00,1.654014e+00,2.008703e-03
219,1.628171e+00,1.653896e+00,2.002994e-03
220,1.656742e+00,1.653909e+00,1.993931e-03
221,1.598952e+00,1.653660e+00,2.000355e-03
222,1.640168e+00,1.653599e+00,1.992267e-03
223,1.656420e+00,1.653612e+00,1.983373e-03
224,1.647012e+00,1.653582e+00,1.974738e-03
225,1.687340e+00,1.653732e+00,1.971653e-03
226,1.670878e+00,1.653808e+00,1.964388e-03
227,1.612738e+00,1.653627e+00,1.964048e-03
228,1.626952e+00,1.653510e+00,1.958916e-03
229,1.542369e+00,1.653025e+00,2.009585e-03
230,1.627822e+00,1.652916e+00,2.003833e-03
231,1.675448e+00,1.653013e+00,1.997531e-03
232,1.699978e+00,1.653215e+00,1.999152e-03
233,1.601496e+00,1.652994e+00,2.002857e-03
234,1.691901e+00,1.653160e+00,2.001187e-03
235,1.678101e+00,1.653266e+00,1.995484e-03
236,1.661635e+00,1.653301e+00,1.987344e-03
237,1.675860e+00,1.653397e+00,1.981237e-03
238,1.640312e+00,1.653342e+00,1.973675e-03
239,1.657075e+00,1.653357e+00,1.965478e-03
240,1.651060e+00,1.653348e+00,1.957312e-03
241,1.655572e+00,1.653357e+00,1.949212e-03
242,1.618743e+00,1.653214e+00,1.946398e-03
243,1.653636e+00,1.653216e+00,1.938389e-03
244,1.683218e+00,1.653339e+00,1.934341e-03
245,1.645634e+00,1.653307e+00,1.926702e-03
246,1.640487e+00,1.653255e+00,1.919574e-03
247,1.614074e+00,1.653096e+00,1.918345e-03
248,1.622155e+00,1.652972e+00,1.914663e-03
249,1.662657e+00,1.653010e+00,1.907369e-03
250,1.658402e+00,1.653032e+00,1.899861e-03
251,1.641669e+00,1.652987e+00,1.892831e-03
252,1.686587e+00,1.653120e+00,1.890011e-03
253,1.645893e+00,1.653092e+00,1.882756e-03
254,1.659046e+00,1.653115e+00,1.875490e-03
255,1.682414e+00,1.653230e+00,1.871651e-03
256,1.649110e+00,1.653214e+00,1.864409e-03
257,1.646917e+00,1.653189e+00,1.857315e-03
258,1.658446e+00,1.653210e+00,1.850228e-03
259,1.634212e+00,1.653136e+00,1.844538e-03
260,1.637570e+00,1.653076e+00,1.838415e-03
261,1.596583e+00,1.652860e+00,1.844069e-03
262,1.630420e+00,1.652774e+00,1.839019e-03
263,1.677609e+00,1.652869e+00,1.834449e-03
264,1.680067e+00,1.652972e+00,1.830391e-03
265,1.638247e+00,1.652916e+00,1.824327e-03
266,1.668192e+00,1.652974e+00,1.818372e-03
267,1.642508e+00,1.652934e+00,1.811985e-03
268,1.694848e+00,1.653091e+00,1.811960e-03
269,1.637180e+00,1.653032e+00,1.806189e-03
270,1.669382e+00,1.653092e+00,1.800515e-03
271,1.692397e+00,1.653237e+00,1.799703e-03
272,1.613096e+00,1.653090e+00,1.799127e-03
273,1.643977e+00,1.653056e+00,1.792846e-03
274,1.652211e+00,1.653053e+00,1.786306e-03
275,1.655053e+00,1.653061e+00,1.779825e-03
276,1.673595e+00,1.653135e+00,1.774930e-03
277,1.658540e+00,1.653154e+00,1.768630e-03
278,1.674646e+00,1.653232e+00,1.763957e-03
279,1.637832e+00,1.653177e+00,1.758498e-03
280,1.615356e+00,1.653041e+00,1.757397e-03
