BLOCK,ACTUAL_X,X_AVE,ERROR
1,34.7981,34.7981,0
2,17.8317,26.3149,5.99854
3,19.6492,24.093,4.39129
4,28.9302,25.3023,3.45597
5,18.4553,23.9329,3.02394
6,12.3676,22.0054,3.07349
7,21.2472,21.897,2.63633
8,19.4842,21.5954,2.32398
9,13.0072,20.6412,2.25317
10,17.1523,20.2923,2.05469
11,36.0189,21.722,2.31241
12,19.131,21.5061,2.12976
13,25.9552,21.8483,1.99324
14,31.1278,22.5111,1.95797
15,16.5524,22.1139,1.86731
16,13.4311,21.5712,1.82775
17,25.0676,21.7769,1.73177
18,18.5933,21.6,1.64457
19,12.5154,21.1219,1.62603
20,17.9054,20.9611,1.55266
21,21.7534,20.9988,1.47919
22,17.3104,20.8311,1.42142
23,8.93089,20.3137,1.45073
24,11.3479,19.9402,1.43758
25,19.5696,19.9253,1.38016
26,25.6576,20.1458,1.34457
27,16.4829,20.0101,1.30159
28,14.0561,19.7975,1.27236
29,32.4682,20.2344,1.30134
30,16.8901,20.1229,1.26273
31,17.6398,20.0428,1.22454
32,12.4592,19.8059,1.20898
33,25.59,19.9811,1.18499
34,11.9238,19.7442,1.17359
35,24.2752,19.8736,1.14718
36,29.7212,20.1472,1.14746
37,16.536,20.0496,1.12059
38,21.0431,20.0757,1.09141
39,17.1887,20.0017,1.06593
40,25.2339,20.1325,1.04728
41,19.924,20.1274,1.02175
42,11.804,19.9292,1.01646
43,14.7521,19.8088,0.999923
44,31.4197,20.0727,1.01142
45,33.0331,20.3607,1.02913
46,19.5374,20.3428,1.00691
47,23.1283,20.4021,0.987234
48,20.5032,20.4042,0.966669
49,17.9324,20.3537,0.948256
50,25.3809,20.4543,0.934606
51,28.2416,20.607,0.928669
52,28.3374,20.7556,0.922633
53,29.0616,20.9124,0.918438
54,30.014,21.0809,0.916765
55,9.33144,20.8673,0.924651
56,14.0826,20.7461,0.916043
57,16.2843,20.6678,0.90331
58,16.5364,20.5966,0.89054
59,19.1166,20.5715,0.875799
60,11.5882,20.4218,0.873907
61,31.5933,20.605,0.878561
62,15.6514,20.5251,0.868016
63,40.4249,20.8409,0.909897
64,23.1252,20.8766,0.896379
65,16.0131,20.8018,0.885706
66,29.2331,20.9295,0.881451
67,21.0701,20.9316,0.868297
68,46.1039,21.3018,0.9311
69,34.2472,21.4894,0.936317
70,16.8573,21.4233,0.925276
71,14.1499,21.3208,0.917898
72,24.3228,21.3625,0.906095
73,19.7392,21.3403,0.893956
74,20.1652,21.3244,0.882017
75,13.5692,21.221,0.876297
76,12.6192,21.1078,0.872045
77,23.5986,21.1402,0.861319
78,14.4523,21.0544,0.854534
79,16.5739,20.9977,0.845597
80,16.919,20.9467,0.836562
81,40.1206,21.1834,0.859072
82,28.251,21.2696,0.852909
83,17.2862,21.2216,0.843982
84,27.0991,21.2916,0.83683
85,29.0671,21.3831,0.831969
86,26.9493,21.4478,0.824809
87,29.5459,21.5409,0.820564
88,23.2028,21.5598,0.811457
89,30.4153,21.6593,0.808417
90,10.928,21.54,0.80818
91,17.1077,21.4913,0.800765
92,15.1658,21.4226,0.795007
93,26.051,21.4723,0.788015
94,18.1378,21.4369,0.78043
95,29.8757,21.5257,0.777254
96,17.0194,21.4788,0.770574
97,20.9374,21.4732,0.76265
98,24.2402,21.5014,0.75539
99,19.2591,21.4788,0.748099
100,16.1331,21.4253,0.742526
