BLOCK,ACTUAL_X,X_AVE,ERROR
1,11.6513,11.6513,0
2,9.32764,10.4895,0.82153
3,9.92245,10.3005,0.569012
4,11.5477,10.6123,0.505021
5,8.33527,10.1569,0.573708
6,12.9439,10.6214,0.639042
7,10.5395,10.6097,0.547857
8,12.6675,10.8669,0.53637
9,11.2204,10.9062,0.478209
10,7.24418,10.54,0.553106
11,11.0701,10.5882,0.504919
12,12.7953,10.7721,0.495209
13,13.0186,10.9449,0.486335
14,16.4492,11.3381,0.58947
15,15.7321,11.631,0.618692
16,10.8116,11.5798,0.582139
17,11.5386,11.5774,0.5479
18,12.4875,11.6279,0.519789
19,9.70718,11.5268,0.502166
20,9.39345,11.4202,0.488256
21,10.6265,11.3824,0.466466
22,12.0487,11.4127,0.446245
23,10.6999,11.3817,0.427918
24,6.83118,11.1921,0.450138
25,12.9147,11.261,0.437374
26,9.38055,11.1887,0.42649
27,13.2391,11.2646,0.417401
28,10.4591,11.2358,0.403484
29,11.0453,11.2293,0.389624
30,9.59573,11.1748,0.380422
31,9.73727,11.1284,0.370966
32,8.16536,11.0358,0.37075
33,10.2588,11.0123,0.360262
34,10.3169,10.9918,0.350246
35,8.30127,10.915,0.348573
36,12.4798,10.9584,0.34159
37,9.27991,10.9131,0.335357
38,9.97618,10.8884,0.327437
39,14.5482,10.9823,0.332216
40,12.0579,11.0091,0.324997
41,11.5968,11.0235,0.317386
42,8.35,10.9598,0.316148
43,9.99473,10.9374,0.309591
44,11.509,10.9504,0.302828
45,12.374,10.982,0.297746
46,13.0585,11.0271,0.294675
47,12.0248,11.0484,0.289169
48,14.194,11.1139,0.290476
49,8.66255,11.0639,0.288824
50,9.91545,11.0409,0.283959
51,12.636,11.0722,0.280108
52,10.5933,11.063,0.274873
53,11.0007,11.0618,0.269689
54,8.47382,11.0139,0.26892
55,8.08391,10.9606,0.269255
56,10.5276,10.9529,0.264558
57,15.6445,11.0352,0.272419
58,9.83564,11.0145,0.268506
59,12.6997,11.0431,0.26547
60,11.7397,11.0547,0.2613
61,16.4335,11.1429,0.271487
62,14.8248,11.2022,0.273526
63,11.0007,11.199,0.269203
64,11.9282,11.2104,0.265238
65,10.7261,11.203,0.261262
66,9.81464,11.1819,0.258149
67,10.4347,11.1708,0.254537
68,13.0553,11.1985,0.252298
69,11.6733,11.2054,0.248735
70,13.1667,11.2334,0.246755
71,9.82218,11.2135,0.244079
72,10.5225,11.2039,0.240877
73,11.2095,11.204,0.237578
74,10.3706,11.1927,0.234634
75,8.39518,11.1554,0.234452
76,14.7635,11.2029,0.236124
77,10.9545,11.1997,0.23308
78,13.0595,11.2235,0.231308
79,11.4814,11.2268,0.228403
80,7.58945,11.1813,0.230029
81,11.9237,11.1905,0.227372
82,11.112,11.1895,0.224601
83,12.0549,11.2,0.222137
84,10.9349,11.1968,0.219515
85,14.6587,11.2375,0.220678
86,14.3536,11.2738,0.221067
87,12.6935,11.2901,0.219127
88,9.74864,11.2726,0.217336
89,10.5093,11.264,0.215063
90,12.0351,11.2726,0.212844
91,9.20936,11.2499,0.211709
92,10.4775,11.2415,0.209575
93,12.5051,11.2551,0.207761
94,12.6385,11.2698,0.206071
95,11.5975,11.2733,0.203931
96,11.9607,11.2804,0.201933
97,10.0685,11.2679,0.200237
98,15.8528,11.3147,0.203586
99,7.94382,11.2807,0.204357
100,12.36,11.2915,0.202598
