BLOCK,ACTUAL_M,M_AVE,ERROR
1,3.413600e-02,3.413600e-02,0.000000e+00
2,9.987520e-01,5.164440e-01,3.410433e-01
3,9.999120e-01,6.776000e-01,2.626932e-01
4,9.990680e-01,7.579670e-01,2.089521e-01
5,9.979200e-01,8.059576e-01,1.725848e-01
6,9.999240e-01,8.382853e-01,1.468172e-01
7,9.986640e-01,8.611966e-01,1.276185e-01
8,9.724040e-01,8.750975e-01,1.124207e-01
9,9.999080e-01,8.889653e-01,1.007812e-01
10,9.717280e-01,8.972416e-01,9.104229e-02
11,9.999280e-01,9.065767e-01,8.324293e-02
12,9.984120e-01,9.142297e-01,7.665700e-02
13,9.993680e-01,9.207788e-01,7.103952e-02
14,9.996800e-01,9.264146e-01,6.618844e-02
15,9.998200e-01,9.313083e-01,6.195652e-02
16,9.962640e-01,9.353680e-01,5.821710e-02
17,9.991520e-01,9.391200e-01,5.491333e-02
18,9.990160e-01,9.424476e-01,5.196331e-02
19,9.965520e-01,9.452952e-01,4.930637e-02
20,9.964320e-01,9.478520e-01,4.690729e-02
21,9.999880e-01,9.503347e-01,4.473927e-02
22,9.998560e-01,9.525856e-01,4.276225e-02
23,9.999440e-01,9.546447e-01,4.095257e-02
24,9.924640e-01,9.562205e-01,3.927652e-02
25,9.975680e-01,9.578744e-01,3.774026e-02
26,9.650080e-01,9.581488e-01,3.628971e-02
27,9.957400e-01,9.595410e-01,3.497234e-02
28,9.988240e-01,9.609440e-01,3.375146e-02
29,9.999120e-01,9.622877e-01,3.261435e-02
30,9.953400e-01,9.633895e-01,3.154581e-02
31,9.998960e-01,9.645671e-01,3.055018e-02
32,9.999200e-01,9.656719e-01,2.961546e-02
33,9.996640e-01,9.667019e-01,2.873593e-02
34,9.985000e-01,9.676372e-01,2.790597e-02
35,9.992440e-01,9.685402e-01,2.712326e-02
36,9.998520e-01,9.694100e-01,2.638378e-02
37,9.998640e-01,9.702331e-01,2.568354e-02
38,9.998480e-01,9.710124e-01,2.501948e-02
39,9.833320e-01,9.713283e-01,2.437995e-02
40,9.989960e-01,9.720200e-01,2.378026e-02
41,9.999080e-01,9.727002e-01,2.320998e-02
42,9.978080e-01,9.732980e-01,2.266506e-02
43,9.991960e-01,9.739003e-01,2.214596e-02
44,9.987240e-01,9.744645e-01,2.164983e-02
45,9.988400e-01,9.750061e-01,2.117550e-02
46,9.999600e-01,9.755486e-01,2.072211e-02
47,9.955880e-01,9.759750e-01,2.028560e-02
48,9.999320e-01,9.764741e-01,1.986912e-02
49,9.998240e-01,9.769506e-01,1.946934e-02
50,9.997080e-01,9.774058e-01,1.908527e-02
51,9.999800e-01,9.778484e-01,1.871619e-02
52,9.999320e-01,9.782731e-01,1.836108e-02
53,9.989440e-01,9.786631e-01,1.801878e-02
54,9.993080e-01,9.790454e-01,1.768916e-02
55,9.999840e-01,9.794261e-01,1.737163e-02
56,9.988240e-01,9.797725e-01,1.706488e-02
57,9.996320e-01,9.801209e-01,1.676905e-02
58,9.993920e-01,9.804532e-01,1.648322e-02
59,9.999400e-01,9.807835e-01,1.620715e-02
60,9.998520e-01,9.811013e-01,1.594015e-02
61,9.950200e-01,9.813294e-01,1.568047e-02
62,9.996400e-01,9.816248e-01,1.543034e-02
63,9.963680e-01,9.818588e-01,1.518719e-02
64,9.966880e-01,9.820905e-01,1.495165e-02
65,9.999080e-01,9.823646e-01,1.472414e-02
66,9.999240e-01,9.826307e-01,1.450345e-02
67,9.994960e-01,9.828824e-01,1.428917e-02
68,9.971800e-01,9.830926e-01,1.408058e-02
69,9.981360e-01,9.833107e-01,1.387820e-02
70,9.998280e-01,9.835466e-01,1.368195e-02
71,9.997080e-01,9.837743e-01,1.349114e-02
72,9.999400e-01,9.839988e-01,1.330563e-02
73,9.999440e-01,9.842172e-01,1.312515e-02
74,9.999720e-01,9.844301e-01,1.294951e-02
75,9.998520e-01,9.846357e-01,1.277848e-02
76,9.999800e-01,9.848376e-01,1.261194e-02
77,9.879120e-01,9.848776e-01,1.244821e-02
78,9.970480e-01,9.850336e-01,1.228960e-02
79,9.827800e-01,9.850051e-01,1.213407e-02
80,9.998040e-01,9.851900e-01,1.198380e-02
81,9.998760e-01,9.853714e-01,1.183722e-02
82,9.999440e-01,9.855491e-01,1.169420e-02
83,9.999800e-01,9.857229e-01,1.155460e-02
84,9.999040e-01,9.858918e-01,1.141828e-02
85,9.994600e-01,9.860514e-01,1.128506e-02
86,9.990240e-01,9.862022e-01,1.115485e-02
87,9.975200e-01,9.863323e-01,1.102739e-02
88,9.955680e-01,9.864373e-01,1.090258e-02
89,9.999160e-01,9.865887e-01,1.078113e-02
90,9.998800e-01,9.867364e-01,1.066235e-02
91,9.988080e-01,9.868691e-01,1.054601e-02
92,9.974240e-01,9.869838e-01,1.043200e-02
93,9.995400e-01,9.871188e-01,1.032070e-02
94,9.986960e-01,9.872420e-01,1.021164e-02
95,9.999600e-01,9.873758e-01,1.010503e-02
96,9.999040e-01,9.875063e-01,1.000061e-02
97,9.999840e-01,9.876350e-01,9.898338e-03
98,9.996800e-01,9.877579e-01,9.798098e-03
99,9.999120e-01,9.878806e-01,9.699896e-03
100,9.990520e-01,9.879924e-01,9.603540e-03
