BLOCK,ACTUAL_M,M_AVE,ERROR
1,1.328400e-02,1.328400e-02,0.000000e+00
2,4.588000e-03,8.936000e-03,3.074500e-03
3,2.206400e-02,1.331200e-02,4.119149e-03
4,5.496000e-03,1.135800e-02,3.522462e-03
5,1.646400e-02,1.237920e-02,2.962302e-03
6,1.628000e-02,1.302933e-02,2.538925e-03
7,1.862400e-02,1.382857e-02,2.298579e-03
8,1.374400e-02,1.381800e-02,2.011281e-03
9,1.379200e-02,1.381511e-02,1.787808e-03
10,2.152000e-02,1.458560e-02,1.767273e-03
11,4.956000e-03,1.371018e-02,1.810495e-03
12,1.401200e-02,1.373533e-02,1.659795e-03
13,1.972000e-02,1.419569e-02,1.594683e-03
14,1.120800e-02,1.398229e-02,1.494988e-03
15,8.712000e-03,1.363093e-02,1.436017e-03
16,2.208000e-02,1.415900e-02,1.440089e-03
17,1.001600e-02,1.391529e-02,1.375845e-03
18,1.593600e-02,1.402756e-02,1.303981e-03
19,1.909200e-02,1.429411e-02,1.262299e-03
20,1.835600e-02,1.449720e-02,1.215413e-03
21,1.219600e-02,1.438762e-02,1.162465e-03
22,1.243200e-02,1.429873e-02,1.113020e-03
23,1.390800e-02,1.428174e-02,1.064757e-03
24,1.550000e-02,1.433250e-02,1.021601e-03
25,1.134400e-02,1.421296e-02,9.877064e-04
26,1.268800e-02,1.415431e-02,9.514576e-04
27,8.536000e-03,1.394622e-02,9.386970e-04
28,2.082400e-02,1.419186e-02,9.367594e-04
29,1.390400e-02,1.418193e-02,9.045099e-04
30,1.978800e-02,1.436880e-02,8.934544e-04
31,1.349600e-02,1.434065e-02,8.650768e-04
32,1.368800e-02,1.432025e-02,8.382835e-04
33,2.120400e-02,1.452885e-02,8.384332e-04
34,1.890800e-02,1.465765e-02,8.236069e-04
35,1.129600e-02,1.456160e-02,8.056562e-04
36,1.180400e-02,1.448500e-02,7.869099e-04
37,1.582000e-02,1.452108e-02,7.664688e-04
38,2.300000e-02,1.474421e-02,7.780990e-04
39,1.032400e-02,1.463087e-02,7.663578e-04
40,2.009200e-02,1.476740e-02,7.592629e-04
41,1.038800e-02,1.466059e-02,7.482200e-04
42,1.350400e-02,1.463305e-02,7.309118e-04
43,1.732800e-02,1.469572e-02,7.165959e-04
44,1.158400e-02,1.462500e-02,7.037907e-04
45,1.832400e-02,1.470720e-02,6.929346e-04
46,1.601600e-02,1.473565e-02,6.784547e-04
47,1.172000e-02,1.467149e-02,6.670466e-04
48,1.370000e-02,1.465125e-02,6.534567e-04
49,1.641600e-02,1.468727e-02,6.411126e-04
50,1.798800e-02,1.475328e-02,6.316799e-04
51,1.868000e-02,1.483027e-02,6.239688e-04
52,1.833600e-02,1.489769e-02,6.156007e-04
53,1.677600e-02,1.493313e-02,6.050049e-04
54,1.591600e-02,1.495133e-02,5.940748e-04
55,7.768000e-03,1.482073e-02,5.974577e-04
56,1.626800e-02,1.484657e-02,5.873475e-04
57,1.518400e-02,1.485249e-02,5.770730e-04
58,1.708400e-02,1.489097e-02,5.684046e-04
59,1.019600e-02,1.481139e-02,5.643134e-04
60,2.848800e-02,1.503933e-02,5.991789e-04
61,1.358800e-02,1.501554e-02,5.898285e-04
62,1.010800e-02,1.493639e-02,5.856022e-04
63,1.372400e-02,1.491714e-02,5.766230e-04
64,1.773200e-02,1.496112e-02,5.692882e-04
65,1.178800e-02,1.491231e-02,5.626191e-04
66,1.568400e-02,1.492400e-02,5.542160e-04
67,1.887600e-02,1.498299e-02,5.490741e-04
68,1.903600e-02,1.504259e-02,5.442249e-04
69,1.389200e-02,1.502591e-02,5.365930e-04
70,1.135600e-02,1.497349e-02,5.314824e-04
71,1.468000e-02,1.496935e-02,5.240128e-04
72,1.921200e-02,1.502828e-02,5.200374e-04
73,1.192000e-02,1.498570e-02,5.146537e-04
74,1.358800e-02,1.496681e-02,5.080454e-04
75,1.491600e-02,1.496613e-02,5.012720e-04
76,2.283200e-02,1.506963e-02,5.052480e-04
77,1.925600e-02,1.512400e-02,5.016030e-04
78,1.380000e-02,1.510703e-02,4.954594e-04
79,2.158000e-02,1.518896e-02,4.959165e-04
80,1.192400e-02,1.514815e-02,4.913940e-04
81,1.815600e-02,1.518528e-02,4.867285e-04
82,1.692800e-02,1.520654e-02,4.812566e-04
83,2.135600e-02,1.528063e-02,4.811276e-04
84,1.180000e-02,1.523919e-02,4.771809e-04
85,1.529600e-02,1.523986e-02,4.715674e-04
86,1.367600e-02,1.522167e-02,4.664346e-04
87,1.812000e-02,1.525499e-02,4.622614e-04
88,1.592800e-02,1.526264e-02,4.570717e-04
89,2.336000e-03,1.511739e-02,4.744520e-04
90,1.766800e-02,1.514573e-02,4.700260e-04
91,1.430800e-02,1.513653e-02,4.649510e-04
92,1.954000e-02,1.518439e-02,4.623543e-04
93,1.938400e-02,1.522955e-02,4.595826e-04
94,2.179200e-02,1.529936e-02,4.599654e-04
95,1.984400e-02,1.534720e-02,4.576046e-04
96,1.273200e-02,1.531996e-02,4.536480e-04
97,1.840800e-02,1.535179e-02,4.500869e-04
98,9.536000e-03,1.529245e-02,4.493895e-04
99,1.334400e-02,1.527277e-02,4.452810e-04
100,1.264800e-02,1.524652e-02,4.416011e-04
