BLOCK,ACTUAL_X,X_AVE,ERROR
1,9.90626,9.90626,0
2,10.1876,10.0469,0.0994561
3,11.0611,10.385,0.283887
4,13.1491,11.076,0.635202
5,9.57574,10.776,0.574678
6,8.99565,10.4792,0.550193
7,8.364,10.1771,0.548332
8,8.45774,9.96215,0.520206
9,10.757,10.0505,0.469843
10,8.21243,9.86667,0.4574
11,10.9936,9.96911,0.427137
12,10.1449,9.98376,0.391793
13,8.53748,9.87251,0.37712
14,8.43278,9.76967,0.363934
15,9.20365,9.73194,0.341623
16,7.91609,9.61845,0.338598
17,15.2651,9.9506,0.453207
18,9.56557,9.92921,0.428533
19,11.0211,9.98668,0.409814
20,11.9799,10.0863,0.401259
21,7.51374,9.96384,0.400415
22,8.72722,9.90763,0.38614
23,7.36817,9.79722,0.384813
24,9.56157,9.7874,0.368904
25,7.87896,9.71106,0.36196
26,11.8983,9.79519,0.357681
27,7.57878,9.7131,0.353728
28,11.1117,9.76305,0.344604
29,9.29565,9.74693,0.333098
30,9.44496,9.73687,0.322147
31,10.9763,9.77685,0.314226
32,12.5219,9.86263,0.315899
33,9.77652,9.86002,0.306337
34,9.17496,9.83987,0.297989
35,8.40913,9.799,0.292266
36,11.4436,9.84468,0.287695
37,11.6477,9.89341,0.284016
38,8.97165,9.86915,0.277576
39,11.2553,9.90469,0.272725
40,7.29791,9.83952,0.273582
41,9.47339,9.83059,0.267055
42,7.09191,9.76539,0.26854
43,9.90522,9.76864,0.262314
44,9.60226,9.76486,0.25638
45,8.35626,9.73356,0.252586
46,9.628,9.73126,0.247105
47,9.89791,9.73481,0.241873
48,11.3873,9.76923,0.239272
49,8.09452,9.73506,0.236817
50,6.69522,9.67426,0.239758
51,10.805,9.69643,0.23608
52,11.4849,9.73082,0.234032
53,9.39722,9.72453,0.229701
54,9.32948,9.71721,0.225563
55,9.68626,9.71665,0.221463
56,9.97852,9.72133,0.217557
57,10.8863,9.74177,0.214698
58,8.81157,9.72573,0.211595
59,10.1468,9.73286,0.208129
60,8.90409,9.71905,0.205118
61,10.2673,9.72804,0.201952
62,10.3955,9.7388,0.198982
63,9.76452,9.73921,0.195824
64,10.7888,9.75561,0.193449
65,9.58504,9.75299,0.190491
66,12.8266,9.79956,0.193213
67,11.8385,9.82999,0.192711
68,7.92548,9.80198,0.191902
69,7.18504,9.76406,0.192832
70,8.27652,9.7428,0.191245
71,12.8148,9.78607,0.193384
72,9.4067,9.7808,0.190769
73,7.916,9.75526,0.189859
74,8.53861,9.73882,0.188004
75,10.4563,9.74838,0.18574
76,9.76878,9.74865,0.183296
77,6.06157,9.70077,0.187066
78,11.4954,9.72377,0.186077
79,8.36087,9.70652,0.18452
80,7.14496,9.6745,0.184971
81,12.7261,9.71218,0.186484
82,9.3087,9.70726,0.184275
83,7.39235,9.67937,0.184153
84,9.48409,9.67704,0.181976
85,10.3357,9.68479,0.18
86,11.12,9.70148,0.178679
87,11.1435,9.71805,0.177392
88,9.266,9.71292,0.175451
89,8.30835,9.69714,0.174188
90,11.3479,9.71548,0.173215
91,10.1464,9.72021,0.171376
92,12.4316,9.74968,0.172029
93,10.103,9.75348,0.170221
94,10.3984,9.76034,0.168549
95,9.8033,9.7608,0.166775
96,13.0762,9.79533,0.168575
97,10.8279,9.80598,0.167173
98,12.0108,9.82847,0.166975
99,7.25278,9.80246,0.167303
100,8.5807,9.79024,0.166075
