BLOCK,ACTUAL_X,X_AVE,ERROR
1,106.62,106.62,0
2,136.576,121.598,10.5912
3,138.889,127.361,8.48539
4,138.889,130.243,6.83592
5,138.889,131.972,5.68321
6,138.878,133.123,4.85115
7,138.889,133.947,4.22747
8,138.878,134.563,3.7437
9,138.867,135.042,3.35814
10,138.889,135.426,3.04428
11,138.835,135.736,2.78326
12,138.824,135.994,2.56319
13,136.92,136.065,2.36701
14,138.889,136.267,2.20652
15,138.889,136.441,2.06633
16,138.889,136.594,1.94284
17,138.889,136.729,1.83324
18,138.889,136.849,1.73531
19,138.889,136.957,1.6473
20,138.878,137.053,1.56773
21,138.889,137.14,1.49551
22,138.889,137.22,1.42965
23,138.889,137.292,1.36933
24,138.868,137.358,1.31384
25,138.878,137.419,1.2627
26,131.64,137.196,1.23354
27,138.889,137.259,1.18945
28,138.889,137.317,1.14839
29,138.878,137.371,1.11005
30,138.889,137.422,1.0742
31,138.889,137.469,1.04059
32,138.889,137.513,1.00902
33,138.868,137.554,0.979275
34,138.889,137.594,0.951259
35,138.889,137.631,0.9248
36,138.889,137.666,0.899771
37,138.827,137.697,0.876
38,119.842,137.227,0.970823
39,137.692,137.239,0.946003
40,137.628,137.249,0.922403
41,138.889,137.289,0.900772
42,138.889,137.327,0.880131
43,138.503,137.354,0.860088
44,138.889,137.389,0.841247
45,138.889,137.422,0.823213
46,138.742,137.451,0.805816
47,138.889,137.482,0.789252
48,138.889,137.511,0.773353
49,138.825,137.538,0.758035
50,138.889,137.565,0.743356
51,138.846,137.59,0.729205
52,138.889,137.615,0.715609
53,138.836,137.638,0.702478
54,138.889,137.661,0.689851
55,138.889,137.683,0.677669
56,138.889,137.705,0.66591
57,138.889,137.726,0.654551
58,138.889,137.746,0.643573
59,135.032,137.7,0.634307
60,138.889,137.72,0.624044
61,138.889,137.739,0.614108
62,138.878,137.757,0.604478
63,138.889,137.775,0.59515
64,138.835,137.792,0.586081
65,138.889,137.809,0.577308
66,138.846,137.824,0.568775
67,134.891,137.781,0.561967
68,138.824,137.796,0.553913
69,138.878,137.812,0.546107
70,138.889,137.827,0.538522
71,138.889,137.842,0.531145
72,138.889,137.856,0.523967
73,137.15,137.847,0.516879
74,138.776,137.859,0.510047
75,138.846,137.872,0.503415
76,138.889,137.886,0.496969
77,138.889,137.899,0.490686
78,138.889,137.912,0.484559
79,138.889,137.924,0.478583
80,138.889,137.936,0.472753
81,138.868,137.948,0.467056
82,138.889,137.959,0.461502
83,138.889,137.97,0.456077
84,138.889,137.981,0.450779
85,138.889,137.992,0.445602
86,138.889,138.002,0.440543
87,136.143,137.981,0.435997
88,138.878,137.991,0.431162
89,138.674,137.999,0.426385
90,138.835,138.008,0.421749
91,138.889,138.018,0.417226
92,138.837,138.027,0.412786
93,138.741,138.034,0.408419
94,138.846,138.043,0.404165
95,138.889,138.052,0.400009
96,137.952,138.051,0.395843
97,138.889,138.059,0.391857
98,138.889,138.068,0.38795
99,138.889,138.076,0.384119
100,138.878,138.084,0.380362
