BLOCK,ACTUAL_X,X_AVE,ERROR
1,2.966531e+00,2.966531e+00,0.000000e+00
2,3.026577e+00,2.996554e+00,2.122937e-02
3,2.974057e+00,2.989055e+00,1.542061e-02
4,3.146183e+00,3.028337e+00,3.593134e-02
5,2.869291e+00,2.996528e+00,4.044424e-02
6,2.852914e+00,2.972592e+00,4.016661e-02
7,3.010600e+00,2.978022e+00,3.479357e-02
8,2.908720e+00,2.969359e+00,3.150433e-02
9,3.043040e+00,2.977546e+00,2.904809e-02
10,3.064646e+00,2.986256e+00,2.741803e-02
11,2.886091e+00,2.977150e+00,2.639429e-02
12,3.092914e+00,2.986797e+00,2.589780e-02
13,2.988011e+00,2.986891e+00,2.390583e-02
14,2.847229e+00,2.976915e+00,2.419034e-02
15,3.055343e+00,2.982143e+00,2.313580e-02
16,2.848314e+00,2.973779e+00,2.315248e-02
17,2.957166e+00,2.972802e+00,2.181118e-02
18,3.003211e+00,2.974491e+00,2.066478e-02
19,2.880234e+00,2.969530e+00,2.016383e-02
20,2.996349e+00,2.970871e+00,1.920018e-02
21,3.061309e+00,2.975178e+00,1.876264e-02
22,3.037080e+00,2.977991e+00,1.811954e-02
23,2.849886e+00,2.972422e+00,1.816764e-02
24,2.904823e+00,2.969605e+00,1.762764e-02
25,3.130726e+00,2.976050e+00,1.806230e-02
26,3.076411e+00,2.979910e+00,1.777527e-02
27,3.024549e+00,2.981563e+00,1.719364e-02
28,3.002314e+00,2.982304e+00,1.659555e-02
29,2.893166e+00,2.979231e+00,1.630546e-02
30,3.076680e+00,2.982479e+00,1.608224e-02
31,2.978377e+00,2.982347e+00,1.556401e-02
32,2.909446e+00,2.980068e+00,1.524345e-02
33,2.950183e+00,2.979163e+00,1.480840e-02
34,3.277286e+00,2.987931e+00,1.676906e-02
35,3.032017e+00,2.989191e+00,1.633718e-02
36,3.035269e+00,2.990471e+00,1.593343e-02
37,2.827937e+00,2.986078e+00,1.609695e-02
38,2.792657e+00,2.980988e+00,1.645844e-02
39,2.879063e+00,2.978374e+00,1.624260e-02
40,2.737994e+00,2.972365e+00,1.691175e-02
41,3.097223e+00,2.975410e+00,1.677121e-02
42,3.042783e+00,2.977014e+00,1.644843e-02
43,2.964177e+00,2.976716e+00,1.606862e-02
44,2.929331e+00,2.975639e+00,1.573947e-02
45,2.855417e+00,2.972967e+00,1.561479e-02
46,2.932737e+00,2.972093e+00,1.529981e-02
47,3.001829e+00,2.972725e+00,1.498736e-02
48,2.771240e+00,2.968528e+00,1.525163e-02
49,3.001703e+00,2.969205e+00,1.495539e-02
50,3.025914e+00,2.970339e+00,1.469923e-02
51,3.057429e+00,2.972047e+00,1.450986e-02
52,2.949411e+00,2.971611e+00,1.423735e-02
53,3.036303e+00,2.972832e+00,1.402095e-02
54,2.951600e+00,2.972439e+00,1.376681e-02
55,2.986429e+00,2.972693e+00,1.351885e-02
56,2.899600e+00,2.971388e+00,1.334031e-02
57,2.933983e+00,2.970732e+00,1.312240e-02
58,2.964463e+00,2.970624e+00,1.289659e-02
59,3.124651e+00,2.973234e+00,1.293954e-02
60,2.940789e+00,2.972693e+00,1.273518e-02
61,2.988634e+00,2.972955e+00,1.252909e-02
62,3.030063e+00,2.973876e+00,1.236082e-02
63,3.162731e+00,2.976874e+00,1.252284e-02
64,2.961863e+00,2.976639e+00,1.232936e-02
65,2.817497e+00,2.974191e+00,1.238039e-02
66,2.983280e+00,2.974328e+00,1.219357e-02
67,2.990291e+00,2.974567e+00,1.201390e-02
68,3.153343e+00,2.977196e+00,1.212148e-02
69,3.075137e+00,2.978615e+00,1.202863e-02
70,2.903354e+00,2.977540e+00,1.190475e-02
71,2.883000e+00,2.976208e+00,1.181131e-02
72,3.026600e+00,2.976908e+00,1.166798e-02
73,3.091674e+00,2.978480e+00,1.161357e-02
74,2.907103e+00,2.977516e+00,1.149662e-02
75,3.161486e+00,2.979969e+00,1.160206e-02
76,2.895057e+00,2.978852e+00,1.150307e-02
77,2.965360e+00,2.978676e+00,1.135502e-02
78,3.051737e+00,2.979613e+00,1.124800e-02
79,2.915063e+00,2.978796e+00,1.113526e-02
80,2.924560e+00,2.978118e+00,1.101669e-02
81,3.077280e+00,2.979342e+00,1.094849e-02
82,2.948823e+00,2.978970e+00,1.082130e-02
83,3.118114e+00,2.980646e+00,1.082000e-02
84,2.867697e+00,2.979302e+00,1.077442e-02
85,2.896400e+00,2.978327e+00,1.069171e-02
86,2.737777e+00,2.975529e+00,1.092714e-02
87,3.102206e+00,2.976985e+00,1.089812e-02
88,2.833897e+00,2.975359e+00,1.089490e-02
89,2.998634e+00,2.975621e+00,1.077563e-02
90,3.020480e+00,2.976119e+00,1.066742e-02
91,2.964674e+00,2.975994e+00,1.055094e-02
92,3.021337e+00,2.976487e+00,1.044776e-02
93,2.810549e+00,2.974702e+00,1.048667e-02
94,3.032794e+00,2.975320e+00,1.039330e-02
95,2.994474e+00,2.975522e+00,1.028585e-02
96,3.118857e+00,2.977015e+00,1.028651e-02
97,3.089057e+00,2.978170e+00,1.024511e-02
98,3.112531e+00,2.979541e+00,1.023189e-02
99,2.984463e+00,2.979591e+00,1.012866e-02
100,3.102154e+00,2.980816e+00,1.010126e-02
