BLOCK,ACTUAL_X,X_AVE,ERROR
1,2.21024,2.21024,0
2,2.0799,2.14507,0.0460827
3,2.05859,2.11624,0.0387029
4,1.99429,2.08576,0.0392391
5,1.87629,2.04386,0.0488816
6,1.95654,2.02931,0.0428467
7,2.14839,2.04632,0.0399604
8,1.866,2.02378,0.0408304
9,2.02044,2.02341,0.0362954
10,2.16824,2.03789,0.035438
11,2.85761,2.11241,0.0780144
12,2.29039,2.12724,0.0729094
13,2.09015,2.12439,0.0673568
14,2.22576,2.13163,0.0629336
15,2.20434,2.13648,0.0589244
16,2.43541,2.15516,0.0581282
17,1.84663,2.13701,0.0574723
18,2.08259,2.13399,0.0543589
19,2.26634,2.14096,0.0519423
20,1.8801,2.12791,0.0509564
21,2.07229,2.12526,0.0485987
22,2.06805,2.12266,0.0464592
23,2.03366,2.11879,0.0446001
24,1.96815,2.11252,0.0431812
25,2.11151,2.11248,0.041454
26,2.00249,2.10825,0.0400749
27,2.16634,2.1104,0.0386484
28,2.12141,2.11079,0.0372701
29,2.34376,2.11882,0.0368405
30,2.00488,2.11503,0.0358077
31,2.26849,2.11998,0.0349931
32,2.14195,2.12066,0.0339063
33,1.93678,2.11509,0.0333336
34,1.75254,2.10443,0.0340161
35,1.99541,2.10131,0.0331865
36,2.14005,2.10239,0.0322821
37,2.13746,2.10334,0.0314235
38,1.99629,2.10052,0.0307226
39,2.09649,2.10042,0.029935
40,1.85815,2.09436,0.029793
41,1.82922,2.08789,0.0297599
42,1.93102,2.08416,0.0292848
43,1.95029,2.08104,0.0287688
44,1.88317,2.07655,0.0284643
45,2.64478,2.08918,0.0305043
46,2.06112,2.08857,0.0298473
47,2.26312,2.09228,0.0294424
48,1.958,2.08948,0.0289616
49,2.00176,2.08769,0.0284258
50,2.49107,2.09576,0.0289795
51,2.33112,2.10037,0.0287764
52,2.05376,2.09948,0.028237
53,1.81751,2.09416,0.028201
54,2.23712,2.0968,0.0278027
55,2.064,2.09621,0.0273036
56,1.99537,2.09441,0.0268754
57,2.04839,2.0936,0.026416
58,2.05507,2.09294,0.0259689
59,1.81702,2.08826,0.0259464
60,2.07132,2.08798,0.0255155
61,2.04776,2.08732,0.0251057
62,2.06459,2.08695,0.0247035
63,2.05049,2.08637,0.0243181
64,2.12927,2.08704,0.0239474
65,2.088,2.08706,0.023579
66,2.08424,2.08701,0.0232218
67,2.012,2.0859,0.0229021
68,2.05468,2.08544,0.0225699
69,2.29541,2.08848,0.0224471
70,2.00098,2.08723,0.0221612
71,1.94541,2.08523,0.0219389
72,1.96741,2.0836,0.0216951
73,2.20756,2.08529,0.0214643
74,2.43498,2.09002,0.0216881
75,2.03161,2.08924,0.0214129
76,1.80937,2.08556,0.0214455
77,1.98971,2.08431,0.0212031
78,2.268,2.08667,0.0210616
79,2.39907,2.09062,0.021163
80,2.02883,2.08985,0.0209126
81,2.02429,2.08904,0.02067
82,2.07337,2.08885,0.0204189
83,2.12107,2.08924,0.0201765
84,2.36737,2.09255,0.0202062
85,1.93839,2.09074,0.0200497
86,2.24683,2.09255,0.0198985
87,1.80459,2.08924,0.0199432
88,1.96449,2.08782,0.0197669
89,1.83634,2.085,0.0197457
90,2.54941,2.09016,0.0201893
91,1.77605,2.08671,0.0202604
92,2.00688,2.08584,0.0200588
93,2.00059,2.08492,0.019864
94,1.9318,2.08329,0.0197194
95,2.23971,2.08494,0.0195804
96,1.85541,2.08255,0.0195219
97,2.0318,2.08202,0.0193276
98,1.89712,2.08014,0.0192223
99,1.97059,2.07903,0.0190599
100,1.82937,2.07653,0.0190321
