BLOCK,ACTUAL_CV,CV_AVE,ERROR
1,4.120881e-01,4.120881e-01,0.000000e+00
2,4.273208e-01,4.197045e-01,5.385560e-03
3,4.455627e-01,4.283239e-01,7.900639e-03
4,3.636190e-01,4.121476e-01,1.521065e-02
5,4.556138e-01,4.208409e-01,1.444059e-02
6,4.558434e-01,4.266746e-01,1.315954e-02
7,4.598709e-01,4.314170e-01,1.210398e-02
8,4.078325e-01,4.284689e-01,1.094411e-02
9,4.346624e-01,4.291571e-01,9.749713e-03
10,4.264869e-01,4.288901e-01,8.778397e-03
11,4.339984e-01,4.293545e-01,7.992636e-03
12,4.061652e-01,4.274220e-01,7.556582e-03
13,4.333190e-01,4.278756e-01,6.988908e-03
14,4.754800e-01,4.312759e-01,7.269971e-03
15,4.566084e-01,4.329648e-01,6.978709e-03
16,4.332398e-01,4.329820e-01,6.542561e-03
17,4.640547e-01,4.348098e-01,6.407939e-03
18,4.518577e-01,4.357569e-01,6.121534e-03
19,4.282350e-01,4.353610e-01,5.812135e-03
20,4.643599e-01,4.368109e-01,5.699517e-03
21,4.708635e-01,4.384325e-01,5.654079e-03
22,4.173846e-01,4.374758e-01,5.477421e-03
23,3.850795e-01,4.351977e-01,5.693335e-03
24,4.412443e-01,4.354496e-01,5.461685e-03
25,3.977092e-01,4.339400e-01,5.447854e-03
26,3.915922e-01,4.323112e-01,5.476389e-03
27,4.680957e-01,4.336366e-01,5.431568e-03
28,3.845841e-01,4.318847e-01,5.512870e-03
29,4.290576e-01,4.317872e-01,5.323633e-03
30,4.049683e-01,4.308933e-01,5.220698e-03
31,3.999580e-01,4.298953e-01,5.146777e-03
32,4.570353e-01,4.307435e-01,5.055337e-03
33,4.032660e-01,4.299108e-01,4.970244e-03
34,4.305396e-01,4.299293e-01,4.824095e-03
35,4.264896e-01,4.298310e-01,4.687265e-03
36,3.943992e-01,4.288468e-01,4.659249e-03
37,4.605320e-01,4.297032e-01,4.611349e-03
38,3.933388e-01,4.287462e-01,4.588219e-03
39,3.830123e-01,4.275735e-01,4.617997e-03
40,4.047879e-01,4.270039e-01,4.537544e-03
41,4.513484e-01,4.275977e-01,4.465553e-03
42,3.769161e-01,4.263910e-01,4.519331e-03
43,4.602507e-01,4.271784e-01,4.482306e-03
44,4.214101e-01,4.270473e-01,4.382352e-03
45,4.243701e-01,4.269878e-01,4.285370e-03
46,4.657439e-01,4.278303e-01,4.274230e-03
47,3.879601e-01,4.269820e-01,4.266640e-03
48,4.799147e-01,4.280848e-01,4.317911e-03
49,4.536052e-01,4.286056e-01,4.261086e-03
50,4.628395e-01,4.292903e-01,4.230514e-03
51,3.928720e-01,4.285762e-01,4.207398e-03
52,4.254662e-01,4.285164e-01,4.126911e-03
53,4.003044e-01,4.279841e-01,4.083230e-03
54,4.291542e-01,4.280058e-01,4.007672e-03
55,4.447654e-01,4.283105e-01,3.946373e-03
56,4.615260e-01,4.289036e-01,3.920222e-03
57,4.395294e-01,4.290900e-01,3.855876e-03
58,4.522541e-01,4.294894e-01,3.810022e-03
59,4.440162e-01,4.297356e-01,3.753393e-03
60,4.731958e-01,4.304600e-01,3.760079e-03
61,4.213789e-01,4.303111e-01,3.701384e-03
62,4.273282e-01,4.302630e-01,3.641997e-03
63,4.401991e-01,4.304207e-01,3.587601e-03
64,4.188450e-01,4.302398e-01,3.536101e-03
65,4.197081e-01,4.300778e-01,3.485409e-03
66,4.279039e-01,4.300449e-01,3.432756e-03
67,4.338725e-01,4.301020e-01,3.381996e-03
68,4.318738e-01,4.301281e-01,3.332361e-03
69,4.183543e-01,4.299574e-01,3.288432e-03
70,4.236555e-01,4.298674e-01,3.242686e-03
71,4.439239e-01,4.300654e-01,3.203053e-03
72,4.008607e-01,4.296598e-01,3.184145e-03
73,4.823528e-01,4.303816e-01,3.221304e-03
74,3.812270e-01,4.297173e-01,3.245536e-03
75,4.159170e-01,4.295333e-01,3.207474e-03
76,4.715200e-01,4.300858e-01,3.212496e-03
77,4.021632e-01,4.297232e-01,3.191177e-03
78,4.287721e-01,4.297110e-01,3.150288e-03
79,4.038581e-01,4.293837e-01,3.127362e-03
80,4.732255e-01,4.299317e-01,3.135918e-03
81,4.590152e-01,4.302908e-01,3.117691e-03
82,4.592489e-01,4.306439e-01,3.099607e-03
83,4.168520e-01,4.304778e-01,3.066713e-03
84,4.129566e-01,4.302692e-01,3.037290e-03
85,3.942056e-01,4.298449e-01,3.031046e-03
86,4.477661e-01,4.300533e-01,3.002956e-03
87,4.329505e-01,4.300866e-01,2.968624e-03
88,4.277507e-01,4.300600e-01,2.935008e-03
89,4.574331e-01,4.303676e-01,2.918101e-03
90,4.198774e-01,4.302510e-01,2.888004e-03
91,4.020006e-01,4.299406e-01,2.872905e-03
92,4.174351e-01,4.298047e-01,2.844892e-03
93,3.946466e-01,4.294266e-01,2.839309e-03
94,4.106173e-01,4.292265e-01,2.816145e-03
95,4.516592e-01,4.294627e-01,2.796384e-03
96,4.311356e-01,4.294801e-01,2.767309e-03
97,4.395795e-01,4.295842e-01,2.740738e-03
98,4.082464e-01,4.293665e-01,2.721407e-03
99,4.346109e-01,4.294194e-01,2.694433e-03
100,4.070078e-01,4.291953e-01,2.676793e-03
