#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -5.16805    -5.16805           0
           2    -5.01946    -5.09375   0.0525361
           3    -5.05522    -5.08091   0.0365606
           4    -5.04886     -5.0729   0.0282845
           5    -5.04819    -5.06796   0.0230552
           6    -5.02151    -5.06021    0.020471
           7    -5.04382    -5.05787     0.01768
           8    -5.02585    -5.05387   0.0159167
           9    -5.02914    -5.05112   0.0143835
          10    -5.02457    -5.04847   0.0131878
          11    -5.04174    -5.04786   0.0120031
          12      -5.066    -5.04937   0.0110977
          13    -5.01806    -5.04696   0.0105021
          14    -5.06032    -5.04791  0.00979521
          15    -5.05265    -5.04823  0.00914728
          16    -4.99527    -5.04492  0.00915495
          17    -4.99201    -5.04181  0.00913017
          18    -5.07772     -5.0438  0.00883824
          19    -5.01193    -5.04212  0.00853074
          20    -5.01911    -5.04097  0.00818143
          21    -5.00437    -5.03923  0.00797533
          22    -5.03442    -5.03901  0.00761581
          23    -5.01418    -5.03793   0.0073608
          24    -4.99502    -5.03614  0.00726802
          25    -4.99003     -5.0343  0.00720758
          26    -5.03965    -5.03451   0.0069333
          27    -5.05167    -5.03514  0.00670561
          28    -5.05052    -5.03569  0.00648858
          29    -4.97647    -5.03365  0.00657829
          30    -5.07233    -5.03494  0.00648414
          31    -5.00297    -5.03391  0.00635645
          32    -4.97595     -5.0321  0.00641066
          33    -5.01749    -5.03165  0.00623165
          34    -5.01824    -5.03126  0.00606084
          35     -5.0522    -5.03186  0.00591715
          36     -5.0282    -5.03176  0.00575365
          37    -4.96815    -5.03004   0.0058493
          38    -5.04067    -5.03032  0.00570206
          39    -5.00635     -5.0297  0.00558886
          40    -4.99667    -5.02888   0.0055098
          41    -5.02571     -5.0288  0.00537596
          42     -4.9831    -5.02771  0.00535691
          43    -5.02168    -5.02757  0.00523417
          44    -5.00497    -5.02706  0.00514036
          45    -5.01358    -5.02676  0.00503484
          46     -5.0378      -5.027  0.00493111
          47    -5.01152    -5.02667  0.00483718
          48     -5.0248    -5.02663  0.00473656
          49    -5.02147    -5.02652  0.00464106
          50    -5.02685    -5.02653  0.00454825
          51    -5.08841    -5.02774  0.00461808
          52    -5.01933    -5.02758  0.00453211
          53    -5.01563    -5.02736   0.0044522
          54     -4.9959    -5.02677  0.00440769
          55    -5.02336    -5.02671  0.00432799
          56    -5.01446    -5.02649  0.00425622
          57    -5.04244    -5.02677  0.00419074
          58    -5.02769    -5.02679  0.00411852
          59    -5.01476    -5.02658  0.00405376
          60    -5.07917    -5.02746  0.00407983
          61    -4.99324     -5.0269  0.00405134
          62    -5.06742    -5.02755  0.00403837
          63    -4.99152    -5.02698  0.00401458
          64     -5.0584    -5.02747  0.00398175
          65    -4.98995     -5.0269  0.00396213
          66    -5.02884    -5.02692   0.0039022
          67    -5.00914    -5.02666  0.00385298
          68    -5.03494    -5.02678  0.00379824
          69    -5.05675    -5.02722  0.00376794
          70    -5.06304    -5.02773  0.00374871
          71    -5.09317    -5.02865  0.00380754
          72    -5.00324     -5.0283  0.00377098
          73    -5.03317    -5.02836  0.00371992
          74    -5.07389    -5.02898  0.00372018
          75    -5.04045    -5.02913  0.00367372
          76    -5.01854    -5.02899  0.00362802
          77    -5.00475    -5.02868  0.00359454
          78    -4.99721    -5.02827  0.00357103
          79    -5.04477    -5.02848  0.00353193
          80    -5.02786    -5.02847  0.00348779
          81    -5.03603    -5.02857  0.00344598
          82    -5.06689    -5.02903  0.00343549
          83    -5.02314    -5.02896  0.00339483
          84    -5.05975    -5.02933  0.00337414
          85    -5.07503    -5.02987  0.00337701
          86    -5.00087    -5.02953  0.00335454
          87    -5.03187    -5.02956  0.00331609
          88    -5.03029    -5.02957  0.00327842
          89    -5.03767    -5.02966  0.00324285
          90    -5.01265    -5.02947  0.00321232
          91    -5.02348     -5.0294  0.00317769
          92    -5.02816    -5.02939  0.00314318
          93    -5.03165    -5.02941  0.00310948
          94     -5.0165    -5.02928  0.00307943
          95    -4.97547    -5.02871  0.00309867
          96     -5.0438    -5.02887  0.00307037
          97    -4.96532    -5.02821  0.00310782
          98    -5.03275    -5.02826  0.00307646
          99    -5.01147    -5.02809  0.00305005
         100    -5.00176    -5.02782  0.00303089
