BLOCK,ACTUAL_T,T_AVE,ERROR
177,0.571293,0.562794,0.00104835
178,0.552808,0.562737,0.00104396
179,0.572666,0.562793,0.0010396
180,0.571792,0.562843,0.00103502
181,0.571803,0.562892,0.00103049
182,0.557399,0.562862,0.00102527
183,0.56555,0.562877,0.00101977
184,0.558191,0.562851,0.00101455
185,0.549153,0.562777,0.00101176
186,0.582415,0.562883,0.00101182
187,0.564681,0.562893,0.00100645
188,0.566967,0.562914,0.00100133
189,0.576787,0.562988,0.000998719
190,0.571977,0.563035,0.000994582
191,0.566786,0.563055,0.000989569
192,0.554007,0.563007,0.000985536
193,0.58,0.563096,0.000984355
194,0.561374,0.563087,0.000979321
195,0.58157,0.563181,0.000978875
196,0.564897,0.56319,0.00097392
197,0.567938,0.563214,0.000969274
198,0.556787,0.563182,0.000964922
199,0.57045,0.563218,0.000960764
200,0.556727,0.563186,0.000956509
201,0.558274,0.563161,0.000952062
202,0.573093,0.563211,0.000948618
203,0.558447,0.563187,0.000944235
204,0.558132,0.563162,0.000939931
205,0.547763,0.563087,0.000938343
206,0.558341,0.563064,0.000934071
207,0.567203,0.563084,0.000929772
208,0.568646,0.563111,0.000925687
209,0.57126,0.56315,0.000922078
210,0.564451,0.563156,0.000917708
211,0.562248,0.563152,0.000913369
212,0.562304,0.563148,0.000909069
213,0.570067,0.56318,0.000905382
214,0.556893,0.563151,0.000901627
215,0.591469,0.563283,0.000907003
216,0.56209,0.563277,0.000902821
217,0.58038,0.563356,0.000902094
218,0.559536,0.563338,0.000898127
219,0.560228,0.563324,0.000894138
220,0.591636,0.563453,0.000899287
221,0.568767,0.563477,0.000895539
222,0.556407,0.563445,0.000892071
223,0.544719,0.563361,0.000892014
224,0.561852,0.563354,0.000888058
225,0.590654,0.563476,0.000892361
226,0.578716,0.563543,0.000890957
227,0.557331,0.563516,0.000887452
228,0.568155,0.563536,0.000883793
229,0.553666,0.563493,0.000880984
230,0.567023,0.563508,0.000877287
231,0.592172,0.563633,0.000882221
232,0.577595,0.563693,0.000880469
233,0.566225,0.563704,0.000876757
234,0.561954,0.563696,0.000873042
235,0.573484,0.563738,0.00087032
236,0.57116,0.563769,0.0008672
237,0.57402,0.563812,0.000864619
238,0.571677,0.563845,0.000861618
239,0.566767,0.563858,0.000858099
240,0.551273,0.563805,0.000856124
241,0.566926,0.563818,0.00085267
242,0.573386,0.563858,0.000850063
243,0.577093,0.563912,0.000848308
244,0.584963,0.563998,0.000849207
245,0.579066,0.56406,0.000847965
246,0.55332,0.564016,0.000845641
247,0.559399,0.563998,0.000842424
248,0.572048,0.56403,0.000839652
249,0.562645,0.564025,0.000836298
250,0.537649,0.563919,0.000839582
251,0.565369,0.563925,0.000836256
252,0.564123,0.563926,0.000832938
253,0.589958,0.564028,0.000835977
254,0.586578,0.564117,0.000837387
255,0.57404,0.564156,0.000835007
256,0.553869,0.564116,0.000832711
257,0.556565,0.564087,0.000829989
258,0.521352,0.563921,0.000843138
259,0.537615,0.563819,0.000845978
260,0.558009,0.563797,0.00084302
261,0.563682,0.563797,0.00083979
262,0.57535,0.563841,0.000837741
263,0.575308,0.563884,0.00083569
264,0.56382,0.563884,0.000832524
265,0.564761,0.563887,0.000829389
266,0.561665,0.563879,0.000826313
267,0.578536,0.563934,0.00082504
268,0.561768,0.563926,0.000822001
269,0.575594,0.563969,0.000820089
270,0.553946,0.563932,0.000817892
271,0.578891,0.563987,0.000816734
272,0.563955,0.563987,0.000813731
273,0.562455,0.563982,0.00081077
274,0.552345,0.563939,0.000808922
275,0.572134,0.563969,0.00080653
276,0.557387,0.563945,0.00080396
277,0.552768,0.563905,0.000802069
278,0.561491,0.563896,0.000799231
279,0.575362,0.563937,0.000797422
280,0.566913,0.563948,0.000794645
281,0.563772,0.563947,0.000791818
282,0.57344,0.563981,0.000789725
283,0.559452,0.563965,0.000787097
284,0.578499,0.564016,0.000785987
285,0.556872,0.563991,0.000783629
286,0.577931,0.56404,0.000782403
287,0.587161,0.56412,0.000783814
288,0.578725,0.564171,0.000782731
289,0.5633,0.564168,0.000780029
290,0.576774,0.564211,0.000778549
291,0.574821,0.564248,0.000776727
292,0.57082,0.56427,0.000774393
293,0.55268,0.564231,0.00077276
294,0.555704,0.564202,0.000770675
295,0.548653,0.564149,0.000769863
296,0.578199,0.564197,0.000768724
297,0.576648,0.564238,0.000767278
298,0.580696,0.564294,0.000766688
299,0.58422,0.56436,0.000767015
300,0.570734,0.564382,0.000764753
